task,step,sent_signal,measured_signal,noise_feedback,integrated_feedback,derivative_signal,phase,phase_error,phase_closure,lattice_distance_a,lattice_closure,persistence,leak,x,y,z,vx,vy,vz,speed,speed2,curvature,speed_error,curvature_error,energy_drift
I_accum,0,0.005431011713555289,0.02241688132609284,0.01698586961253755,0.01698586961253755,0.005431011713555289,0.250796991942102,1.299203008057898,0.00511910108101914,0.282842712474619,0.13533528323661276,0.5595798475556824,0.26215023792512493,6.517367593102775e-10,1.0863166513446433e-09,1.7376039300538406e-09,2.6326526015730524e-05,0.00020723387881746682,-0.0005940567992813733,0.000629716164056648,1.1696409597205263e-25,0.9330650678269644,0.009370283835943353,0.9230650678269644,4.0806420126067524e-07
I_accum,1,0.0058670387929296046,0.02290115430059972,0.017034115507670113,0.034019985120207666,0.00043602707937431557,0.2515913751928506,1.2984086248071494,0.005152217932342153,0.2824416832430034,0.13610445850435807,0.5597102013058126,0.26205528754488966,6.514878120798781e-10,1.0863633040723886e-09,1.7372160393456396e-09,-0.000458380206620816,8.590048159605229e-05,-0.0007142133000886072,0.0008529900026281871,2.146104020383026e-25,0.816090054161456,0.009147009997371813,0.806090054161456,3.104179464614931e-07
I_accum,2,0.006300532126797251,0.02337899493018968,0.017078462803392428,0.05109844792360009,0.0004334933338676463,0.2523949592007699,1.2976050407992301,0.005185915525438767,0.281612951862657,0.13770433855850023,0.5599735955849566,0.26186060613094486,6.511306500645978e-10,1.0863826626238944e-09,1.7368019712979396e-09,-0.0006576333389955505,3.564440875636759e-05,-0.0007624129698302677,0.001007484823210472,2.993918068015754e-25,0.24744708809788304,0.008992515176789529,0.23744708809788304,2.2563658621085168e-07
I_accum,3,0.006731556336312769,0.023843123887578723,0.017111567551265954,0.06821001547486605,0.0004310242095155181,0.25320929782215107,1.2967907021778489,0.005220267457027981,0.2806090433434614,0.13966118731209784,0.5602942488104818,0.26162303612598603,6.507294649458922e-10,1.0863907221325094e-09,1.7363778759176294e-09,-0.0007386919601813746,1.483976832454494e-05,-0.0007808760424512176,0.0010750132205860556,3.4087134675030166e-25,0.08506158656066654,0.008924986779413944,0.07506158656066654,1.841570680400551e-07
I_accum,4,0.007159957739126437,0.024298218373489257,0.01713826063436282,0.08534827610922888,0.00042840140281366797,0.2540350767416481,1.2959649232583519,0.005255312116412783,0.2795346439999645,0.14177833957460406,0.5606407029975475,0.2613661742817345,6.503108468959527e-10,1.0863941137316515e-09,1.7359504286820552e-09,-0.0007707907732839887,6.244865279668184e-06,-0.0007870477283385537,0.0011016358478213063,3.5796371387996287e-25,0.031439436521695854,0.008898364152178694,0.021439436521695852,1.6706470988436926e-07
I_accum,5,0.007585564540330517,0.024747157314689305,0.01716159277435879,0.10250986888358767,0.0004256068012040799,0.2548726286191497,1.2951273713808504,0.005291073689582552,0.2784331282558158,0.14397362257349164,0.5609998158234668,0.2610998793960144,6.498858176919484e-10,1.0863955889847116e-09,1.7355223893531368e-09,-0.000782595468279645,2.7163459556460524e-06,-0.0007881379347611977,0.0011106864767866913,3.6386966772908984e-25,0.011227743563612403,0.008889313523213309,0.0012277435636124032,1.6115875913603483e-07
I_accum,6,0.008008198003457938,0.02519108865515743,0.017182890651699492,0.11969275953528716,0.00042263346312742135,0.2557221383935502,1.2942778616064499,0.00532757057373868,0.2773224706354566,0.1462125611199769,0.5613660753054188,0.2608282870197037,6.494589488776085e-10,1.0863962910288283e-09,1.735094898313955e-09,-0.0007859826960244516,1.2926559849533258e-06,-0.0007871283828074636,0.0011123585574941443,3.6496606610266926e-25,0.003430695177172011,0.008887641442505857,0.0065693048228279895,1.600623613380955e-07
I_accum,7,0.00842767693334041,0.02563036939170351,0.0172026924583631,0.13689545199365025,0.0004194789298824723,0.2565837285083201,1.29341627149168,0.005364818893539471,0.2762101218125674,0.14848062735180734,0.5617371605328679,0.26055313920629997,6.490321372696447e-10,1.0863966955890303e-09,1.7346684256861867e-09,-0.0007858773633782224,7.449064153299403e-07,-0.0007852532077619899,0.0011109574183812668,3.640472145972549e-25,0.001758760681461669,0.008889042581618734,0.008241239318538332,1.609812123610869e-07
I_accum,8,0.008843819573980127,0.026065020575269625,0.017221201001289498,0.15411665299493973,0.0004161426406397162,0.25745749457527933,1.2925425054247208,0.005402833985056731,0.27509916942000956,0.1507716519660623,0.5621120877912825,0.260275175045268,6.48606169517289e-10,1.0863970011888469e-09,1.7342431639266617e-09,-0.000784323593499409,5.62693173526113e-07,-0.0007830236668480492,0.00110828240028776,3.622961835524885e-25,0.002451617718371681,0.00889171759971224,0.007548382281628319,1.6273224248651255e-07
I_accum,9,0.009256444444024818,0.026494923442110956,0.017238478998086136,0.17135513199302588,0.00041262487004469113,0.2583435203382541,1.291656479661746,0.005441631026313871,0.2739908907365561,0.15308297181058755,0.5624904343154832,0.25999471290062437,6.481813710457362e-10,1.0863972911084028e-09,1.7338191903683955e-09,-0.0007821706264824311,5.338215078390076e-07,-0.0007806517346186949,0.0011050829401725909,3.6020740359581826e-25,0.0028904688749137983,0.008894917059827409,0.007109531125086202,1.6482102134651434e-07
I_accum,10,0.009665370730766601,0.026919901873559755,0.017254531142793156,0.18860966313581903,0.0004089262867417835,0.2592418839569373,1.2907581160430628,0.005481225308034515,0.2728858111998249,0.1554133948441936,0.5628720127428386,0.259711894594054,6.477578754833647e-10,1.086397600671114e-09,1.7333965345787039e-09,-0.0007797716129293957,5.699899503892658e-07,-0.000778225360842601,0.0011016709152363296,3.579865037373097e-25,0.0030878270107000706,0.00889832908476367,0.00691217298929993,1.6704192003898776e-07
I_accum,11,0.010070418500124235,0.027339756837486674,0.01726933833736244,0.20587900147318147,0.00040504776935763355,0.2601526606442356,1.2898473393557643,0.005521632352450679,0.2717841437344292,0.15776234567063996,0.5632567344248416,0.2594267879313271,6.473357366327801e-10,1.0863979452263498e-09,1.7329752062996595e-09,-0.0007772735340064595,6.3442079677707e-07,-0.0007757810492353954,0.0010981761177103649,3.557188466136355e-25,0.0031729916885142274,0.008901823882289635,0.006827008311485773,1.6930957597207795e-07
I_accum,12,0.010471408829873123,0.027754280774715506,0.017282871944842383,0.22316187341802385,0.0004009903297488883,0.26107592376982963,1.2889240762301704,0.005562867967911083,0.2706859712672498,0.16012950642011473,0.5636445519801588,0.2591394297921533,6.469149750510819e-10,1.0863983317983513e-09,1.7325552070488895e-09,-0.0007747376038184332,7.11785198869664e-07,-0.0007733339432607212,0.0010946525700913847,3.5343982871847738e-25,0.0032098144595272575,0.008905347429908615,0.006790185540472743,1.7158859267068732e-07
I_accum,13,0.010868163910889694,0.028163263639150966,0.017295099728261272,0.2404569731462851,0.00039675508101657056,0.2620117453180723,1.2879882546819277,0.005604948276387261,0.2695913226259601,0.16251466569069958,0.5640354351313172,0.25884984425500507,6.464955974463919e-10,1.0863987639404018e-09,1.7321365349404562e-09,-0.0007721893221367678,7.956921714915861e-07,-0.0007708903098141868,0.0010911227484171914,3.5116409644217193e-25,0.0032262140945500187,0.00890887725158281,0.0067737859054499815,1.7386432375216908e-07
I_accum,14,0.01126050713510217,0.028566495467189736,0.017305988332087567,0.2577629614783727,0.00039234322421247657,0.2629601960739796,1.2870398039260205,0.0056478897295818955,0.2685002041315007,0.16491765496592317,0.5644293605350558,0.2585580502257227,6.460776047622707e-10,1.0863992437595243e-09,1.7317191866896904e-09,-0.0007696393031008488,8.834787526041163e-07,-0.0007684527243462384,0.0010875959851743763,3.4889767662256774e-25,0.003234055126640453,0.008912404014825624,0.006765944873359547,1.7613074238183885e-07
I_accum,15,0.01164826317794692,0.028963767503411147,0.017315504325464227,0.27507846580383694,0.00038775604284474983,0.2639213456947613,1.2860786543052387,0.005691709120296332,0.26741261275998623,0.1673383218453537,0.5648263075017218,0.25826406464893387,6.456609955499238e-10,1.0863997727617028e-09,1.7313031584471816e-09,-0.000767091951693081,9.740382631221018e-07,-0.0007660222266997089,0.0010840761333507985,3.4664301422049985e-25,0.003238333956988159,0.008915923866649201,0.006761666043011841,1.7838540360014531e-07
I_accum,16,0.01203125807857571,0.02935487272520973,0.017323614646634018,0.29240208045047095,0.00038299490062878964,0.264895262733281,1.285104737266719,0.005736423591882416,0.26632854162994435,0.16977651878235792,0.5652262561953915,0.25796790385876645,6.452457673754299e-10,1.0864003522049136e-09,1.7308884461454646e-09,-0.0007645490818030972,1.066914053609257e-06,-0.0007635992183735092,0.00108056476117454,3.4440106584337787e-25,0.003241147462543237,0.00891943523882546,0.006758852537456763,1.806273508001811e-07
I_accum,17,0.01240931931915385,0.02973960611686937,0.01733028679771552,0.3097323672481865,0.0003780612405781397,0.26588201464146644,1.2841179853585336,0.0057820506469803915,0.2652479822904347,0.17223209836076575,0.5656291868800583,0.25766958414494967,6.448319174067132e-10,1.086400983246549e-09,1.7304750456426746e-09,-0.0007620114265422545,1.1619209209724316e-06,-0.0007611838363577312,0.0010770624851759816,3.421721705274551e-25,0.0032433736734534704,0.008922937514824019,0.006756626326546529,1.8285624494587088e-07
I_accum,18,0.01278227590379154,0.030117764838975283,0.017335488935183743,0.3270678561833702,0.00037295658463769137,0.2668816677655102,1.28311833223449,0.005828608156055338,0.26417092567423317,0.17470491133197322,0.5660350796074479,0.2573691219876788,6.444194426577427e-10,1.08640166700485e-09,1.7300629527815204e-09,-0.0007594792693841884,1.2589867772096743e-06,-0.0007587761090565212,0.0010735695270204905,3.3995641227799217e-25,0.0032453787836302104,0.008926430472979509,0.00675462121636979,1.8507200203199816e-07
I_accum,19,0.013149958437316324,0.030489148353937075,0.01733918991662075,0.34440704609999095,0.00036768253352478276,0.26789428733787196,1.282105712662128,0.005876114365952502,0.2630973624933704,0.17719480581907776,0.5664439140915621,0.25706653415243447,6.440083400893315e-10,1.0864024045843318e-09,1.7296521634128974e-09,-0.0007569527082039251,1.358086349121113e-06,-0.0007563760213957934,0.001070085946360533,3.3775377115143104e-25,0.0032473139686831102,0.008929914053639467,0.00675268603131689,1.8727464200211053e-07
