task,freq_norm,amp_norm,volt_norm,curr_norm,pulse_period_steps,phase_lock_fraction,lattice_lock_fraction,joint_lock_fraction,speed_tracking_score,curvature_tracking_score,feedback_to_signal_ratio,mean_energy_drift,return_step,return_distance_a,dominant_recurrence_steps,recurrence_alignment,conservation_alignment,composite_score
I_accum,0.1775,0.19,0.37,0.45,394,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.39470873017304864,0.3301696257109901,0.3743262406143748,3.697476107018332e-07,50,0.05289863957818157,50,0.9172582360635732,0.9999999999978126,0.5132312663552162
I_accum,0.175,0.19,0.37,0.45,400,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946956127301593,0.33025734496092884,0.37463476297951775,3.6991418242105106e-07,50,0.05290150712225949,50,0.9172496470962862,0.9999999999978106,0.5132248302675252
I_accum,0.18,0.19,0.37,0.45,389,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.39471520063809457,0.3299441793303402,0.37442694333072774,3.696444201000091e-07,50,0.05289620772470459,50,0.9172655197334647,0.9999999999978139,0.5132064735139907
I_accum,0.1825,0.19,0.37,0.45,384,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3947173233496054,0.3296004253647628,0.3748597523766502,3.6957601294134307e-07,50,0.052893736976823626,50,0.917272919612694,0.9999999999978146,0.5131559709207153
I_accum,0.185,0.19,0.37,0.45,378,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3947137913300095,0.32900675092155773,0.3758476747811395,3.695425693865131e-07,50,0.0528907201326855,50,0.9172819546601042,0.999999999997815,0.513057676303161
I_accum,0.1775,0.19,0.37,0.44,394,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946747595632225,0.3296671537907283,0.37840596427920903,3.7008175842962645e-07,50,0.0528635756271714,50,0.9173632296700394,0.9999999999978086,0.5130256735639963
I_accum,0.175,0.19,0.37,0.44,400,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946618708064166,0.32972138923917815,0.37871081503467835,3.70244683699377e-07,50,0.05286637656174724,50,0.9173548448193388,0.9999999999978068,0.5130160924705855
I_accum,0.18,0.19,0.37,0.44,389,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.39468115556536615,0.3294691986666323,0.37851038048635416,3.6998058550034457e-07,50,0.05286120025557532,50,0.9173703402714328,0.9999999999978099,0.5130034501157685
I_accum,0.1775,0.19,0.36,0.45,394,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946683756553254,0.32961180724584166,0.3793004266535342,3.7012750530263703e-07,50,0.05287330121848723,50,0.9173341136559696,0.9999999999978081,0.5129799727457407
I_accum,0.175,0.19,0.36,0.45,400,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.39465553012562876,0.32966214381861414,0.379610874656292,3.7028974209636914e-07,50,0.05287608915243787,50,0.9173257664542053,0.9999999999978062,0.5129697884445382
