task,step,sent_signal,noise_feedback,phase_error,lattice_distance_a,x,y,z,vx,vy,vz,speed,curvature,energy_drift
L_smooth,0,0.006435224384169396,0.017506751929943408,1.9491769728918913,0.282842712474619,6.517391194417006e-10,1.0863180582973623e-09,1.7376021722623582e-09,3.067217600603513e-05,0.00020982446509159558,-0.0005972933760510556,0.0006338189533347731,0.9301167324440506,4.065351248565103e-07
L_smooth,10,0.010501753852322162,0.01774481653622765,1.940564380867876,0.2727850707728172,6.477202892350669e-10,1.0864022693571806e-09,1.733346505590953e-09,-0.0007891255039924846,6.774254865033862e-07,-0.0007876478014053963,0.001114947792058192,0.003100181885266278,1.5836132336414392e-07
L_smooth,20,0.01430515520680141,0.017838223469741364,1.9308062304211888,0.26179694754115435,6.435116038946786e-10,1.086408319066829e-09,1.7291430680163648e-09,-0.0007633121009318975,1.525783136484429e-06,-0.0007628702854659865,0.0010791750385781736,0.0032779237953818423,1.8151265435588373e-07
L_smooth,30,0.017735147488092046,0.01782662635993669,1.919817757668652,0.251163406610716,6.394421568940122e-10,1.0864197667931124e-09,1.7250720868429104e-09,-0.0007379078085606359,2.616077121842586e-06,-0.0007388129099537785,0.0010442027071927353,0.003304631945301825,2.034162041438603e-07
L_smooth,40,0.020686477945073424,0.017692028171224783,1.907532072366658,0.2408758453569566,6.355091845635861e-10,1.086437785524194e-09,1.7211296753366864e-09,-0.0007129980198503726,3.925320569030091e-06,-0.0007154460412671622,0.001010071592718544,0.0033376115542675146,2.2409720536497819e-07
L_smooth,50,0.02306300098336643,0.017420464242050418,1.8938931862474446,0.23092614493946526,6.317100875857464e-10,1.0864635827015551e-09,1.7173122131018678e-09,-0.0006885601001739906,5.45795005434077e-06,-0.000692730423870316,0.0009767395972960036,0.003372540565143101,2.4363072793953774e-07
L_smooth,60,0.02478110455992808,0.01700244934365805,1.8788567231263775,0.22130641227976322,6.280422642526974e-10,1.0864983525856996e-09,1.7136162108545582e-09,-0.0006646133064975799,7.2054368113674246e-06,-0.0006706540128849038,0.0009442137313616623,0.0034043482636067356,2.620600066873145e-07
L_smooth,70,0.02577313998798353,0.01643327312445759,1.8623902050592074,0.21200850885937772,6.245028886362391e-10,1.0865431966985791e-09,1.7100381712018776e-09,-0.0006412162542496944,9.14331437297259e-06,-0.0006492286551023517,0.0009125457421509017,0.0034277077189066103,2.794035885543386e-07
L_smooth,80,0.025990700063014235,0.01571315340723226,1.844472905513617,0.20302364363337785,6.210887150058275e-10,1.0865990303955904e-09,1.706574476257096e-09,-0.0006184602087885106,1.1229046123921738e-05,-0.0006284838584786279,0.0008818225908309252,0.003437638982847672,2.956643176314455e-07
L_smooth,90,0.025407565362557307,0.0148472436279151,1.8250952960108984,0.19434207798916503,6.177959307818403e-10,1.0866664817958041e-09,1.7032213167745822e-09,-0.0005964583875800913,1.3401297490950039e-05,-0.0006084580851613678,0.0008521522424351894,0.0034302179890572317,3.1083929645612574e-07
L_smooth,100,0.02402212610907459,0.013845495045227177,1.8042581464683938,0.1859529833449407,6.146200779097376e-10,1.0867457923389806e-09,1.6999746739482906e-09,-0.0005753319469686747,1.558114925981624e-05,-0.0005891883967300084,0.0008236459119405015,0.003403325437889885,3.2492977300990934e-07
L_smooth,110,0.021859089937815757,0.012722378443639111,1.7819713681965688,0.17784447856334673,6.115560573873673e-10,1.0868367308004299e-09,1.6968303594885004e-09,-0.0005551938166377527,1.7675656598566773e-05,-0.0005706996083300347,0.0007963985470962638,0.0033573407289981707,3.3794986636086295e-07
L_smooth,120,0.018970305176107365,0.01149647380878705,1.7582527076488186,0.17000385612516455,6.085982241683065e-10,1.0869385341709156e-09,1.6937841126677857e-09,-0.0005361319216181658,1.9583938827758294e-05,-0.0005529942988058195,0.0007704697674469365,0.003295660074792449,3.4993318846853377e-07
L_smooth,130,0.015434563541397625,0.010189939837296077,1.7331264054845394,0.16241798518457728,6.05740570612099e-10,1.0870498889929829e-09,1.690831745585605e-09,-0.0005181935330005782,2.120570334950937e-05,-0.0005360450382554413,0.0007458676172997767,0.003224899585059973,3.6093670664206343e-07
L_smooth,140,0.011356292420283064,0.008827878144327669,1.7066219282472543,0.15507385885601252,6.029769871050493e-10,1.0871689653009617e-09,1.6879693209246922e-09,-0.000501372488851723,2.2451797813718683e-05,-0.0005197900289771399,0.0007225372862534468,0.003154640391220989,3.7104154533929716e-07
L_smooth,150,0.006863100977384163,0.007437609650986954,1.6787728601352079,0.14795923487450374,6.00301579499838e-10,1.0872935121915602e-09,1.6851933408674098e-09,-0.00048560083959605824,2.3256081094732247e-05,-0.0005041330379922791,0.000700356438336656,0.0030966016765166782,3.803507647419001e-07
L_smooth,160,0.0021022020157823577,0.006047882857603277,1.6496160129596322,0.1410633050704327,5.977090155270357e-10,1.0874210193688535e-09,1.6825009223034725e-09,-0.00047074613668914196,2.3587632044721776e-05,-0.0004889480741841607,0.0006791380720012897,0.003063226410371438,3.889844175036911e-07
L_smooth,170,-0.0027642108269281276,0.004688035508825554,1.6191907776686423,0.13437732111659614,5.95194866985303e-10,1.0875489429925087e-09,1.679889932434369e-09,-0.00045661514460817456,2.346209378198502e-05,-0.00047408877679942487,0.0006586410467146379,0.0030658714969895914,3.970723572581421e-07
L_smooth,180,-0.0075644958600147106,0.0033871324951724974,1.5875387054952013,0.12789510234602364,5.927559117764334e-10,1.0876749871352797e-09,1.6773590605817115e-09,-0.00044296424627586153,2.2950797817927664e-05,-0.00045940197129505856,0.0006385876868755044,0.003113062989001105,4.0474537786476493e-07
L_smooth,190,-0.012123820434803577,0.002173103684192023,1.5547032755007233,0.12161335640651093,5.90390360055221e-10,1.0877974245635254e-09,1.674907806485888e-09,-0.0004295162442774755,2.218625202255961e-05,-0.0004447443403807833,0.0006186872894910438,0.003209397326840495,4.1212534926075696e-07
L_smooth,200,-0.01627091088896546,0.0010719057273668627,1.5207297821046717,0.1155317553986702,5.880979722161515e-10,1.0879154330093302e-09,1.6725363725437664e-09,-0.00041598263802900194,2.136264842398379e-05,-0.00043000068054285703,0.0005986639317317977,0.003355408340214085,4.1931512692777e-07
L_smooth,210,-0.019845024447911263,0.00010673176872275255,1.4856652642492194,0.10965272927139917,5.858800434005855e-10,1.0880294164676862e-09,1.6702454569935047e-09,-0.0004020897955542873,2.073030003915954e-05,-0.00041510181095585626,0.0005782866611702483,0.0035481759856371095,4.263891570020379e-07
L_smooth,220,-0.022702841082470317,-0.0007027075753950774,1.4495583989644263,0.10398096472666665,5.837392397603589e-10,1.0881412764447755e-09,1.6680359564138695e-09,-0.00038760678902189456,2.058339212431165e-05,-0.0004000399413579834,0.0005573999045648514,0.0037820782644167163,4.3338583927046195e-07
L_smooth,230,-0.024724953476982912,-0.0013408095673126262,1.4124592963710012,0.09852263099852342,5.816792855121111e-10,1.0882545967593376e-09,1.665908598027481e-09,-0.0003723721266830661,2.1241139972312565e-05,-0.00038487927705510756,0.0005359517185943664,0.004049171553920841,4.4030276446009354e-07
L_smooth,240,-0.02582162835285184,-0.0017965900496292476,1.3744191586278238,0.093284391364817,5.797045158382381e-10,1.0883747085811614e-09,1.6638635336606651e-09,-0.0003563163312164465,2.3023328511716314e-05,-0.0003697599270348913,0.0005140173199301313,0.004339047936470948,4.4709581558839206e-07
L_smooth,250,-0.02593752599967505,-0.0020640604949198537,1.3354897979295877,0.08827229681911687,5.778193271190258e-10,1.0885086104849042e-09,1.6618999359490502e-09,-0.0003394774283565563,2.622213970584866e-05,-0.00035489382592484057,0.0004918151610655215,0.004638325849930753,4.5368275274180536e-07
L_smooth,260,-0.025055099320295506,-0.0021424551332484853,1.2957230426347732,0.0834906896979529,5.760275703648907e-10,1.0886647311193208e-09,1.6600156416286413e-09,-0.00032200700689114604,3.107296420481466e-05,-0.0003405523412751892,0.00046971261292356325,0.004930053922928643,4.5995129902204624e-07
L_smooth,270,-0.023196448980960415,-0.002036295606570531,1.255170089529647,0.07894126292643855,5.743319434434647e-10,1.0888525382740843e-09,1.658206885172541e-09,-0.00030416556870735157,3.7727344109488936e-05,-0.0003270463757076638,0.00044821800225352485,0.005193331796896225,4.6577101909855907e-07
