// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.00649927,0.007242,-0.00753822,-0.452183,0.0455549,36,39,42,0.994918,0.00152412,110.628,0.994918,0.00014292
1,0,-0.00348618,0.00421805,-0.00573846,1.52204,0.0424801,31,34,37,0.996507,0.00107257,33.2672,0.996507,0.000166143
2,0,-0.00876011,0.00861211,-0.00563462,-0.202453,0.0463419,31,34,37,0.980132,0.00099881,126.599,0.980132,0.000126711
3,0,-0.0095415,0.00222238,0.004905,0.296904,0.0453143,36,39,42,0.994894,0.00095238,42.0869,0.994894,0.00021429
4,0,0.00570751,-0.0045862,0.00175007,0.643279,0.0422368,32,35,38,0.996507,0.000319423,7.91121,0.996507,0.000249791
5,0,0.00123086,0.00068592,-0.00385368,1.01129,0.0460928,32,35,38,0.996507,0.000927386,14.766,0.996507,0.000262466
6,0,-0.00988531,0.0039016,0.00364707,0.30179,0.045075,37,40,43,0.994874,0.00101173,40.8117,0.994874,0.00022298
7,0,-0.00441926,-0.00132623,0.00538957,-0.785595,0.0419949,33,36,39,0.996506,0.000761137,30.5058,0.996506,0.000194333
8,0,0.0108957,-0.00936708,0.00715575,-0.370031,0.0458451,33,36,39,0.996507,0.00101229,59.3173,0.996507,0.00013776
9,0,0.00245005,0.00227086,-0.00611486,0.51049,0.0448371,38,41,44,0.994852,0.00125809,27.1048,0.994852,0.000260351
10,0,-0.00842173,0.00392823,0.00204941,0.810813,0.0417545,33,36,39,0.996506,0.000680171,28.8197,0.996506,0.000200324
11,0,0.00569067,-0.00794156,0.00478048,0.212924,0.0455988,33,36,39,0.996506,0.00103121,68.1602,0.996506,0.000164777
12,0,0.00840058,-0.00866363,0.00708021,-1.37374,0.0446004,38,41,44,0.994829,0.0015276,168.407,0.994829,0.000131517
13,0,0.00825053,-0.00553768,0.00117164,0.0139323,0.0415154,34,37,40,0.996506,0.000520707,17.7757,0.996506,0.000223955
14,0,-0.0050674,-0.000529446,0.0053038,-0.788938,0.0453538,34,37,40,0.996506,0.000881756,25.7131,0.996506,0.000242372
15,0,0.00906464,-0.000572867,-0.00563831,-0.876499,0.044365,39,42,45,0.994803,0.00101974,41.5185,0.994803,0.000218797
16,0,-0.00315929,0.0014772,0.0016814,-0.278291,0.0412778,34,37,40,0.996505,0.000758597,11.4294,0.996505,0.000251611
17,0,0.0105568,-0.00825374,0.00403441,-0.49684,0.0451102,34,37,40,0.996506,0.000827348,34.6081,0.996506,0.000204474
18,0,0.00415031,-0.00803239,0.00346468,-0.28466,0.0441309,39,42,45,0.994782,0.00132548,48.4763,0.994782,0.00020955
19,0,0.00380099,0.00276497,-0.00575538,0.135384,0.0410416,35,38,41,0.996505,0.000844049,33.5006,0.996505,0.000193247
20,0,-0.0102518,0.00825983,-0.00483643,0.802774,0.0448679,35,38,41,0.996505,0.000752436,22.1301,0.996505,0.000224449
