tag,F,A,I,V,silicon_score,trap_ratio,coherence,inertia,curvature,interference_gain,output_dir
Am,0.245,0.16,0.33,0.33,0.713396,0.273576,0.996895,0.000392817,15.1841,0.29137333363837714,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\Am
AmIm,0.245,0.16,0.3,0.33,0.715906,0.270089,0.996812,0.000387551,15.6284,0.28460812692951509,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\AmIm
AmIp,0.245,0.16,0.36,0.33,0.710894,0.277035,0.996919,0.000397885,14.7924,0.29792839395772192,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\AmIp
AmVm,0.245,0.16,0.33,0.3,0.714438,0.273576,0.996918,0.000394842,21.7887,0.26495758962958982,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\AmVm
AmVp,0.245,0.16,0.33,0.36,0.712356,0.273576,0.996867,0.000386652,19.1632,0.27338685113849531,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\AmVp
Ap,0.245,0.2,0.33,0.33,0.71445,0.273428,0.996893,0.000414864,14.9334,0.29696693004155666,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\Ap
ApIm,0.245,0.2,0.3,0.33,0.716956,0.269932,0.99681,0.000409301,15.3883,0.289961592736218,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\ApIm
ApIp,0.245,0.2,0.36,0.33,0.711952,0.276896,0.996916,0.000420217,14.5392,0.30372209138830641,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\ApIp
ApVm,0.245,0.2,0.33,0.3,0.715492,0.273428,0.996916,0.00041701,21.7801,0.26905459440116164,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\ApVm
ApVp,0.245,0.2,0.33,0.36,0.71341,0.273428,0.996864,0.000408363,19.0838,0.27783521538294825,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\ApVp
C,0.245,0.18,0.33,0.33,0.713922,0.2735,0.996894,0.00040384,15.0562,0.2941746448106099,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\C
Fm,0.235,0.18,0.33,0.33,0.714155,0.274833,0.996915,0.000403502,15.5957,0.29311272860413323,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\Fm
FmAm,0.235,0.16,0.33,0.33,0.713628,0.274909,0.996916,0.000392487,15.7167,0.29035742151646515,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\FmAm
FmAp,0.235,0.2,0.33,0.33,0.714683,0.274762,0.996914,0.000414516,15.4788,0.29586358875341134,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\FmAp
FmIm,0.235,0.18,0.3,0.33,0.716674,0.271368,0.996833,0.000398086,16.0344,0.28636154424374327,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\FmIm
FmIp,0.235,0.18,0.36,0.33,0.711643,0.278269,0.996937,0.000408717,15.206,0.29966687721782964,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\FmIp
FmVm,0.235,0.18,0.33,0.3,0.715196,0.274833,0.996939,0.00040562,22.2415,0.26655610986702305,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\FmVm
FmVp,0.235,0.18,0.33,0.36,0.713115,0.274833,0.996886,0.000396668,20.2873,0.27220788543779129,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\FmVp
Fp,0.255,0.18,0.33,0.33,0.71369,0.272168,0.996873,0.000404126,14.0043,0.29760747058050763,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\Fp
FpAm,0.255,0.16,0.33,0.33,0.713164,0.272244,0.996874,0.000393095,14.1334,0.29475763247645326,D:\GameCreation\GenesisEngine\ResearchConfinement\Run43\sweep\FpAm
