// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998327,9.74279,0.998771
1,shared,1,0.998586,11.1761,0.998136
2,individual,2,0.994081,12.3385,0.990125
3,shared,1,0.998833,14.304,0.998893
4,shared,0,0.998593,11.7085,0.998144
5,shared,1,0.998586,23.2155,0.998136
6,individual,6,0.998115,10.9701,0.998567
7,individual,7,0.998443,12.8107,0.998132
8,shared,0,0.998593,47.658,0.998144
9,individual,9,0.992336,18.1473,0.98936
10,shared,0,0.99855,12.5043,0.998135
11,individual,11,0.998443,11.5594,0.998132
12,individual,12,0.992394,10.5938,0.989379
13,individual,13,0.998496,9.30938,0.998118
14,shared,0,0.99855,11.8241,0.998135
15,individual,15,0.992639,11.7188,0.989042
16,shared,0,0.99872,13.2529,0.998743
17,individual,17,0.998496,17.399,0.998118
18,individual,18,0.990916,9.42132,0.987287
19,shared,1,0.99882,13.2723,0.998765
20,shared,0,0.99874,29.0997,0.998543
21,individual,21,0.989201,13.8631,0.981632
22,individual,22,0.998144,12.2284,0.998568
23,shared,1,0.998883,16.3013,0.998539
