// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0119717,0.0130441,-0.011006,-0.449382,0.0582085,27,30,33,0.998338,0.0050143,72.0222,0.998338,0.00045051
1,0,-0.00399863,0.00672586,-0.00918578,1.38568,0.0541843,24,27,30,0.996111,0.00397275,25.3152,0.996111,0.000510638
2,0,-0.0184045,0.0135394,-0.00304614,0.0727968,0.0591446,24,27,30,0.979242,0.00299511,48.0864,0.979242,0.000466041
3,0,-0.00640208,-0.00807285,0.00589395,-0.979176,0.0577957,27,30,33,0.99831,0.00357145,14.4577,0.99831,0.000736614
4,0,0.0185887,-0.014819,0.00926349,-0.445867,0.0537674,24,27,30,0.996111,0.00268582,31.1343,0.996111,0.000460685
5,0,0.0139874,-0.00682413,-0.00227734,0.333287,0.0587178,24,27,30,0.996111,0.00282369,9.53978,0.996111,0.000862634
6,0,-0.00768251,-0.0064017,0.00774929,-0.972994,0.0573858,28,31,34,0.99828,0.00373481,13.8931,0.99828,0.00077618
7,0,0.0174221,-0.00944297,-0.00265156,-0.975045,0.0533537,25,28,31,0.99611,0.00271924,39.3411,0.99611,0.000442778
8,0,-0.0110076,0.00589797,0.00181258,-0.450843,0.0582941,25,28,31,0.996111,0.00333059,7.56172,0.996111,0.000929982
9,0,0.0190079,-0.0103184,-0.00202249,-0.712156,0.0569789,29,32,35,0.985058,0.00361167,20.3596,0.985058,0.000749097
10,0,0.00617883,-0.0110882,0.00683647,0.077706,0.0529433,25,28,31,0.996109,0.00370667,33.9855,0.996109,0.000467899
11,0,-0.00866335,0.0124983,-0.00378662,1.1154,0.0578735,26,29,32,0.99611,0.00384057,37.8756,0.99611,0.000497001
12,0,-0.0144678,0.0146684,-0.00886767,-0.449409,0.0565749,29,32,35,0.985058,0.00508298,60.1605,0.985058,0.000510326
13,0,0.00746947,-0.0104308,0.00983064,0.338277,0.0525361,26,29,32,0.996109,0.00433982,46.7832,0.996109,0.000437581
14,0,0.0188191,-0.010866,-0.00179788,-0.974484,0.057456,26,29,32,0.996109,0.00318984,33.838,0.996109,0.000556641
15,0,-0.00182755,-0.0111207,0.00231609,-0.980004,0.0561739,30,33,36,0.984253,0.0044303,18.3757,0.984253,0.000696739
16,0,0.0180137,-0.0132712,0.00545435,-0.445919,0.0521321,27,30,33,0.998338,0.00259006,18.1461,0.998338,0.000621263
17,0,-0.0103573,0.00152254,0.00678563,-0.714166,0.0570415,27,30,33,0.996109,0.00386663,11.9158,0.996109,0.000841556
18,0,0.00332604,0.0102407,-0.00509225,0.0741759,0.0557758,30,33,36,0.984253,0.00465023,16.3045,0.984253,0.000749124
19,0,0.0167784,-0.00511969,-0.00596041,-0.975837,0.0517313,27,30,33,0.99831,0.00276678,28.2392,0.99831,0.000509999
20,0,-0.00722996,0.000690633,0.00656394,-0.45093,0.0566301,27,30,33,0.997461,0.0046077,10.9089,0.997461,0.000873202
21,0,-0.0174316,0.00580998,0.00632479,0.334889,0.0553806,31,34,37,0.962085,0.00403404,18.0698,0.962085,0.000798537
22,0,-0.00954299,0.012321,-0.00315782,1.12485,0.0513336,28,31,34,0.99828,0.00420408,45.1123,0.99828,0.000440511
23,0,-0.0121244,0.0122922,0.000640618,1.11912,0.0562217,28,31,34,0.997415,0.0042678,53.5164,0.997415,0.000460386
0,1,-0.0069164,-0.000677663,0.00463146,-0.374726,0.0582117,27,30,33,0.998488,0.00368864,34.0515,0.998488,0.000596601
1,1,-0.0122895,0.00545235,0.000846451,1.46236,0.0541875,24,27,30,0.99639,0.00329373,59.2772,0.99639,0.000380146
2,1,-0.00216953,-0.00458111,0.00370035,0.146072,0.0591478,24,27,30,0.979888,0.00322676,41.5431,0.979888,0.000473125
3,1,0.0124275,-0.00140329,-0.0028913,-0.910828,0.0577988,27,30,33,0.998459,0.00469747,163.68,0.998459,0.000301934
4,1,-0.0015359,0.00450689,-0.00543147,-0.368128,0.0537706,24,27,30,0.99639,0.00445166,42.3166,0.99639,0.000447708
5,1,-0.0119539,0.00906557,-0.00334292,0.405236,0.058721,24,27,30,0.99639,0.00552393,280.263,0.99639,0.000255041
6,1,0.0127631,-0.00250749,-0.00321268,-0.898353,0.0573889,28,31,34,0.99843,0.00514005,160.257,0.99843,0.000317119
7,1,-0.0018902,0.00631558,-0.00154871,-0.902909,0.053357,25,28,31,0.996389,0.00352254,58.7661,0.996389,0.000360836
8,1,0.0136544,-0.00962825,0.00387087,-0.377607,0.0582974,25,28,31,0.99639,0.00587876,308.125,0.99639,0.000250329
9,1,-0.00871668,0.00862354,-0.00177127,-0.638493,0.056982,29,32,35,0.985168,0.00628322,117.306,0.985168,0.000380915
10,1,0.00959601,0.000108453,-0.00355419,0.155418,0.0529465,25,28,31,0.996389,0.00313114,59.9594,0.996389,0.00037686
