// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998345,10.0536,0.998765
1,shared,1,0.998534,11.6284,0.998059
2,individual,2,0.993872,12.2621,0.989786
3,shared,1,0.998848,15.1076,0.998884
4,shared,0,0.998541,11.8982,0.998068
5,shared,1,0.998534,24.0522,0.998059
6,individual,6,0.998138,11.3819,0.998568
7,individual,7,0.998395,12.7665,0.998057
8,shared,0,0.998541,50.1293,0.998068
9,individual,9,0.992135,18.2428,0.989164
10,shared,0,0.998499,12.5648,0.998059
11,individual,11,0.998395,11.7976,0.998057
12,individual,12,0.992193,10.5636,0.989184
13,individual,13,0.998446,9.71896,0.998042
14,shared,0,0.998499,11.9916,0.998059
15,individual,15,0.992447,12.3221,0.988818
16,shared,0,0.998692,13.199,0.998726
17,individual,17,0.998446,18.1803,0.998042
18,individual,18,0.990678,9.74885,0.98708
19,shared,1,0.998802,13.473,0.998752
20,shared,0,0.99871,31.4333,0.998511
21,individual,21,0.988786,14.297,0.980931
22,individual,22,0.998156,12.2119,0.998568
23,shared,1,0.998866,16.0582,0.998508
