// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.01169,0.0128777,-0.0110296,-0.449595,0.0564317,27,30,33,0.998327,0.0049456,72.9227,0.998327,0.00043297
1,0,-0.00392093,0.00666003,-0.0092251,1.38568,0.052533,24,27,30,0.995901,0.00391931,26.2104,0.995901,0.000487284
2,0,-0.0179884,0.0134294,-0.00306449,0.0725319,0.0573388,24,27,30,0.978692,0.00297516,47.5425,0.978692,0.00045275
3,0,-0.00623297,-0.00807896,0.00602939,-0.979338,0.0560317,28,31,34,0.998299,0.0035339,14.8539,0.998299,0.000706617
4,0,0.0181123,-0.0145715,0.00922513,-0.445866,0.052129,24,27,30,0.9959,0.00266077,31.6206,0.9959,0.000440541
5,0,0.0136256,-0.00670244,-0.00232838,0.333036,0.0569252,24,27,30,0.995901,0.00279998,9.82044,0.995901,0.000824304
6,0,-0.00748125,-0.00639731,0.00789255,-0.973207,0.0556346,28,31,34,0.998269,0.00369005,14.3532,0.998269,0.00074278
7,0,0.0170236,-0.00935502,-0.00273169,-0.975029,0.0517282,25,28,31,0.9959,0.00272196,39.8846,0.9959,0.000426394
8,0,-0.0107099,0.00577436,0.00185259,-0.451108,0.0565147,25,28,31,0.9959,0.00327953,7.76446,0.9959,0.000887928
9,0,0.0185395,-0.0101687,-0.00207575,-0.712361,0.0552404,29,32,35,0.98493,0.00361399,20.8181,0.98493,0.000717898
10,0,0.00605483,-0.0110009,0.00690689,0.0777074,0.0513306,26,29,32,0.995899,0.00364845,34.4404,0.995899,0.000450575
11,0,-0.00849561,0.0124521,-0.00384525,1.11519,0.0561072,26,29,32,0.9959,0.00379622,37.7869,0.9959,0.000482018
12,0,-0.014119,0.0144666,-0.00886875,-0.449622,0.054849,29,32,35,0.98493,0.00500648,59.6687,0.98493,0.000493544
13,0,0.00730152,-0.0103034,0.00985405,0.338282,0.0509361,26,29,32,0.995898,0.00427513,48.0034,0.995898,0.000418686
14,0,0.0183864,-0.0107615,-0.00186384,-0.974749,0.0557027,26,29,32,0.995899,0.00319312,34.2445,0.995899,0.000536426
15,0,-0.00175831,-0.0111027,0.00234451,-0.980163,0.0544605,30,33,36,0.984126,0.00439768,18.8492,0.984126,0.000668953
16,0,0.0175472,-0.0130385,0.00541311,-0.445918,0.0505446,27,30,33,0.998327,0.00256126,18.4235,0.998327,0.000594425
17,0,-0.0100821,0.00146525,0.00685325,-0.714416,0.0553011,27,30,33,0.995898,0.00383622,12.3823,0.995898,0.000802356
18,0,0.00322321,0.0102009,-0.00516584,0.0739626,0.0540748,31,34,37,0.984126,0.00459802,16.6918,0.984126,0.000718797
19,0,0.0163876,-0.00505225,-0.00609053,-0.975822,0.0501563,27,30,33,0.998299,0.00277335,29.0087,0.998299,0.000488442
20,0,-0.00702639,0.000643929,0.00659929,-0.451194,0.0549025,27,30,33,0.99737,0.00455177,11.2958,0.99737,0.00083228
21,0,-0.0169962,0.0057061,0.00640291,0.334685,0.0536918,31,34,37,0.960679,0.00404156,18.7044,0.960679,0.000762125
22,0,-0.00933486,0.012208,-0.00316888,1.12485,0.049771,28,31,34,0.998269,0.00415036,44.8696,0.998269,0.000426541
23,0,-0.0118754,0.0122296,0.000690973,1.11911,0.0545068,28,31,34,0.997324,0.00423824,53.0963,0.997324,0.000446944
0,1,-0.00682469,-0.000721351,0.00482513,-0.375119,0.0564351,27,30,33,0.998477,0.00374306,34.8237,0.998477,0.00057686
1,1,-0.0121637,0.00548701,0.000904391,1.46237,0.0525364,24,27,30,0.996195,0.0033141,59.7219,0.996195,0.000369227
2,1,-0.00212144,-0.00471125,0.00391627,0.14558,0.0573422,24,27,30,0.979385,0.00324305,42.5535,0.979385,0.000458807
3,1,0.0123976,-0.00141306,-0.00310939,-0.911123,0.0560351,27,30,33,0.998449,0.0047312,160.455,0.998449,0.000297203
4,1,-0.0015551,0.00456926,-0.00560626,-0.368125,0.0521324,24,27,30,0.996194,0.00443215,43.1888,0.996194,0.000432447
5,1,-0.0118849,0.00919461,-0.00346416,0.404769,0.0569287,24,27,30,0.996195,0.00550541,268.923,0.996195,0.000252546
6,1,0.0127115,-0.00253807,-0.00342884,-0.898746,0.0556379,28,31,34,0.998419,0.0051761,157.919,0.998419,0.00031135
7,1,-0.0019174,0.00647375,-0.00162812,-0.902874,0.0517316,25,28,31,0.996194,0.00351437,59.4179,0.996194,0.000350947
8,1,0.0135441,-0.00972191,0.00398373,-0.378099,0.0565181,25,28,31,0.996194,0.00586688,296.337,0.996194,0.000247256
9,1,-0.00868639,0.00875978,-0.00182805,-0.63887,0.0552437,29,32,35,0.985053,0.00625342,115.889,0.985053,0.000373203
10,1,0.00951326,0.000140402,-0.00375198,0.155421,0.0513339,25,28,31,0.996193,0.00319064,61.2478,0.996193,0.000365047
11,1,-0.0088159,-0.0020883,0.00324287,1.1836,0.0561106,25,28,31,0.996194,0.00299369,53.1268,0.996194,0.000418509
12,1,-0.00163791,-0.00524305,0.00560526,-0.375174,0.0548523,29,32,35,0.985053,0.00496823,43.0157,0.985053,0.000554479
13,1,0.0089563,-0.00111917,-0.00384661,0.414767,0.0509394,26,29,32,0.996193,0.00333672,46.2957,0.996193,0.00043112
14,1,-0.00333229,0.00730611,-0.00207266,-0.901786,0.055706,26,29,32,0.996193,0.00436307,61.2376,0.996193,0.00041328
15,1,0.0103476,0.00271232,-0.00219757,-0.912783,0.0544637,30,33,36,0.984214,0.00445156,88.9113,0.984214,0.000375235
16,1,-0.00622186,0.007788,-0.00551384,-0.368229,0.0505479,27,30,33,0.998477,0.00575727,96.4748,0.998477,0.00034229
17,1,0.013359,-0.00772349,6.76621e-05,-0.642939,0.0553045,27,30,33,0.996193,0.00563125,185.821,0.996193,0.000300282
18,1,-0.0107976,-0.00180098,0.00321814,0.148395,0.0540779,30,33,36,0.984214,0.00481874,85.3798,0.984214,0.00039388
19,1,-0.00647909,0.00663702,0.000935418,-0.904458,0.0501596,27,30,33,0.998449,0.00456599,106.664,0.998449,0.000292986
20,1,0.013736,-0.00766308,0.000351096,-0.378272,0.0549058,27,30,33,0.997471,0.00555184,111.143,0.997471,0.000366994
21,1,0.0116207,-0.00737304,-0.00149711,0.408024,0.0536949,31,34,37,0.96194,0.0070584,190.856,0.96194,0.000319647
22,1,-0.00538276,-0.00414199,0.00321029,1.20251,0.0497742,28,31,34,0.998419,0.0032361,49.5101,0.998419,0.000401097
23,1,-0.00403864,-0.00553659,0.00164735,1.19108,0.0545101,28,31,34,0.997417,0.00330587,47.2563,0.997417,0.000448321
0,2,0.00722566,-0.00573399,0.00144278,-0.300276,0.0564378,27,30,33,0.998585,0.00431397,278.683,0.998585,0.000205355
1,2,0.000154682,-0.003185,0.00256075,1.53905,0.0525388,24,27,30,0.996435,0.0026315,67.6458,0.996435,0.000269727
2,2,0.00754375,-0.00412618,-0.000287443,0.219045,0.0573447,24,27,30,0.979965,0.00306918,451.575,0.979965,0.000141151
3,2,0.000619331,0.00358921,9.87135e-05,-0.842637,0.0560378,27,30,33,0.998557,0.00228377,68.5642,0.998557,0.00028888
4,2,-0.00896418,0.00539694,-0.00123813,-0.290383,0.0521349,24,27,30,0.996434,0.00329476,354.362,0.996434,0.0001519
5,2,-0.00735903,0.0011692,0.00188917,0.476907,0.0569313,24,27,30,0.996435,0.0019311,60.9907,0.996435,0.000318491
6,2,0.000536726,0.00385696,-0.000306512,-0.823918,0.0556406,28,31,34,0.998527,0.00253435,67.0485,0.998527,0.000305441
7,2,-0.007743,0.00208596,0.00123312,-0.83074,0.0517341,25,28,31,0.996434,0.00265007,406.648,0.996434,0.000126903
8,2,0.00566393,-0.000323456,-0.0022919,-0.30467,0.0565208,25,28,31,0.996434,0.00204012,46.2057,0.996434,0.000367227
9,2,-0.00760314,7.43838e-05,0.0023327,-0.565026,0.0552463,29,32,35,0.985158,0.00280012,87.7273,0.985158,0.000303697
10,2,-0.00310343,0.00414109,-0.000369243,0.233136,0.0513365,25,28,31,0.996433,0.0028467,118.64,0.996433,0.000207259
11,2,0.00403789,-0.00385907,-0.000361244,1.25234,0.0561133,25,28,31,0.996434,0.0029591,142.417,0.996434,0.000210779
12,2,0.00917189,-0.00448807,-0.000775708,-0.300357,0.0548549,29,32,35,0.985158,0.00445729,327.025,0.985158,0.000199962
13,2,-0.00444904,0.00488316,-0.00153991,0.491247,0.0509419,26,29,32,0.996432,0.00348422,153.428,0.996432,0.000207246
14,2,-0.00854744,0.00199323,0.00152127,-0.828406,0.0557087,26,29,32,0.996433,0.00297971,270.125,0.996433,0.000177501
15,2,-0.00366355,0.00318051,0.00112782,-0.845137,0.0544663,30,33,36,0.984283,0.00322823,114.384,0.984283,0.000243725
16,2,-0.0085872,0.00324291,0.00103007,-0.290538,0.0505504,27,30,33,0.998585,0.00287316,117.304,0.998585,0.000236841
17,2,0.0033634,0.00223163,-0.0025085,-0.57106,0.0553071,27,30,33,0.996432,0.00237554,55.209,0.996432,0.000343464
18,2,0.00380649,-0.00375068,-0.00105643,0.223195,0.0540805,30,33,36,0.984283,0.00355555,117.29,0.984283,0.000254862
19,2,-0.00702829,-0.000528875,0.00128283,-0.833113,0.050162,27,30,33,0.998557,0.00233191,153.395,0.998557,0.000186541
20,2,0.00106902,0.00314213,-0.00298531,-0.304931,0.0549085,27,30,33,0.99756,0.00309023,57.9699,0.99756,0.000353862
21,2,0.00402945,0.00296374,-0.00188988,0.481715,0.0536975,31,34,37,0.963049,0.0026599,62.489,0.963049,0.00034772
22,2,0.00635694,-0.00339806,-0.00106343,1.28018,0.0497767,28,31,34,0.998527,0.0034586,325.453,0.998527,0.000148873
23,2,0.0070781,-0.00242815,-0.00132285,1.26307,0.0545128,28,31,34,0.997498,0.00347056,395.151,0.997498,0.000151587
0,3,0.00138128,0.00112997,-0.000796972,-0.225137,0.05644,27,30,33,0.998664,0.00123016,102.354,0.998664,0.000164861
1,3,0.00390364,-0.000951761,-0.000458334,-0.478671,0.0525402,23,26,29,0.996634,0.000922614,227.199,0.996634,9.25182e-05
2,3,0.00134157,0.000945585,-0.000294956,0.292856,0.0573464,24,27,30,0.980457,0.000863909,103.625,0.980457,0.000129298
3,3,-0.00320737,-0.000452797,0.000214416,-0.773938,0.0560399,27,30,33,0.998636,0.000947943,255.718,0.998636,9.06177e-05
4,3,-4.59947e-05,-0.00132622,0.000813397,-0.212641,0.0521365,24,27,30,0.996633,0.00137486,128.43,0.996633,0.000125226
5,3,0.00324912,-0.00182303,2.72797e-05,0.549379,0.0569331,24,27,30,0.996634,0.00161356,655.36,0.996634,6.49049e-05
6,3,-0.00331581,-0.000454223,0.000331038,-0.748797,0.0556428,28,31,34,0.998607,0.00100704,229.158,0.998607,0.00010313
7,3,0.000309128,-0.00110426,-6.84751e-05,-0.758629,0.0517358,25,28,31,0.996633,0.00105331,149.713,0.996633,9.28836e-05
8,3,-0.00411235,0.0019467,1.4266e-05,-0.230894,0.0565228,25,28,31,0.996633,0.00162959,694.286,0.996633,6.95769e-05
9,3,0.00360273,-0.00122833,-0.000481077,-0.4909,0.0552484,28,31,34,0.985249,0.00188684,785.394,0.985249,6.81603e-05
10,3,-0.00269852,-0.000459096,0.000379943,0.310848,0.0513383,25,28,31,0.996632,0.000649761,142.353,0.996632,0.000103553
11,3,0.0024016,0.000689989,-0.000201556,1.32135,0.0561153,25,28,31,0.996633,0.000611149,127.146,0.996633,0.000115648
12,3,-0.00148025,0.00191148,-0.000216847,-0.225246,0.054857,29,32,35,0.985249,0.00193564,207.987,0.985249,0.000128962
13,3,-0.00246421,-0.000489167,0.000680995,-1.52667,0.0509437,26,29,32,0.996632,0.000800916,115.833,0.996632,0.000126378
14,3,0.00126026,-0.00132494,-0.000132501,-0.754682,0.0557108,26,29,32,0.996632,0.00141074,210.435,0.996632,0.000100165
15,3,-0.00154967,-0.00106948,-9.84545e-05,-0.777284,0.0544683,30,33,36,0.984335,0.000698107,115.947,0.984335,0.000124688
16,3,0.00252676,-0.00193564,0.000265206,-0.212849,0.0505523,26,29,32,0.998664,0.00180709,426.947,0.998664,7.96379e-05
17,3,-0.00407695,0.00089241,0.000583708,-0.498847,0.0553093,27,30,33,0.996632,0.00138921,399.235,0.996632,8.82336e-05
18,3,0.00148836,0.00121217,5.09837e-05,0.298287,0.0540825,30,33,36,0.984335,0.00085185,120.828,0.984335,0.000133739
19,3,0.00234091,-0.000725882,-0.000313412,-0.761789,0.0501639,27,30,33,0.998636,0.00139658,473.348,0.998636,5.48362e-05
20,3,-0.004065,0.000678474,0.00073983,-0.231242,0.0549106,27,30,33,0.997639,0.00122877,203.363,0.997639,0.000124286
21,3,-0.00378706,-9.51358e-05,0.00064288,0.555686,0.0536995,31,34,37,0.964035,0.00156245,338.283,0.964035,0.000102513
