// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998265,9.50276,0.998759
1,shared,1,0.998564,10.6716,0.998154
2,individual,2,0.99422,12.4961,0.990422
3,shared,1,0.998814,13.6128,0.998891
4,shared,0,0.998568,11.6142,0.998161
5,shared,1,0.998564,22.3729,0.998154
6,individual,6,0.997978,10.6251,0.998492
7,individual,7,0.998413,12.9243,0.998147
8,shared,0,0.998568,44.937,0.998161
9,individual,9,0.992532,17.9352,0.989554
10,shared,0,0.998518,12.4999,0.998149
11,individual,11,0.998413,11.3744,0.998147
12,individual,12,0.99259,10.6494,0.989572
13,individual,13,0.998462,8.9309,0.998131
14,shared,0,0.998518,11.6743,0.998149
15,individual,15,0.992824,11.2421,0.989261
16,shared,0,0.998659,13.3626,0.998695
17,individual,17,0.998462,16.7107,0.998131
18,individual,18,0.991146,9.16126,0.987492
19,shared,1,0.998746,13.0399,0.998715
20,shared,0,0.998728,27.1284,0.998562
21,individual,21,0.989596,13.5077,0.9823
22,individual,22,0.998023,12.3843,0.998494
23,shared,1,0.998878,16.6605,0.998566
