// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0122452,0.0131923,-0.010961,-0.449185,0.0599859,27,30,33,0.99836,0.00507852,71.249,0.99836,0.000467623
1,0,-0.00407142,0.00677808,-0.00912083,1.38567,0.0558362,24,27,30,0.996316,0.00402157,24.4741,0.996316,0.000533713
2,0,-0.0188073,0.0136277,-0.0030214,0.0730413,0.0609511,24,27,30,0.979758,0.00301067,48.6648,0.979758,0.000478757
3,0,-0.006569,-0.00805107,0.00574692,-0.979027,0.0595602,27,30,33,0.998331,0.00360551,14.073,0.998331,0.000766495
4,0,0.0190539,-0.0150438,0.00927882,-0.445869,0.0554063,24,27,30,0.996315,0.00270593,30.6832,0.996315,0.000480592
5,0,0.0143434,-0.00693864,-0.00222108,0.333518,0.060511,24,27,30,0.996316,0.00284466,9.27028,0.996316,0.000900952
6,0,-0.00788099,-0.00639377,0.00759028,-0.972797,0.0591375,28,31,34,0.998302,0.00377646,13.4569,0.998302,0.00080948
7,0,0.0178048,-0.00951036,-0.00256343,-0.975062,0.0549798,25,28,31,0.996315,0.00271113,38.8433,0.996315,0.000458655
8,0,-0.0113021,0.0060167,0.00176804,-0.450599,0.0600741,25,28,31,0.996315,0.00337891,7.36786,0.996315,0.000972039
9,0,0.0194657,-0.0104548,-0.0019646,-0.711968,0.058718,29,32,35,0.985172,0.00360364,19.9207,0.985172,0.000780096
10,0,0.00629553,-0.0111513,0.00674517,0.0777045,0.0545566,25,28,31,0.996314,0.00376018,33.5819,0.996314,0.000484581
11,0,-0.00882221,0.0125221,-0.00372015,1.1156,0.0596404,26,29,32,0.996315,0.00388105,37.9864,0.996315,0.000511441
12,0,-0.0148075,0.0148506,-0.00884984,-0.449212,0.0583014,29,32,35,0.985172,0.00515412,60.772,0.985172,0.000526358
13,0,0.00763037,-0.0105388,0.00978023,0.338272,0.0541367,26,29,32,0.996313,0.0043994,45.6594,0.996313,0.000456078
14,0,0.0192389,-0.010954,-0.00172839,-0.97424,0.0592099,26,29,32,0.996314,0.00318219,33.4521,0.996314,0.000576508
15,0,-0.00189814,-0.0111182,0.00228264,-0.979859,0.0578879,30,33,36,0.984365,0.00445951,17.9077,0.984365,0.000724422
16,0,0.0184696,-0.0134843,0.00548259,-0.445921,0.0537201,27,30,33,0.99836,0.00261366,17.89,0.99836,0.000647718
17,0,-0.0106291,0.00158005,0.00670395,-0.713936,0.0587826,27,30,33,0.996313,0.00389402,11.4738,0.996313,0.000880846
18,0,0.00342922,0.0102622,-0.00500816,0.0743724,0.0574774,30,33,36,0.984365,0.00469785,15.9264,0.984365,0.00077931
19,0,0.0171545,-0.00517673,-0.00581175,-0.975852,0.0533068,27,30,33,0.998331,0.00275521,27.5296,0.998331,0.000531152
20,0,-0.00743234,0.000738953,0.00651529,-0.450686,0.0583583,27,30,33,0.997545,0.00465979,10.5413,0.997545,0.000914232
21,0,-0.0178579,0.00590744,0.0062334,0.335077,0.0570698,31,34,37,0.963377,0.00402136,17.4718,0.963377,0.000834945
22,0,-0.00974137,0.0124079,-0.00313722,1.12485,0.0528968,28,31,34,0.998302,0.00425157,45.4442,0.998302,0.000453642
23,0,-0.0123624,0.0123336,0.000589539,1.11913,0.0579372,28,31,34,0.997498,0.00429379,54.0115,0.997498,0.000473199
0,1,-0.00699914,-0.00063238,0.00443192,-0.374361,0.0599889,27,30,33,0.998511,0.00362995,33.3227,0.998511,0.000615647
1,1,-0.0123842,0.0053966,0.000786192,1.46235,0.0558391,24,27,30,0.996583,0.00326147,58.8614,0.996583,0.000390146
2,1,-0.00221601,-0.00444255,0.00348438,0.146527,0.0609539,24,27,30,0.980365,0.00321056,40.6087,0.980365,0.000486801
3,1,0.0124351,-0.00139021,-0.00267759,-0.910557,0.0595632,27,30,33,0.998482,0.00465892,167.158,0.998482,0.000306037
4,1,-0.00151079,0.00442766,-0.00523459,-0.368131,0.0554093,24,27,30,0.996583,0.00446311,41.5335,0.996583,0.000461844
5,1,-0.0120026,0.00891823,-0.0032169,0.405666,0.060514,24,27,30,0.996583,0.00553613,292.834,0.996583,0.000256818
6,1,0.0127925,-0.00247165,-0.00299861,-0.897988,0.0591406,28,31,34,0.998453,0.00509888,162.875,0.998453,0.000322225
7,1,-0.00185583,0.00613165,-0.0014634,-0.902944,0.0549828,25,28,31,0.996582,0.00352388,58.2035,0.996582,0.00036971
8,1,0.0137429,-0.00951524,0.00375138,-0.377152,0.0600771,25,28,31,0.996583,0.00588336,321.053,0.996583,0.000252744
9,1,-0.00873119,0.00846997,-0.00171142,-0.638144,0.058721,29,32,35,0.985271,0.0063059,118.837,0.985271,0.000387928
10,1,0.00965258,7.66034e-05,-0.0033445,0.155416,0.0545596,25,28,31,0.996582,0.00306161,58.7815,0.996582,0.00038773
11,1,-0.00890585,-0.00191672,0.0028279,1.18437,0.0596435,25,28,31,0.996582,0.00285968,51.3339,0.996582,0.000442661
12,1,-0.00174125,-0.00505431,0.00518688,-0.374415,0.0583044,29,32,35,0.985271,0.00489244,40.8786,0.985271,0.000593056
13,1,0.00914893,-0.00115256,-0.00351832,0.414746,0.0541398,26,29,32,0.996581,0.00322506,44.4829,0.996581,0.000459486
14,1,-0.00328051,0.00694789,-0.00187303,-0.90084,0.059213,26,29,32,0.996582,0.00438162,60.2195,0.996582,0.000434647
15,1,0.010412,0.00249689,-0.00191404,-0.912229,0.0578908,30,33,36,0.984428,0.00434612,89.207,0.984428,0.000391706
16,1,-0.00627476,0.00761316,-0.0051805,-0.368235,0.0537232,27,30,33,0.998511,0.00579738,93.4959,0.998511,0.00036426
17,1,0.0135254,-0.00752653,0.000115256,-0.642048,0.0587856,27,30,33,0.996581,0.00564143,200.577,0.996581,0.000306785
18,1,-0.0108983,-0.00165054,0.00284123,0.149154,0.0574803,30,33,36,0.984428,0.00471367,85.442,0.984428,0.000412637
19,1,-0.0064608,0.00632105,0.000789224,-0.904524,0.0533098,27,30,33,0.998482,0.00456836,107.426,0.998482,0.000305741
20,1,0.013967,-0.00753494,0.000383321,-0.377327,0.0583614,27,30,33,0.997633,0.00555245,114.766,0.997633,0.000381878
