// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998469,23.5099,0.998804
1,shared,1,0.998582,16.5315,0.998134
2,individual,2,0.994076,35.6804,0.990123
3,shared,1,0.998935,13.2985,0.998894
4,shared,0,0.998591,29.0007,0.998144
5,shared,1,0.998582,48.1527,0.998134
6,individual,6,0.998229,18.4802,0.998582
7,individual,7,0.998462,17.1688,0.998136
8,shared,0,0.998591,39.7548,0.998144
9,individual,9,0.992373,16.9844,0.989382
10,shared,0,0.998544,14.4001,0.998133
11,individual,11,0.998462,11.2198,0.998136
12,individual,12,0.992434,19.0234,0.989401
13,individual,13,0.998491,15.8834,0.998116
14,shared,0,0.998544,23.9628,0.998133
15,individual,15,0.992663,11.3642,0.989024
16,shared,0,0.998712,21.9029,0.998732
17,individual,17,0.998491,44.3465,0.998116
18,individual,18,0.990915,15.331,0.987287
19,shared,1,0.998813,16.9346,0.998756
20,shared,0,0.998752,28.1808,0.99855
21,individual,21,0.989201,12.8564,0.981632
22,individual,22,0.998233,13.7906,0.998582
23,shared,1,0.998897,15.1715,0.998531
