// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0115541,0.0128342,-0.0111223,-0.449381,0.0582085,27,30,33,0.998333,0.0050794,68.3582,0.998333,0.000459829
1,0,-0.00354464,0.00638515,-0.00910163,1.38568,0.0541843,24,27,30,0.996111,0.0039818,23.6795,0.996111,0.000524685
2,0,-0.0182958,0.013703,-0.00333296,0.0727962,0.0591446,24,27,30,0.979242,0.00304619,49.8313,0.979242,0.000461533
3,0,-0.00692938,-0.00780311,0.00608965,-0.979178,0.0577957,27,30,33,0.998305,0.00354385,14.2361,0.998305,0.000743912
4,0,0.0185823,-0.0149047,0.00950852,-0.445867,0.0537674,24,27,30,0.996111,0.00277835,34.1045,0.996111,0.000446366
5,0,0.0144018,-0.00726478,-0.00194998,0.333286,0.0587178,24,27,30,0.996111,0.00277846,9.52364,0.996111,0.0008657
6,0,-0.00821355,-0.00605191,0.0078886,-0.972993,0.0573858,28,31,34,0.998275,0.00370482,13.7489,0.998275,0.000782661
7,0,0.0174255,-0.009732,-0.00243718,-0.975045,0.0533537,25,28,31,0.99611,0.00276892,40.7829,0.99611,0.000438774
8,0,-0.0114897,0.00637381,0.00143891,-0.450844,0.0582941,25,28,31,0.996111,0.00325729,7.45947,0.996111,0.00093668
9,0,0.0191451,-0.010709,-0.00168011,-0.712155,0.0569789,29,32,35,0.985058,0.00365345,20.9799,0.985058,0.000743615
10,0,0.00573908,-0.0109432,0.00704204,0.077706,0.0529433,25,28,31,0.996109,0.00371865,32.4773,0.996109,0.000476969
11,0,-0.00822984,0.0124713,-0.00404388,1.11541,0.0578735,26,29,32,0.99611,0.0038603,35.9786,0.99611,0.000507619
12,0,-0.01411,0.0146125,-0.00915123,-0.449408,0.0565749,29,32,35,0.985058,0.00516228,60.7448,0.985058,0.000509618
13,0,0.00702564,-0.0101826,0.00991309,0.338277,0.0525361,26,29,32,0.996109,0.00437362,44.0109,0.996109,0.000448375
14,0,0.0188223,-0.0111794,-0.00152248,-0.974485,0.057456,26,29,32,0.996109,0.00324847,35.115,0.996109,0.000551392
15,0,-0.00240115,-0.010998,0.00258626,-0.980006,0.0561739,30,33,36,0.984253,0.00441398,17.8144,0.984253,0.000707314
16,0,0.018106,-0.0135041,0.00581161,-0.445919,0.0521321,27,30,33,0.998333,0.00264294,19.0554,0.998333,0.000611089
17,0,-0.0108612,0.0020105,0.00655347,-0.714168,0.0570415,27,30,33,0.996109,0.00383205,11.7557,0.996109,0.000849251
18,0,0.00391354,0.0100138,-0.00536106,0.0741763,0.0557758,30,33,36,0.984253,0.0046205,15.8698,0.984253,0.000759309
19,0,0.0169002,-0.0055036,-0.00585886,-0.975837,0.0517313,27,30,33,0.998305,0.00281834,29.3476,0.998305,0.00050524
20,0,-0.0077857,0.00120537,0.00627237,-0.45093,0.0566301,27,30,33,0.997456,0.00455982,10.5899,0.997456,0.000885773
21,0,-0.0176946,0.00630247,0.00608149,0.33489,0.0553806,31,34,37,0.962085,0.00406723,18.5302,0.962085,0.000794918
22,0,-0.00913983,0.0123328,-0.00345165,1.12485,0.0513336,28,31,34,0.998275,0.00423017,43.1128,0.998275,0.000448654
23,0,-0.0117503,0.0124411,0.000373849,1.11911,0.0562217,28,31,34,0.997409,0.00431256,51.378,0.997409,0.000468342
0,1,-0.00738117,-0.000327714,0.00455527,-0.374725,0.0582117,27,30,33,0.998482,0.00367931,33.9001,0.998482,0.000600163
1,1,-0.0125283,0.00573793,0.000663065,1.46236,0.0541875,24,27,30,0.99639,0.00339567,61.911,0.99639,0.000375785
2,1,-0.00259271,-0.00440868,0.00378834,0.146071,0.0591478,24,27,30,0.979888,0.00319607,40.6966,0.979888,0.000479733
3,1,0.012567,-0.00167294,-0.00292528,-0.910832,0.0577988,27,30,33,0.998454,0.00480154,172.528,0.998454,0.000298215
4,1,-0.00112259,0.00425615,-0.00541262,-0.368128,0.0537706,24,27,30,0.99639,0.00438519,40.0318,0.99639,0.000458567
5,1,-0.0118055,0.00914722,-0.00354049,0.405233,0.058721,24,27,30,0.99639,0.00558874,268.083,0.99639,0.000260609
6,1,0.0128946,-0.00280422,-0.00320488,-0.898352,0.0573889,28,31,34,0.998424,0.00525296,169.133,0.998424,0.000313077
7,1,-0.00151929,0.00628508,-0.00168225,-0.902909,0.053357,25,28,31,0.996389,0.00348934,56.5001,0.996389,0.000368219
8,1,0.0136062,-0.00975601,0.00409664,-0.377609,0.0582974,25,28,31,0.99639,0.0059892,325.134,0.99639,0.000247195
9,1,-0.00840274,0.00869581,-0.00198575,-0.638491,0.056982,29,32,35,0.985168,0.0062823,109.108,0.985168,0.000392972
10,1,0.00991756,-0.000162928,-0.00356541,0.155418,0.0529465,25,28,31,0.996389,0.0032143,61.7943,0.996389,0.000374988
11,1,-0.00923703,-0.0017758,0.0031076,1.184,0.0578767,25,28,31,0.996389,0.00300021,53.4472,0.996389,0.000429905
12,1,-0.00220629,-0.00488713,0.0054786,-0.374779,0.056578,29,32,35,0.985168,0.00488071,40.8525,0.985168,0.000582554
13,1,0.00943349,-0.0014667,-0.0035983,0.414756,0.0525393,26,29,32,0.996388,0.00334626,46.0848,0.996388,0.000445294
14,1,-0.00290711,0.00710658,-0.00213273,-0.901296,0.0574592,26,29,32,0.996389,0.00433717,57.8588,0.996389,0.000434352
15,1,0.0107014,0.00238394,-0.00217292,-0.912498,0.056177,30,33,36,0.984327,0.00452415,93.246,0.984327,0.000379836
16,1,-0.005897,0.00759753,-0.00548709,-0.368232,0.0521353,27,30,33,0.998482,0.00576661,87.5574,0.998482,0.000365855
17,1,0.0134726,-0.00787651,0.00030713,-0.642478,0.0570447,27,30,33,0.996388,0.0057466,201.914,0.996388,0.000300824
18,1,-0.0111675,-0.00145166,0.00313401,0.14879,0.0557788,30,33,36,0.984327,0.00490675,89.6718,0.984327,0.000399043
19,1,-0.00618147,0.00661451,0.000745807,-0.904491,0.0517344,27,30,33,0.998454,0.00455663,99.9444,0.998454,0.000308899
20,1,0.0139921,-0.00789545,0.000621272,-0.377782,0.0566333,27,30,33,0.99755,0.00570544,121.507,0.99755,0.000367185
21,1,0.0115263,-0.00752213,-0.00121799,0.408402,0.0553835,31,34,37,0.96325,0.00712547,188.277,0.96325,0.00033126
22,1,-0.00587035,-0.00384397,0.00317391,1.20251,0.0513367,28,31,34,0.998424,0.00322127,48.9349,0.998424,0.000415626
23,1,-0.00454226,-0.00525782,0.00169357,1.19107,0.0562249,28,31,34,0.997496,0.00326043,46.4197,0.997496,0.000464752
0,2,0.00694735,-0.00559667,0.00149837,-0.299725,0.0582143,27,30,33,0.99859,0.00431808,264.625,0.99859,0.000213587
1,2,-0.000199185,-0.00293361,0.00243581,1.53903,0.0541896,24,27,30,0.996618,0.00258258,63.5806,0.996618,0.000281846
2,2,0.00733106,-0.00405425,-0.000178516,0.219734,0.05915,24,27,30,0.980429,0.00307715,458.268,0.980429,0.000142926
3,2,0.000970241,0.00338778,2.42246e-05,-0.842238,0.0578014,27,30,33,0.998562,0.00220047,66.0474,0.998562,0.00029786
4,2,-0.00890247,0.00537107,-0.00132203,-0.290387,0.0537729,24,27,30,0.996617,0.00334673,403.457,0.996617,0.000148331
5,2,-0.00758881,0.00137232,0.00168997,0.477556,0.0587234,24,27,30,0.996618,0.00190576,61.7313,0.996618,0.00032336
6,2,0.000910744,0.00363782,-0.00036357,-0.823368,0.0573915,28,31,34,0.998532,0.00244747,64.653,0.998532,0.000315444
7,2,-0.00765607,0.00215428,0.00109862,-0.830795,0.0533593,25,28,31,0.996617,0.00266771,447.901,0.996617,0.000124831
8,2,0.00599449,-0.000583043,-0.00207262,-0.303982,0.0582998,25,28,31,0.996617,0.00196876,45.5971,0.996617,0.000376579
9,2,-0.00781118,0.000324975,0.00216025,-0.564498,0.0569845,29,32,35,0.985263,0.00281099,91.6306,0.985263,0.00030533
10,2,-0.00277793,0.00398429,-0.000428008,0.233131,0.0529489,25,28,31,0.996616,0.0028129,110.888,0.996616,0.000216828
11,2,0.0037066,-0.00372875,-0.00026177,1.2529,0.0578793,25,28,31,0.996617,0.00292445,132.624,0.996617,0.000220088
12,2,0.00907104,-0.00454877,-0.000583084,-0.299807,0.0565805,29,32,35,0.985263,0.00449483,359.091,0.985263,0.00019772
13,2,-0.00412913,0.00471229,-0.00155893,0.491231,0.0525417,26,29,32,0.996616,0.00346495,141.731,0.996616,0.00021798
14,2,-0.0085082,0.00210483,0.00136076,-0.827718,0.0574618,26,29,32,0.996616,0.00300222,300.151,0.996616,0.000174277
15,2,-0.00329907,0.0031279,0.000990576,-0.844748,0.0561794,30,33,36,0.984384,0.00315739,106.503,0.984384,0.00025392
16,2,-0.0087155,0.0033957,0.000836392,-0.290543,0.0521377,27,30,33,0.99859,0.00292328,126.345,0.99859,0.000235947
17,2,0.00373511,0.00194551,-0.00236966,-0.570415,0.0570473,27,30,33,0.996616,0.0022931,53.8312,0.996616,0.000353935
18,2,0.00342937,-0.00367948,-0.000906253,0.223745,0.0557812,30,33,36,0.984384,0.00347764,109.043,0.984384,0.000266283
19,2,-0.0071266,-0.000330834,0.0012084,-0.833165,0.0517368,27,30,33,0.998562,0.00235458,164.98,0.998562,0.000185476
20,2,0.00149309,0.00283953,-0.0028431,-0.304244,0.0566358,27,30,33,0.997633,0.00299349,55.0778,0.997633,0.000368309
21,2,0.00440615,0.00267088,-0.00184803,0.482241,0.0553859,31,34,37,0.964278,0.00259965,62.5848,0.964278,0.000355225
22,2,0.00612285,-0.00340013,-0.000918561,1.28017,0.0513391,28,31,34,0.998532,0.00344897,309.212,0.998532,0.000154761
23,2,0.00685023,-0.00247655,-0.00118249,1.26305,0.0562274,28,31,34,0.997572,0.00346425,388.374,0.997572,0.000155142
0,3,0.00153497,0.000965695,-0.000731497,-0.22445,0.0582163,27,30,33,0.99867,0.00115666,100.833,0.99867,0.000165951
1,3,0.0038149,-0.000969851,-0.00038393,-0.478693,0.0541907,23,26,29,0.996807,0.000912059,242.884,0.996807,8.96135e-05
2,3,0.00144176,0.000817144,-0.000270632,0.293719,0.0591513,23,26,29,0.980887,0.000816312,101.768,0.980887,0.000129728
3,3,-0.00312986,-0.000356214,0.000201749,-0.77345,0.0578034,27,30,33,0.998641,0.000928486,271.33,0.998641,8.67957e-05
4,3,-0.000233006,-0.00117184,0.000746596,-0.212647,0.0537742,24,27,30,0.996806,0.00132401,121.965,0.996806,0.000128055
5,3,0.00302167,-0.00171979,5.88232e-05,0.55019,0.0587249,24,27,30,0.996807,0.0015858,627.97,0.996807,6.51729e-05
6,3,-0.00325809,-0.000348893,0.000306575,-0.74811,0.0573935,28,31,34,0.998612,0.000988369,245.543,0.998612,9.92606e-05
7,3,0.000147121,-0.00100414,-4.45103e-05,-0.758707,0.0533608,25,28,31,0.996806,0.00101088,141.626,0.996806,9.42954e-05
8,3,-0.00391248,0.00187222,-3.37399e-05,-0.230031,0.0583015,25,28,31,0.996806,0.0016129,744.052,0.996806,6.58819e-05
9,3,0.00338476,-0.00120502,-0.000402592,-0.490242,0.0569866,28,31,34,0.985344,0.00185001,785.474,0.985344,6.69365e-05
10,3,-0.00270755,-0.000357249,0.000346642,0.310842,0.0529505,25,28,31,0.996805,0.000621043,146.477,0.996805,0.000102041
11,3,0.00242045,0.000578061,-0.000190628,1.32206,0.0578811,25,28,31,0.996806,0.00057133,129.12,0.996806,0.000114002
12,3,-0.0012246,0.0017701,-0.000242501,-0.224559,0.0565825,29,32,35,0.985344,0.00186051,194.263,0.985344,0.000132351
13,3,-0.00253269,-0.000367184,0.000616677,-1.5267,0.0525434,26,29,32,0.996805,0.00075407,117.588,0.996805,0.000125872
14,3,0.00104692,-0.00122238,-9.48615e-05,-0.75382,0.0574637,26,29,32,0.996805,0.00136002,195.816,0.996805,0.000102341
15,3,-0.00164117,-0.000957744,-6.35573e-05,-0.776807,0.0561814,30,33,36,0.984426,0.000640797,116.601,0.984426,0.000123103
16,3,0.00229741,-0.00181969,0.000283619,-0.212855,0.0521394,26,29,32,0.99867,0.00176858,394.479,0.99867,8.22401e-05
17,3,-0.00394313,0.000917651,0.000499908,-0.498041,0.0570492,26,29,32,0.996805,0.001376,443.157,0.996805,8.36163e-05
