// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998165,18.515,0.99873
1,shared,1,0.998591,25.6383,0.998137
2,individual,2,0.994086,27.1458,0.990126
3,shared,1,0.998687,12.2419,0.998882
4,shared,0,0.998596,13.7861,0.998145
5,shared,1,0.998591,15.5242,0.998137
6,individual,6,0.997976,10.1813,0.998544
7,individual,7,0.998422,21.5457,0.998128
8,shared,0,0.998596,16.9763,0.998145
9,individual,9,0.9923,40.7043,0.989337
10,shared,0,0.998556,16.6297,0.998136
11,individual,11,0.998422,14.5166,0.998128
12,individual,12,0.992357,16.498,0.989356
13,individual,13,0.998501,20.0363,0.998119
14,shared,0,0.998556,22.9244,0.998136
15,individual,15,0.992575,9.45337,0.98905
16,shared,0,0.998727,17.2749,0.998752
17,individual,17,0.998501,11.8292,0.998119
18,individual,18,0.990916,9.42361,0.987288
19,shared,1,0.998827,20.6422,0.998775
20,shared,0,0.998728,10.8051,0.998536
21,individual,21,0.989201,53.8153,0.981632
22,individual,22,0.998054,17.686,0.998548
23,shared,1,0.998871,16.1225,0.998545
