// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0123797,0.0132395,-0.0108762,-0.449382,0.0582085,27,30,33,0.998343,0.00494652,75.3849,0.998343,0.000442398
1,0,-0.00445029,0.00705939,-0.00925898,1.38568,0.0541843,24,27,30,0.996111,0.00396099,27.1276,0.996111,0.000496566
2,0,-0.0184999,0.0133641,-0.00275863,0.0727975,0.0591446,24,27,30,0.979242,0.00294371,46.331,0.979242,0.000470814
3,0,-0.00586937,-0.00833215,0.00569242,-0.979173,0.0577957,27,30,33,0.998315,0.00359825,14.7101,0.998315,0.000728885
4,0,0.0185816,-0.0147195,0.009009,-0.445867,0.0537674,24,27,30,0.996111,0.00259453,28.5446,0.996111,0.000474785
5,0,0.0135623,-0.00637862,-0.00259948,0.333288,0.0587178,24,27,30,0.996111,0.00286929,9.57085,0.996111,0.000858981
6,0,-0.00714445,-0.00674244,0.00760056,-0.972994,0.0573858,28,31,34,0.998285,0.00376478,14.0656,0.998285,0.00076923
7,0,0.0174051,-0.00914588,-0.00286056,-0.975045,0.0533537,25,28,31,0.99611,0.0026697,37.9228,0.99611,0.000446892
8,0,-0.0105165,0.00541777,0.00218155,-0.450842,0.0582941,25,28,31,0.996111,0.00340221,7.68,0.996111,0.000922554
9,0,0.0188524,-0.00991683,-0.00235931,-0.712157,0.0569789,29,32,35,0.985058,0.00357249,19.7739,0.985058,0.000754303
10,0,0.00661366,-0.0112211,0.00662401,0.077706,0.0529433,25,28,31,0.996109,0.00369289,35.5913,0.996109,0.000458896
11,0,-0.00908943,0.0125119,-0.00352732,1.1154,0.0578735,26,29,32,0.99611,0.00381857,39.8847,0.99611,0.000486559
12,0,-0.0148116,0.014706,-0.00857296,-0.449409,0.0565749,29,32,35,0.985058,0.00500221,59.2447,0.985058,0.000512038
13,0,0.00790742,-0.010667,0.00973587,0.338277,0.0525361,26,29,32,0.996109,0.00430361,49.6831,0.996109,0.00042721
14,0,0.0187997,-0.0105425,-0.00206814,-0.974484,0.057456,26,29,32,0.996109,0.00313153,32.59,0.996109,0.000561985
15,0,-0.00125233,-0.0112285,0.00204536,-0.980002,0.0561739,30,33,36,0.984253,0.0044442,18.9924,0.984253,0.00068583
16,0,0.0179054,-0.0130241,0.00509172,-0.445919,0.0521321,27,30,33,0.998343,0.0025433,17.3269,0.998343,0.000630968
17,0,-0.00984401,0.0010347,0.00700671,-0.714165,0.0570415,27,30,33,0.996109,0.00390017,12.0982,0.996109,0.000833349
18,0,0.00273501,0.0104529,-0.00481805,0.0741754,0.0557758,30,33,36,0.984253,0.00467771,16.7893,0.984253,0.000738486
19,0,0.0166408,-0.00473158,-0.00605245,-0.975837,0.0517313,27,30,33,0.998315,0.00271737,27.187,0.998315,0.000514674
20,0,-0.00666707,0.000176696,0.0068443,-0.450929,0.0566301,27,30,33,0.997466,0.00465227,11.2627,0.997466,0.000860032
21,0,-0.017149,0.00531124,0.00655589,0.334888,0.0553806,31,34,37,0.962085,0.00400484,17.6375,0.962085,0.000801804
22,0,-0.00993695,0.0122942,-0.00286198,1.12485,0.0513336,28,31,34,0.998285,0.00417529,47.1578,0.998285,0.000432661
23,0,-0.0124863,0.0121291,0.00090343,1.11913,0.0562217,28,31,34,0.99742,0.00422027,55.5735,0.99742,0.000453022
0,1,-0.00644429,-0.00102395,0.00469777,-0.374727,0.0582117,27,30,33,0.998493,0.00370608,34.2841,0.998493,0.000592472
1,1,-0.0120384,0.00516161,0.00102595,1.46236,0.0541875,24,27,30,0.99639,0.00319409,56.8918,0.99639,0.000384223
2,1,-0.00174576,-0.00474545,0.0036074,0.146074,0.0591478,24,27,30,0.979888,0.00325894,42.5052,0.979888,0.000466159
3,1,0.0122722,-0.0011344,-0.00285191,-0.910823,0.0577988,27,30,33,0.998465,0.00459067,154.96,0.998465,0.000305898
4,1,-0.00194663,0.00474961,-0.0054407,-0.368128,0.0537706,24,27,30,0.99639,0.00451418,44.8754,0.99639,0.00043653
5,1,-0.0120887,0.00897175,-0.00314233,0.405238,0.058721,24,27,30,0.99639,0.00545469,290.317,0.99639,0.000250366
6,1,0.0126148,-0.00220962,-0.0032135,-0.898354,0.0573889,28,31,34,0.998436,0.00502372,151.474,0.998436,0.00032146
7,1,-0.00225755,0.00633648,-0.00141459,-0.902909,0.053357,25,28,31,0.996389,0.00355496,61.3023,0.996389,0.000353203
8,1,0.0136866,-0.00948729,0.00364106,-0.377605,0.0582974,25,28,31,0.99639,0.00576344,288.644,0.99639,0.000254511
9,1,-0.00901742,0.00853691,-0.00155613,-0.638495,0.056982,29,32,35,0.985168,0.00627888,126.315,0.985168,0.000369013
10,1,0.00926393,0.000377115,-0.00353625,0.155418,0.0529465,25,28,31,0.996389,0.00305119,58.283,0.996389,0.000378457
11,1,-0.00849004,-0.00222641,0.00295583,1.18399,0.0578767,25,28,31,0.996389,0.0028614,51.095,0.996389,0.000431449
12,1,-0.00117242,-0.0054096,0.00531046,-0.374781,0.056578,29,32,35,0.985168,0.00498624,43.1134,0.985168,0.000565149
13,1,0.00868359,-0.000810197,-0.00377244,0.414756,0.0525393,26,29,32,0.996388,0.0032338,44.7363,0.996388,0.000445953
14,1,-0.00370739,0.00714917,-0.00181304,-0.901292,0.0574592,26,29,32,0.996389,0.00440932,63.9099,0.996389,0.000413899
15,1,0.0100616,0.00282161,-0.00193427,-0.912489,0.056177,30,33,36,0.984327,0.00428178,85.2427,0.984327,0.000387412
16,1,-0.00660786,0.00781874,-0.00522047,-0.368232,0.0521353,27,30,33,0.998493,0.00579371,103.069,0.998493,0.00034172
17,1,0.0134161,-0.00737829,-0.000119795,-0.642473,0.0570447,27,30,33,0.996388,0.00553034,183.441,0.996388,0.000307488
18,1,-0.0105306,-0.00199633,0.00291922,0.148788,0.0557788,30,33,36,0.984327,0.00463272,81.4542,0.984327,0.000407873
19,1,-0.00676878,0.00636055,0.000975839,-0.904491,0.0517344,27,30,33,0.998465,0.00458335,114.721,0.998465,0.000290802
20,1,0.0137135,-0.0073068,0.00011732,-0.377779,0.0566333,27,30,33,0.997561,0.00540525,105.046,0.997561,0.000382366
21,1,0.0118208,-0.00701742,-0.00158875,0.408397,0.0553835,31,34,37,0.96325,0.00702082,207.207,0.96325,0.000316928
22,1,-0.00501924,-0.00422993,0.00292975,1.20251,0.0513367,28,31,34,0.998436,0.00316441,48.4091,0.998436,0.000412213
23,1,-0.00362905,-0.00547242,0.00141325,1.19111,0.0562249,28,31,34,0.997507,0.00326069,46.8322,0.997507,0.000457556
0,2,0.00727781,-0.00543212,0.00121422,-0.299729,0.0582143,27,30,33,0.998602,0.00421939,322.161,0.998602,0.000195665
1,2,0.00043605,-0.00315826,0.00232406,1.53903,0.0541896,24,27,30,0.996618,0.00263483,70.6501,0.996618,0.000266429
2,2,0.00745334,-0.00379045,-0.000315379,0.219739,0.05915,24,27,30,0.980428,0.00296317,510.354,0.980428,0.000134635
