// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998327,9.585,0.998771
1,shared,1,0.998586,11.276,0.998135
2,individual,2,0.994073,12.0347,0.990114
3,shared,1,0.998833,13.8961,0.998893
4,shared,0,0.998592,11.4771,0.998144
5,shared,1,0.998586,22.7992,0.998135
6,individual,6,0.998116,10.7252,0.998568
7,individual,7,0.998442,12.5484,0.998132
8,shared,0,0.998592,47.1316,0.998144
9,individual,9,0.992328,18.2079,0.989354
10,shared,0,0.99855,12.5788,0.998134
11,individual,11,0.998442,11.4126,0.998132
12,individual,12,0.992387,10.292,0.989373
13,individual,13,0.998496,9.24978,0.998117
14,shared,0,0.99855,11.493,0.998134
15,individual,15,0.992632,11.3694,0.989036
16,shared,0,0.99872,13.0588,0.998743
17,individual,17,0.998496,16.9331,0.998117
18,individual,18,0.990906,9.18025,0.98728
19,shared,1,0.99882,13.1394,0.998766
20,shared,0,0.998739,28.3002,0.998543
21,individual,21,0.989189,13.7829,0.981617
22,individual,22,0.998145,11.9942,0.998569
23,shared,1,0.998882,15.935,0.998539
