// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0126543,0.0137896,-0.0116289,-0.449384,0.0614432,27,30,33,0.998337,0.00529788,68.2112,0.998337,0.000502396
1,0,-0.00423114,0.00711231,-0.00970453,1.38568,0.0571909,24,27,30,0.996109,0.00419738,23.9745,0.996109,0.000569389
2,0,-0.0194455,0.0143122,-0.00321996,0.0727942,0.0624325,24,27,30,0.979233,0.00316456,45.5074,0.979233,0.000519884
3,0,-0.00675635,-0.00852959,0.00622481,-0.979177,0.061007,27,30,33,0.998309,0.00377322,13.6875,0.998309,0.000821485
4,0,0.0196362,-0.0156637,0.00979193,-0.445867,0.0567503,24,27,30,0.996108,0.00283735,29.4588,0.996108,0.000513844
5,0,0.0147703,-0.00721122,-0.00240223,0.333284,0.0619814,24,27,30,0.996109,0.0029839,9.02972,0.996109,0.000962132
6,0,-0.00810894,-0.00676355,0.0081851,-0.972996,0.0605739,28,31,34,0.998279,0.00394618,13.1533,0.998279,0.000865616
7,0,0.0184072,-0.0099831,-0.00280087,-0.975045,0.0563132,25,28,31,0.996108,0.00287357,37.2393,0.996108,0.000493852
8,0,-0.0116214,0.00623099,0.00191101,-0.450846,0.0615337,25,28,31,0.996108,0.00351945,7.15671,0.996108,0.00103724
9,0,0.0200812,-0.0109086,-0.00213507,-0.712158,0.0601439,29,32,35,0.985057,0.00381597,19.263,0.985057,0.000835589
10,0,0.00653585,-0.0117209,0.00722158,0.0777059,0.0558795,25,28,31,0.996107,0.00391576,32.1816,0.996107,0.000521732
11,0,-0.00916063,0.0132106,-0.00399896,1.1154,0.0610893,26,29,32,0.996108,0.00405741,35.8594,0.996108,0.000554281
12,0,-0.0152919,0.0155059,-0.00936933,-0.449411,0.0597171,29,32,35,0.985057,0.00537035,56.9493,0.985057,0.000569163
13,0,0.00789878,-0.0110273,0.010386,0.338277,0.0554492,26,29,32,0.996107,0.00458512,44.3104,0.996107,0.000487895
14,0,0.0198836,-0.0114873,-0.00189872,-0.974487,0.0606481,26,29,32,0.996107,0.00337049,32.0209,0.996107,0.000620924
15,0,-0.00192243,-0.0117503,0.00244409,-0.980006,0.0592933,30,33,36,0.984251,0.00468063,17.3967,0.984251,0.000776987
16,0,0.0190285,-0.0140281,0.00576681,-0.445919,0.0550223,27,30,33,0.998337,0.0027362,17.1682,0.998337,0.000692914
17,0,-0.0109344,0.00160902,0.00716615,-0.714169,0.0602101,27,30,33,0.996107,0.00408594,11.2789,0.996107,0.000938576
18,0,0.00350544,0.0108202,-0.00537741,0.0741739,0.0588726,30,33,36,0.984251,0.00491332,15.4361,0.984251,0.000835408
19,0,0.017727,-0.00541468,-0.00629734,-0.975837,0.0545988,27,30,33,0.998309,0.00292385,26.7292,0.998309,0.000568792
20,0,-0.00762959,0.000728391,0.00693178,-0.450932,0.0597754,27,30,33,0.99746,0.00486897,10.325,0.99746,0.000973862
21,0,-0.0184156,0.00614457,0.00668132,0.334888,0.058455,31,34,37,0.962071,0.00426258,17.0971,0.962071,0.000890705
22,0,-0.0100908,0.0130236,-0.00333435,1.12485,0.0541785,28,31,34,0.998279,0.00444133,42.7119,0.998279,0.000491209
23,0,-0.0128179,0.0129929,0.000679307,1.11912,0.0593438,28,31,34,0.997414,0.0045089,50.6612,0.997414,0.00051347
0,1,-0.00730955,-0.000711909,0.0048946,-0.37473,0.0614468,27,30,33,0.998487,0.00389784,32.226,0.998487,0.0006655
1,1,-0.0129885,0.00576529,0.000895718,1.46236,0.0571944,24,27,30,0.996388,0.00348045,56.1106,0.996388,0.000424023
2,1,-0.00229017,-0.00483745,0.0039091,0.146067,0.062436,24,27,30,0.97988,0.00340983,39.3244,0.97988,0.000527747
3,1,0.0131372,-0.00148241,-0.00305787,-0.910831,0.0610105,27,30,33,0.998459,0.00496371,155.028,0.998459,0.000336808
4,1,-0.0016277,0.00475974,-0.00573687,-0.368128,0.0567539,24,27,30,0.996388,0.00470408,40.0567,0.996388,0.000499335
5,1,-0.0126376,0.00958002,-0.0035293,0.405231,0.061985,24,27,30,0.996388,0.00583711,265.799,0.996388,0.000284439
6,1,0.0134922,-0.00264929,-0.00339761,-0.898357,0.0605774,28,31,34,0.998429,0.00543145,151.772,0.998429,0.000353734
7,1,-0.0019997,0.00667049,-0.00163554,-0.902909,0.0563168,25,28,31,0.996387,0.00372247,55.6438,0.996387,0.000402433
8,1,0.0144342,-0.0101756,0.00408725,-0.377612,0.0615373,25,28,31,0.996388,0.00621201,292.179,0.996388,0.000279202
9,1,-0.00921454,0.0091092,-0.00186986,-0.638497,0.0601474,29,32,35,0.985167,0.0066395,111.073,0.985167,0.000424857
10,1,0.0101431,0.000111588,-0.00375743,0.155418,0.0558831,25,28,31,0.996387,0.00330853,56.7514,0.996387,0.00042036
11,1,-0.00937377,-0.00211481,0.00320778,1.18399,0.0610929,25,28,31,0.996387,0.00309408,49.4104,0.996387,0.000480632
12,1,-0.00178671,-0.00544204,0.00570664,-0.374784,0.0597205,29,32,35,0.985167,0.00521176,39.6612,0.985167,0.000640401
13,1,0.00957986,-0.00120642,-0.00390007,0.414756,0.0554528,26,29,32,0.996386,0.00347313,42.9272,0.996386,0.000497261
14,1,-0.00350023,0.00753482,-0.00208433,-0.901299,0.0606517,26,29,32,0.996387,0.00462233,57.4737,0.996387,0.000473223
15,1,0.010983,0.00275476,-0.00217411,-0.912497,0.0592967,30,33,36,0.984326,0.00465227,84.3339,0.984326,0.000428029
16,1,-0.00661639,0.00814958,-0.0056596,-0.368232,0.0550258,27,30,33,0.998487,0.00611094,89.8212,0.998487,0.000394548
17,1,0.0142218,-0.00806587,9.42258e-05,-0.64248,0.0602137,27,30,33,0.996386,0.0059602,182.786,0.996386,0.000338929
18,1,-0.0114781,-0.00182544,0.00320393,0.148785,0.058876,30,33,36,0.984326,0.00503982,80.83,0.984326,0.000450157
19,1,-0.00684987,0.00685739,0.000912664,-0.904491,0.0546023,27,30,33,0.998459,0.00483125,101.285,0.998459,0.000334417
20,1,0.0146538,-0.00803927,0.000385741,-0.377785,0.0597789,27,30,33,0.997554,0.0058714,106.905,0.997554,0.000418011
21,1,0.0123495,-0.00768522,-0.00148803,0.408396,0.0584583,31,34,37,0.963237,0.00747827,187.682,0.963237,0.000360989
22,1,-0.00575987,-0.00426761,0.00322917,1.20251,0.054182,28,31,34,0.998429,0.0033696,46.0038,0.998429,0.000461908
23,1,-0.00432215,-0.00567234,0.00164369,1.19109,0.0593474,28,31,34,0.9975,0.00344173,44.0693,0.9975,0.000514667
0,2,0.00752285,-0.0058296,0.00143377,-0.299733,0.0614497,27,30,33,0.998596,0.00451371,277.734,0.998596,0.000227917
1,2,0.000125205,-0.00321965,0.00251826,1.53903,0.0571968,24,27,30,0.996616,0.00275778,63.366,0.996616,0.000305912
2,2,0.00781969,-0.00414478,-0.000263419,0.219729,0.0624385,24,27,30,0.98042,0.00319322,465.682,0.98042,0.000154399
3,2,0.000678625,0.00356295,8.64365e-05,-0.842235,0.0610134,27,30,33,0.998567,0.00235805,64.301,0.998567,0.000325735
4,2,-0.00938653,0.00552477,-0.00124368,-0.290387,0.0567564,24,27,30,0.996615,0.00343507,353.356,0.996615,0.000168965
5,2,-0.00770265,0.0012102,0.00183546,0.477553,0.0619877,24,27,30,0.996616,0.00195427,57.024,0.996616,0.00036103
6,2,0.000594694,0.00385026,-0.000300782,-0.823376,0.0605803,28,31,34,0.998538,0.00262462,63.193,0.998538,0.000344641
7,2,-0.00804237,0.0021046,0.00117107,-0.830795,0.0563194,25,28,31,0.996615,0.00274338,407.065,0.996615,0.000140505
8,2,0.00595342,-0.000357123,-0.00224997,-0.303987,0.0615401,25,28,31,0.996615,0.00208803,43.2263,0.996615,0.000416817
