// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998345,9.92369,0.998766
1,shared,1,0.998533,11.761,0.998058
2,individual,2,0.993863,11.991,0.989775
3,shared,1,0.998848,14.7015,0.998884
4,shared,0,0.99854,11.6832,0.998067
5,shared,1,0.998533,23.5459,0.998058
6,individual,6,0.99814,11.1584,0.998568
7,individual,7,0.998394,12.5113,0.998057
8,shared,0,0.99854,49.8385,0.998067
9,individual,9,0.992127,18.2092,0.989158
10,shared,0,0.998499,12.6156,0.998058
11,individual,11,0.998394,11.6776,0.998057
12,individual,12,0.992185,10.2648,0.989177
13,individual,13,0.998445,9.69616,0.998042
14,shared,0,0.998499,11.662,0.998058
15,individual,15,0.99244,11.9717,0.988811
16,shared,0,0.998692,12.9912,0.998727
17,individual,17,0.998445,17.6977,0.998042
18,individual,18,0.990668,9.52762,0.987072
19,shared,1,0.998802,13.292,0.998752
20,shared,0,0.998709,30.6631,0.99851
21,individual,21,0.988773,14.2501,0.980916
22,individual,22,0.998157,11.9742,0.998569
23,shared,1,0.998866,15.7121,0.998507
