// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0123566,0.0136138,-0.0116538,-0.449597,0.0595657,27,30,33,0.998326,0.00522529,69.0646,0.998326,0.000482818
1,0,-0.00414903,0.00704275,-0.00974608,1.38568,0.0554459,24,27,30,0.995898,0.00414093,24.8227,0.995898,0.000543327
2,0,-0.0190058,0.014196,-0.00323935,0.0725291,0.0605242,24,27,30,0.978683,0.00314348,44.9926,0.978683,0.00050504
3,0,-0.00657765,-0.00853604,0.00636793,-0.97934,0.0591431,28,31,34,0.998298,0.00373356,14.0627,0.998298,0.000788005
4,0,0.0191327,-0.0154022,0.00975139,-0.445866,0.055019,24,27,30,0.995898,0.00281088,29.919,0.995898,0.000491358
5,0,0.014388,-0.00708264,-0.00245617,0.333033,0.0600872,24,27,30,0.995898,0.00295884,9.29536,0.995898,0.00091935
6,0,-0.00789627,-0.00675891,0.00833648,-0.973209,0.0587235,28,31,34,0.998268,0.00389889,13.5889,0.998268,0.000828339
7,0,0.017986,-0.00989016,-0.00288555,-0.975029,0.0545955,25,28,31,0.995897,0.00287644,37.7538,0.995897,0.000475562
8,0,-0.0113068,0.00610038,0.00195328,-0.451111,0.0596534,25,28,31,0.995898,0.0034655,7.3486,0.995898,0.000990301
9,0,0.0195863,-0.0107505,-0.00219135,-0.712363,0.0583069,29,32,35,0.984929,0.00381842,19.6967,0.984929,0.000800761
10,0,0.00640482,-0.0116287,0.00729599,0.0777073,0.0541753,26,29,32,0.995897,0.00385425,32.6124,0.995897,0.000502397
11,0,-0.00898337,0.0131619,-0.00406091,1.11518,0.0592228,26,29,32,0.995897,0.00401056,35.7752,0.995897,0.000537555
12,0,-0.0149233,0.0152928,-0.00937047,-0.449624,0.0578933,29,32,35,0.984929,0.00528952,56.4837,0.984929,0.000550427
13,0,0.00772131,-0.0108927,0.0104107,0.338282,0.0537584,26,29,32,0.995896,0.00451678,45.4668,0.995896,0.00046681
14,0,0.0194264,-0.0113768,-0.00196842,-0.974752,0.0587953,26,29,32,0.995897,0.00337396,32.4055,0.995897,0.000598355
15,0,-0.00184926,-0.0117312,0.00247412,-0.980165,0.0574827,30,33,36,0.984125,0.00464617,17.8451,0.984125,0.000745974
16,0,0.0185356,-0.0137822,0.00572323,-0.445918,0.0533448,27,30,33,0.998326,0.00270577,17.4306,0.998326,0.000662958
17,0,-0.0106436,0.00154849,0.00723761,-0.714418,0.058371,27,30,33,0.995896,0.00405381,11.7205,0.995896,0.000894826
18,0,0.00339678,0.0107782,-0.00545517,0.0739605,0.0570751,31,34,37,0.984125,0.00485816,15.8028,0.984125,0.000801559
19,0,0.017314,-0.00534342,-0.00643484,-0.975822,0.0529345,27,30,33,0.998298,0.00293078,27.4577,0.998298,0.00054473
20,0,-0.00741447,0.000679044,0.00696913,-0.451196,0.0579498,27,30,33,0.997369,0.00480987,10.6913,0.997369,0.000928189
21,0,-0.0179555,0.0060348,0.00676386,0.334683,0.0566705,31,34,37,0.960664,0.00427052,17.6976,0.960664,0.000850061
22,0,-0.00987083,0.0129042,-0.00334603,1.12485,0.0525273,28,31,34,0.998268,0.00438458,42.482,0.998268,0.000475613
23,0,-0.0125548,0.0129268,0.000732519,1.11911,0.0575317,28,31,34,0.997322,0.00447767,50.2634,0.997322,0.000498461
0,1,-0.00721265,-0.000758071,0.00509926,-0.375124,0.0595695,27,30,33,0.998476,0.00395534,32.9569,0.998476,0.000643458
1,1,-0.0128556,0.00580192,0.000956946,1.46237,0.0554497,24,27,30,0.996193,0.00350197,56.5316,0.996193,0.000411828
2,1,-0.00223937,-0.00497497,0.00413726,0.145574,0.060528,24,27,30,0.979376,0.00342705,40.2809,0.979376,0.000511759
3,1,0.0131056,-0.00149274,-0.00328833,-0.911127,0.0591468,27,30,33,0.998448,0.00499936,151.968,0.998448,0.000331518
4,1,-0.00164799,0.00482564,-0.00592157,-0.368126,0.0550228,24,27,30,0.996192,0.00468346,40.8824,0.996192,0.000482297
5,1,-0.0125646,0.00971637,-0.00365741,0.404764,0.060091,24,27,30,0.996193,0.00581754,255.012,0.996193,0.000281648
6,1,0.0134376,-0.0026816,-0.00362603,-0.89875,0.0587271,28,31,34,0.998418,0.00546954,149.554,0.998418,0.000347285
7,1,-0.00202844,0.00683763,-0.00171946,-0.902875,0.0545993,25,28,31,0.996191,0.00371383,56.2607,0.996191,0.00039139
8,1,0.0143177,-0.0102746,0.00420651,-0.378104,0.0596572,25,28,31,0.996192,0.00619945,280.973,0.996192,0.000275765
9,1,-0.00918253,0.00925316,-0.00192986,-0.638874,0.0583105,29,32,35,0.985051,0.00660801,109.73,0.985051,0.000416242
