// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998265,9.3155,0.998759
1,shared,1,0.998563,10.7387,0.998153
2,individual,2,0.994213,12.1654,0.990412
3,shared,1,0.998815,13.2109,0.998891
4,shared,0,0.998567,11.3622,0.99816
5,shared,1,0.998563,22.0477,0.998153
6,individual,6,0.99798,10.3656,0.998493
7,individual,7,0.998412,12.6541,0.998147
8,shared,0,0.998567,44.2788,0.99816
9,individual,9,0.992524,18.0966,0.989548
10,shared,0,0.998518,12.6085,0.998148
11,individual,11,0.998412,11.205,0.998147
12,individual,12,0.992583,10.3428,0.989566
13,individual,13,0.998461,8.83871,0.99813
14,shared,0,0.998518,11.3426,0.998148
15,individual,15,0.992818,10.9012,0.989255
16,shared,0,0.998658,13.1823,0.998695
17,individual,17,0.998461,16.2614,0.99813
18,individual,18,0.991137,8.9035,0.987485
19,shared,1,0.998746,12.9551,0.998715
20,shared,0,0.998727,26.325,0.998561
21,individual,21,0.989584,13.4011,0.982286
22,individual,22,0.998023,12.1637,0.998495
23,shared,1,0.998878,16.2751,0.998565
