// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0129433,0.0139462,-0.0115813,-0.449187,0.0633214,27,30,33,0.998359,0.00536572,67.4786,0.998359,0.000521497
1,0,-0.00430805,0.00716749,-0.0096359,1.38567,0.0589364,24,27,30,0.996313,0.00424896,23.1777,0.996313,0.00059514
2,0,-0.0198712,0.0144055,-0.00319382,0.0730387,0.0643413,24,27,30,0.97975,0.00318101,46.0549,0.97975,0.000534087
3,0,-0.00693272,-0.00850658,0.00606944,-0.979029,0.0628716,27,30,33,0.99833,0.00380919,13.3233,0.99833,0.000854836
4,0,0.0201277,-0.0159012,0.00980813,-0.445869,0.0584822,24,27,30,0.996313,0.00285859,29.0318,0.996313,0.000536066
5,0,0.0151465,-0.00733222,-0.00234279,0.333516,0.0638763,24,27,30,0.996313,0.00300606,8.77462,0.996313,0.0010049
6,0,-0.00831866,-0.00675517,0.00801707,-0.972799,0.062425,28,31,34,0.998301,0.00399017,12.7402,0.998301,0.000902782
7,0,0.0188116,-0.0100543,-0.00270775,-0.975062,0.0580314,25,28,31,0.996312,0.002865,36.7681,0.996312,0.000511578
8,0,-0.0119326,0.00635645,0.00186395,-0.450601,0.0634146,25,28,31,0.996313,0.00357052,6.97322,0.996313,0.00108418
9,0,0.020565,-0.0110527,-0.0020739,-0.71197,0.0619816,29,32,35,0.98517,0.00380749,18.8476,0.98517,0.000870195
10,0,0.00665916,-0.0117876,0.00712511,0.0777045,0.0575843,25,28,31,0.996312,0.0039723,31.7994,0.996312,0.000540352
11,0,-0.00932848,0.0132358,-0.00392872,1.1156,0.0629564,26,29,32,0.996312,0.00410018,35.9646,0.996312,0.000570403
12,0,-0.0156509,0.0156985,-0.00935049,-0.449214,0.0615415,29,32,35,0.98517,0.00544552,57.5283,0.98517,0.000587062
13,0,0.0080688,-0.0111414,0.0103327,0.338272,0.0571406,26,29,32,0.996311,0.00464806,43.2456,0.996311,0.000508539
14,0,0.0203273,-0.0115802,-0.00182528,-0.974243,0.0625014,26,29,32,0.996312,0.0033624,31.6557,0.996312,0.000643106
15,0,-0.00199703,-0.0117476,0.00240874,-0.979861,0.0611045,30,33,36,0.984364,0.00471148,16.9536,0.984364,0.000807885
16,0,0.0195103,-0.0142533,0.00579665,-0.445921,0.0567004,27,30,33,0.998359,0.00276114,16.9259,0.998359,0.000722446
17,0,-0.0112216,0.00166979,0.00707984,-0.713939,0.0620498,27,30,33,0.996311,0.00411489,10.8605,0.996311,0.000982428
18,0,0.00361447,0.010843,-0.00528855,0.0743706,0.0606707,30,33,36,0.984364,0.00496363,15.078,0.984364,0.0008691
19,0,0.0181244,-0.00547496,-0.00614025,-0.975852,0.0562636,27,30,33,0.99833,0.00291162,26.0575,0.99833,0.000592404
20,0,-0.00784344,0.000779447,0.00688037,-0.450688,0.0616016,27,30,33,0.997543,0.00492402,9.97714,0.997543,0.00101966
21,0,-0.0188661,0.00624756,0.00658474,0.335076,0.06024,31,34,37,0.963364,0.00424919,16.5313,0.963364,0.000931345
22,0,-0.0103004,0.0131154,-0.00331259,1.12485,0.0558303,28,31,34,0.998301,0.00449151,43.0265,0.998301,0.000505868
23,0,-0.0130695,0.0130366,0.000625329,1.11913,0.0611566,28,31,34,0.997497,0.00453635,51.1301,0.997497,0.000527777
0,1,-0.00739697,-0.000664061,0.00468375,-0.374365,0.0633248,27,30,33,0.99851,0.00383582,31.5363,0.99851,0.000686767
