// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.99847,24.7138,0.998804
1,shared,1,0.998581,17.1385,0.998134
2,individual,2,0.994068,35.1692,0.990113
3,shared,1,0.998935,12.9875,0.998894
4,shared,0,0.99859,28.1607,0.998143
5,shared,1,0.998581,48.9803,0.998134
6,individual,6,0.99823,18.0189,0.998582
7,individual,7,0.998461,16.5416,0.998136
8,shared,0,0.99859,40.8394,0.998143
9,individual,9,0.992365,16.8523,0.989376
10,shared,0,0.998543,14.9773,0.998133
11,individual,11,0.998461,11.0655,0.998136
12,individual,12,0.992427,18.9623,0.989395
13,individual,13,0.99849,16.6352,0.998116
14,shared,0,0.998543,23.1363,0.998133
15,individual,15,0.992656,11.0379,0.989018
16,shared,0,0.998712,21.2091,0.998733
17,individual,17,0.99849,44.0351,0.998116
18,individual,18,0.990906,14.9073,0.987279
19,shared,1,0.998813,16.5002,0.998756
20,shared,0,0.998751,29.093,0.998549
21,individual,21,0.989189,12.6485,0.981617
22,individual,22,0.998233,13.9744,0.998583
23,shared,1,0.998896,15.1371,0.99853
