// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.012213,0.0135678,-0.0117518,-0.449384,0.0614432,27,30,33,0.998332,0.00536672,64.741,0.998332,0.000512787
1,0,-0.00375151,0.00675229,-0.0096156,1.38568,0.0571909,24,27,30,0.996109,0.00420699,22.4248,0.996109,0.000585057
2,0,-0.0193307,0.0144852,-0.00352304,0.0727935,0.0624325,24,27,30,0.979233,0.00321844,47.1575,0.979233,0.000514857
3,0,-0.00731343,-0.00824455,0.00643159,-0.979179,0.061007,27,30,33,0.998304,0.0037441,13.4779,0.998304,0.000829625
4,0,0.0196294,-0.0157543,0.0100509,-0.445867,0.0567503,24,27,30,0.996108,0.00293511,32.2694,0.996108,0.000497874
5,0,0.0152082,-0.00767687,-0.0020563,0.333283,0.0619814,24,27,30,0.996109,0.00293611,9.01411,0.996109,0.000965557
6,0,-0.00867,-0.0063939,0.00833229,-0.972996,0.0605739,28,31,34,0.998274,0.00391457,13.0166,0.998274,0.000872848
7,0,0.0184108,-0.0102886,-0.00257434,-0.975045,0.0563132,25,28,31,0.996108,0.00292598,38.6023,0.996108,0.000489392
8,0,-0.0121308,0.0067338,0.00151613,-0.450846,0.0615337,25,28,31,0.996108,0.00344201,7.05971,0.996108,0.00104471
9,0,0.0202263,-0.0113214,-0.00177328,-0.712157,0.0601439,29,32,35,0.985057,0.00386005,19.8494,0.985057,0.000829478
10,0,0.00607131,-0.0115677,0.00743879,0.0777059,0.0558795,25,28,31,0.996107,0.00392842,30.7539,0.996107,0.000531841
11,0,-0.00870268,0.0131822,-0.00427078,1.1154,0.0610893,26,29,32,0.996108,0.0040782,34.0638,0.996108,0.000566116
12,0,-0.0149138,0.0154469,-0.00966896,-0.44941,0.0597171,29,32,35,0.985057,0.00545421,57.5051,0.985057,0.000568366
13,0,0.00742988,-0.0107651,0.0104731,0.338277,0.0554492,26,29,32,0.996107,0.00462089,41.6839,0.996107,0.000499932
14,0,0.019887,-0.0118184,-0.0016077,-0.974488,0.0606481,26,29,32,0.996107,0.00343235,33.228,0.996107,0.000615074
15,0,-0.00252845,-0.0116206,0.00272956,-0.980008,0.0592933,30,33,36,0.984251,0.00466342,16.8653,0.984251,0.00078878
16,0,0.0191261,-0.0142742,0.00614434,-0.445919,0.0550223,27,30,33,0.998332,0.00279204,18.0283,0.998332,0.00068157
17,0,-0.0114668,0.00212467,0.00692081,-0.71417,0.0602101,27,30,33,0.996107,0.00404943,11.127,0.996107,0.000947165
18,0,0.00412619,0.0105804,-0.00566144,0.0741744,0.0588726,30,33,36,0.984251,0.00488199,15.0244,0.984251,0.00084677
19,0,0.0178558,-0.00582041,-0.00619003,-0.975837,0.0545988,27,30,33,0.998304,0.00297827,27.7773,0.998304,0.000563491
20,0,-0.00821679,0.00127231,0.00662365,-0.450933,0.0597754,27,30,33,0.997455,0.0048184,10.0228,0.997455,0.000987888
21,0,-0.0186935,0.00666502,0.00642422,0.334889,0.058455,31,34,37,0.962071,0.00429758,17.5324,0.962071,0.000886672
22,0,-0.00966489,0.0130361,-0.00364482,1.12485,0.0541785,28,31,34,0.998274,0.00446889,40.8199,0.998274,0.000500282
23,0,-0.0124227,0.0131503,0.000397422,1.11911,0.0593438,28,31,34,0.997408,0.00455613,48.6377,0.997408,0.000522335
0,1,-0.00780073,-0.000342108,0.00481409,-0.374729,0.0614468,27,30,33,0.998481,0.00388799,32.0828,0.998481,0.000669472
1,1,-0.0132409,0.00606708,0.000701942,1.46236,0.0571944,24,27,30,0.996388,0.00358818,58.6049,0.996388,0.000419157
2,1,-0.00273735,-0.00465521,0.00400207,0.146065,0.062436,24,27,30,0.97988,0.00337739,38.5224,0.97988,0.000535121
3,1,0.0132847,-0.00176736,-0.00309379,-0.910836,0.0610105,27,30,33,0.998453,0.0050737,163.419,0.998453,0.000332657
4,1,-0.00119095,0.00449477,-0.00571694,-0.368129,0.0567539,24,27,30,0.996388,0.00463383,37.8933,0.996388,0.000511447
5,1,-0.0124808,0.00966628,-0.00373806,0.405228,0.061985,24,27,30,0.996388,0.00590558,254.217,0.996388,0.000290649
6,1,0.0136312,-0.00296284,-0.00338939,-0.898356,0.0605774,28,31,34,0.998423,0.00555078,160.188,0.998423,0.000349221
7,1,-0.0016078,0.00663824,-0.00177664,-0.902909,0.0563168,25,28,31,0.996387,0.00368738,53.4958,0.996387,0.00041067
8,1,0.0143834,-0.0103106,0.00432582,-0.377614,0.0615373,25,28,31,0.996388,0.0063287,308.34,0.996388,0.000275703
9,1,-0.00888278,0.00918554,-0.0020965,-0.638495,0.0601474,29,32,35,0.985167,0.00663852,103.304,0.985167,0.000438308
10,1,0.0104829,-0.000175207,-0.00376929,0.155418,0.0558831,25,28,31,0.996387,0.00339642,58.4885,0.996387,0.000418273
11,1,-0.00976363,-0.00187368,0.00328551,1.184,0.0610929,25,28,31,0.996387,0.00317019,50.5866,0.996387,0.000479571
12,1,-0.00233243,-0.00516005,0.00578978,-0.374783,0.0597205,29,32,35,0.985167,0.0051575,38.6622,0.985167,0.00064981
13,1,0.00997066,-0.00155367,-0.00380361,0.414756,0.0554528,26,29,32,0.996386,0.00353599,43.6163,0.996386,0.000496671
14,1,-0.00307433,0.0075061,-0.00225259,-0.901301,0.0606517,26,29,32,0.996387,0.00458323,54.7729,0.996387,0.000484478
15,1,0.0113133,0.00251955,-0.00229877,-0.912501,0.0592967,30,33,36,0.984326,0.00478057,88.2635,0.984326,0.000423707
16,1,-0.00623607,0.00802562,-0.00579563,-0.368232,0.0550258,27,30,33,0.998481,0.00609354,82.8989,0.998481,0.00040802
17,1,0.0142424,-0.00832353,0.000321378,-0.642483,0.0602137,27,30,33,0.996386,0.00607239,191.288,0.996386,0.000335525
18,1,-0.0118061,-0.00153435,0.0033145,0.148786,0.058876,30,33,36,0.984326,0.00518491,84.8777,0.984326,0.000445118
19,1,-0.00653431,0.00698636,0.000789078,-0.904491,0.0546023,27,30,33,0.998453,0.00481519,94.6598,0.998453,0.000344489
20,1,0.0147912,-0.00834457,0.000653399,-0.377787,0.0597789,27,30,33,0.997549,0.00602883,115.04,0.997549,0.00040956
21,1,0.0121835,-0.00794532,-0.00128889,0.408398,0.0584583,31,34,37,0.963237,0.00752948,178.321,0.963237,0.000369454
22,1,-0.00620623,-0.00405888,0.00335559,1.20251,0.054182,28,31,34,0.998423,0.00340386,46.3121,0.998423,0.00046358
23,1,-0.00480263,-0.00555313,0.00179129,1.19107,0.0593474,28,31,34,0.997495,0.00344533,43.9325,0.997495,0.000518424
0,2,0.00734069,-0.00591066,0.00158353,-0.299731,0.0614497,27,30,33,0.99859,0.00456287,251.19,0.99859,0.000238235
1,2,-0.000212103,-0.00309684,0.00257479,1.53903,0.0571968,24,27,30,0.996616,0.00272901,60.2308,0.996616,0.000314365
