// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998166,18.1459,0.99873
1,shared,1,0.99859,25.4451,0.998137
2,individual,2,0.994078,28.1772,0.990115
3,shared,1,0.998688,11.8623,0.998882
4,shared,0,0.998595,13.4116,0.998144
5,shared,1,0.99859,15.6072,0.998137
6,individual,6,0.997977,10.0801,0.998545
7,individual,7,0.998421,22.0963,0.998128
8,shared,0,0.998595,17.2005,0.998144
9,individual,9,0.992293,40.4373,0.989331
10,shared,0,0.998556,15.9679,0.998136
11,individual,11,0.998421,14.0084,0.998128
12,individual,12,0.992349,15.9835,0.98935
13,individual,13,0.998501,19.9039,0.998119
14,shared,0,0.998556,23.5059,0.998136
15,individual,15,0.992568,9.16859,0.989043
16,shared,0,0.998727,16.9557,0.998752
17,individual,17,0.998501,11.8524,0.998119
18,individual,18,0.990906,9.45748,0.98728
19,shared,1,0.998827,21.4435,0.998775
20,shared,0,0.998728,11.1728,0.998535
21,individual,21,0.989189,53.657,0.981617
22,individual,22,0.998054,16.9972,0.998548
23,shared,1,0.99887,15.4744,0.998544
