// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0130854,0.0139961,-0.0114918,-0.449384,0.0614432,27,30,33,0.998342,0.00522619,71.3953,0.998342,0.000493353
1,0,-0.00470831,0.00746474,-0.00978189,1.38568,0.0571909,24,27,30,0.996109,0.00418491,25.6917,0.996109,0.000553693
2,0,-0.0195463,0.0141269,-0.00291615,0.0727949,0.0624325,24,27,30,0.979233,0.00311036,43.8477,0.979233,0.000525206
3,0,-0.00619353,-0.00880361,0.00601187,-0.979175,0.061007,27,30,33,0.998314,0.00380149,13.9264,0.998314,0.000812867
4,0,0.0196286,-0.0155586,0.00952299,-0.445867,0.0567503,24,27,30,0.996108,0.0027409,27.0084,0.996108,0.000529568
5,0,0.0143212,-0.00674044,-0.00274266,0.333286,0.0619814,24,27,30,0.996109,0.00303207,9.05945,0.996109,0.000958052
6,0,-0.00754044,-0.00712363,0.00802796,-0.972996,0.0605739,28,31,34,0.998284,0.00397777,13.3166,0.998284,0.000857861
7,0,0.0183892,-0.00966912,-0.00302173,-0.975045,0.0563132,25,28,31,0.996108,0.00282128,35.8983,0.996108,0.000498435
8,0,-0.0111026,0.00572357,0.00230092,-0.450845,0.0615337,25,28,31,0.996108,0.00359511,7.26889,0.996108,0.00102895
9,0,0.0199169,-0.0104843,-0.00249099,-0.712159,0.0601439,29,32,35,0.985057,0.00377464,18.7092,0.985057,0.000841393
10,0,0.00699518,-0.0118613,0.00699709,0.0777059,0.0558795,25,28,31,0.996107,0.00390122,33.7016,0.996107,0.000511699
11,0,-0.00961071,0.013225,-0.00372496,1.1154,0.0610893,26,29,32,0.996108,0.00403423,37.7612,0.996108,0.000542644
12,0,-0.0156551,0.0155457,-0.00905792,-0.449411,0.0597171,29,32,35,0.985057,0.00528494,56.0797,0.985057,0.000571079
13,0,0.00836146,-0.0112769,0.0102858,0.338277,0.0554492,26,29,32,0.996107,0.0045468,47.0577,0.996107,0.000476332
14,0,0.0198631,-0.0111453,-0.00218431,-0.974486,0.0606481,26,29,32,0.996107,0.00330897,30.8411,0.996107,0.000626879
15,0,-0.0013147,-0.0118642,0.00215803,-0.980004,0.0592933,30,33,36,0.984251,0.00469529,17.9804,0.984251,0.000764822
16,0,0.018914,-0.013767,0.0053836,-0.445919,0.0550223,27,30,33,0.998342,0.00268685,16.3933,0.998342,0.000703737
17,0,-0.010392,0.00109351,0.00739979,-0.714167,0.0602101,27,30,33,0.996107,0.00412136,11.4519,0.996107,0.000929416
18,0,0.00288098,0.0110445,-0.00508768,0.0741735,0.0588726,30,33,36,0.984251,0.00494228,15.895,0.984251,0.000823542
19,0,0.0175816,-0.00500452,-0.00639461,-0.975837,0.0545988,27,30,33,0.998314,0.00287167,25.7343,0.998314,0.000574
20,0,-0.00703483,0.000185323,0.00722806,-0.450931,0.0597754,27,30,33,0.997465,0.00491604,10.6602,0.997465,0.000959166
21,0,-0.0181169,0.00561753,0.00692552,0.334887,0.058455,31,34,37,0.962071,0.0042318,16.6885,0.962071,0.000894344
22,0,-0.0105069,0.0129953,-0.00302176,1.12485,0.0541785,28,31,34,0.998284,0.00441094,44.6475,0.998284,0.000482463
23,0,-0.0132002,0.0128205,0.00095701,1.11913,0.0593438,28,31,34,0.997419,0.00445875,52.6078,0.997419,0.000505264
0,1,-0.00681061,-0.00107784,0.00496467,-0.374731,0.0614468,27,30,33,0.998492,0.00391625,32.4461,0.998492,0.000660895
1,1,-0.0127231,0.00545806,0.00108539,1.46236,0.0571944,24,27,30,0.996388,0.00337514,53.8516,0.996388,0.000428571
2,1,-0.00184238,-0.00501114,0.00381088,0.146068,0.062436,24,27,30,0.97988,0.00344386,40.2362,0.97988,0.000519973
3,1,0.012973,-0.00119827,-0.00301625,-0.910826,0.0610105,27,30,33,0.998464,0.00485084,146.761,0.998464,0.000341232
4,1,-0.00206174,0.00501623,-0.00574663,-0.368128,0.0567539,24,27,30,0.996388,0.00477014,42.4796,0.996388,0.000486867
5,1,-0.0127799,0.00948089,-0.00331735,0.405233,0.061985,24,27,30,0.996388,0.00576396,275.362,0.996388,0.000279225
6,1,0.0133354,-0.00233453,-0.00339847,-0.898358,0.0605774,28,31,34,0.998435,0.00530851,143.445,0.998435,0.000358579
7,1,-0.00238785,0.00669259,-0.00149382,-0.902909,0.0563168,25,28,31,0.996387,0.00375673,58.0479,0.996387,0.000393918
8,1,0.0144683,-0.0100267,0.00384443,-0.37761,0.0615373,25,28,31,0.996388,0.00609016,273.673,0.996388,0.000283869
9,1,-0.00953234,0.00901768,-0.00164252,-0.638499,0.0601474,29,32,35,0.985167,0.00663494,119.611,0.985167,0.000411581
10,1,0.00979207,0.000395509,-0.00373847,0.155418,0.0558831,25,28,31,0.996387,0.00322404,55.1645,0.996387,0.000422141
11,1,-0.00897417,-0.0023499,0.00312513,1.18399,0.0610929,25,28,31,0.996387,0.00302353,48.361,0.996387,0.00048129
12,1,-0.00123982,-0.00571216,0.0056121,-0.374785,0.0597205,29,32,35,0.985167,0.005269,40.8019,0.985167,0.000630398
13,1,0.00917808,-0.000859918,-0.0039876,0.414756,0.0554528,26,29,32,0.996386,0.00341714,42.3395,0.996386,0.000497408
14,1,-0.00391996,0.00755116,-0.00191479,-0.901297,0.0606517,26,29,32,0.996387,0.00465951,60.5064,0.996387,0.000461658
15,1,0.0106371,0.00298206,-0.00204657,-0.912492,0.0592967,30,33,36,0.984326,0.00452444,80.6851,0.984326,0.000432159
16,1,-0.00698726,0.00825939,-0.00551391,-0.368232,0.0550258,27,30,33,0.998492,0.0061222,97.5966,0.998492,0.0003811
17,1,0.0141826,-0.0077971,-0.000129729,-0.642477,0.0602137,27,30,33,0.996386,0.00584388,173.768,0.996386,0.000342964
18,1,-0.011133,-0.00210989,0.0030875,0.148784,0.058876,30,33,36,0.984326,0.00489532,77.096,0.984326,0.000454971
19,1,-0.00715487,0.00671804,0.00103214,-0.904491,0.0546023,27,30,33,0.998464,0.00484342,108.674,0.998464,0.000324302
20,1,0.0144967,-0.00772255,0.000120896,-0.377784,0.0597789,27,30,33,0.99756,0.00571165,99.4474,0.99756,0.000426498
21,1,0.0124946,-0.00741205,-0.00168067,0.408394,0.0584583,31,34,37,0.963237,0.00741894,196.276,0.963237,0.000353466
22,1,-0.00530671,-0.00446679,0.00309758,1.20251,0.054182,28,31,34,0.998435,0.00334379,45.8151,0.998435,0.000459773
23,1,-0.00383753,-0.00577995,0.00149506,1.19111,0.0593474,28,31,34,0.997506,0.00344565,44.3242,0.997506,0.000510393
