// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998327,9.66054,0.998771
1,shared,1,0.998586,11.2271,0.998135
2,individual,2,0.994077,12.1811,0.990119
3,shared,1,0.998833,14.0966,0.998893
4,shared,0,0.998593,11.5891,0.998144
5,shared,1,0.998586,23.0066,0.998135
6,individual,6,0.998115,10.8424,0.998568
7,individual,7,0.998442,12.6744,0.998132
8,shared,0,0.998593,47.4142,0.998144
9,individual,9,0.992332,18.1808,0.989357
10,shared,0,0.99855,12.5369,0.998134
11,individual,11,0.998442,11.4808,0.998132
12,individual,12,0.99239,10.44,0.989376
13,individual,13,0.998496,9.2772,0.998117
14,shared,0,0.99855,11.6542,0.998134
15,individual,15,0.992635,11.5393,0.989039
16,shared,0,0.99872,13.155,0.998743
17,individual,17,0.998496,17.1607,0.998117
18,individual,18,0.990911,9.29593,0.987283
19,shared,1,0.99882,13.2065,0.998766
20,shared,0,0.99874,28.6946,0.998543
21,individual,21,0.989195,13.8168,0.981624
22,individual,22,0.998144,12.106,0.998568
23,shared,1,0.998882,16.1118,0.998539
