// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998333,9.53581,0.998792
1,shared,1,0.998591,11.19,0.998136
2,individual,2,0.994093,12.134,0.990173
3,shared,1,0.998831,15.4131,0.998917
4,shared,0,0.998596,11.276,0.998144
5,shared,1,0.998591,26.9983,0.998136
6,individual,6,0.998133,11.4193,0.9986
7,individual,7,0.998444,12.6494,0.998131
8,shared,0,0.998596,49.8241,0.998144
9,individual,9,0.992419,17.9023,0.989545
10,shared,0,0.998554,12.4977,0.998134
11,individual,11,0.998444,12.5552,0.998131
12,individual,12,0.992478,10.4024,0.989565
13,individual,13,0.998501,9.08455,0.998118
14,shared,0,0.998554,12.1222,0.998134
15,individual,15,0.992736,12.3676,0.989241
16,shared,0,0.998735,12.1126,0.99877
17,individual,17,0.998501,19.4321,0.998118
18,individual,18,0.990987,9.48031,0.987485
19,shared,1,0.998834,12.9107,0.998792
20,shared,0,0.998739,27.6887,0.998534
21,individual,21,0.989217,13.9493,0.981706
22,individual,22,0.998163,11.6783,0.998601
23,shared,1,0.998884,19.6734,0.998535
