// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0119243,0.0130256,-0.0115735,-0.449358,0.0598744,27,30,33,0.998393,0.00526167,69.7192,0.998393,0.000474465
1,0,-0.0036812,0.00629172,-0.00918281,1.38572,0.0557302,24,27,30,0.996106,0.00411911,22.1813,0.996106,0.00055756
2,0,-0.0188047,0.014239,-0.00400117,0.0728349,0.060832,24,27,30,0.979529,0.00311266,48.6315,0.979529,0.000485998
3,0,-0.00722897,-0.0076346,0.00669367,-0.978978,0.0594495,27,30,33,0.998365,0.00363214,13.7329,0.998365,0.00078919
4,0,0.0191131,-0.0153702,0.0100942,-0.445857,0.0553012,24,27,30,0.996106,0.00286366,33.5145,0.996106,0.000462113
5,0,0.0147748,-0.00780319,-0.00146235,0.333363,0.0603927,24,27,30,0.996106,0.00280727,8.88253,0.996106,0.000921659
6,0,-0.00850942,-0.00578917,0.00836279,-0.97297,0.0590277,28,31,34,0.998337,0.00381287,13.3986,0.998337,0.000828494
7,0,0.0179188,-0.0103348,-0.0020001,-0.974875,0.0548754,25,28,31,0.996105,0.00284453,39.2244,0.996105,0.000466417
8,0,-0.0117384,0.00684575,0.000948381,-0.450804,0.0599567,25,28,31,0.996106,0.0032946,6.88996,0.996106,0.000996712
9,0,0.0196869,-0.0113429,-0.00110326,-0.712104,0.0586089,29,32,35,0.985419,0.00370821,19.8436,0.985419,0.000792445
10,0,0.00588027,-0.0110798,0.00761781,0.0777176,0.0544531,25,28,31,0.996105,0.00382974,32.1418,0.996105,0.000501344
11,0,-0.00841122,0.0127612,-0.00470922,1.11557,0.0595238,25,28,31,0.996105,0.00396541,35.0334,0.996105,0.000536882
12,0,-0.0145553,0.0149701,-0.00981216,-0.449384,0.0581932,29,32,35,0.985419,0.00530882,62.5231,0.985419,0.000525564
13,0,0.00727034,-0.0102721,0.0102833,0.338325,0.054034,26,29,32,0.996104,0.00453307,43.6445,0.996104,0.000468473
14,0,0.0193556,-0.0118015,-0.000993781,-0.974444,0.0590942,26,29,32,0.996105,0.00332336,33.5832,0.996105,0.000586625
15,0,-0.0025708,-0.0111117,0.00329854,-0.979786,0.0577804,30,33,36,0.984637,0.00454024,17.0013,0.984637,0.000752376
16,0,0.018608,-0.0140201,0.00645326,-0.445907,0.0536182,27,30,33,0.998393,0.00265264,18.1003,0.998393,0.000643885
17,0,-0.0111174,0.00243196,0.00633696,-0.714083,0.0586677,27,30,33,0.996104,0.00394521,11.0763,0.996104,0.000904734
18,0,0.00408377,0.0100053,-0.00606575,0.0742008,0.0573707,30,33,36,0.984637,0.00473907,15.305,0.984637,0.000805305
19,0,0.0173932,-0.00610011,-0.00575264,-0.975647,0.0532057,27,30,33,0.998365,0.00291439,28.5644,0.998365,0.000535556
20,0,-0.00790805,0.00154906,0.00602397,-0.450888,0.0582443,27,30,33,0.997422,0.00468782,9.86573,0.997422,0.00094378
21,0,-0.0181881,0.00689788,0.00578845,0.334946,0.0569639,31,34,37,0.962452,0.00418588,17.6785,0.962452,0.000847266
