// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998333,9.60996,0.998791
1,shared,1,0.998592,11.1375,0.998136
2,individual,2,0.994098,12.3,0.990178
3,shared,1,0.99883,15.6205,0.998917
4,shared,0,0.998597,11.3873,0.998144
5,shared,1,0.998592,27.2992,0.998136
6,individual,6,0.998132,11.5538,0.9986
7,individual,7,0.998444,12.8023,0.998131
8,shared,0,0.998597,49.9283,0.998144
9,individual,9,0.992423,17.8797,0.989549
10,shared,0,0.998554,12.4244,0.998135
11,individual,11,0.998444,12.6136,0.998131
12,individual,12,0.992482,10.5566,0.989568
13,individual,13,0.998501,9.10836,0.998118
14,shared,0,0.998554,12.312,0.998135
15,individual,15,0.992739,12.5395,0.989244
16,shared,0,0.998735,12.2022,0.99877
17,individual,17,0.998501,19.7139,0.998118
18,individual,18,0.990992,9.60784,0.987489
19,shared,1,0.998834,13.004,0.998792
20,shared,0,0.99874,28.0702,0.998535
21,individual,21,0.989223,13.9961,0.981714
22,individual,22,0.998163,11.7796,0.998601
23,shared,1,0.998884,19.7534,0.998536
