// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0115938,0.0126636,-0.011255,-0.449357,0.0582557,27,30,33,0.998394,0.00511695,71.6648,0.998394,0.000448967
1,0,-0.00357687,0.00611579,-0.00893068,1.38572,0.0542258,24,27,30,0.996108,0.00400583,22.8019,0.996108,0.000527618
2,0,-0.0182874,0.013844,-0.00389033,0.0728363,0.0591868,24,27,30,0.979533,0.00302707,50.0098,0.979533,0.000459799
3,0,-0.00703397,-0.00742462,0.00651077,-0.978977,0.0578425,27,30,33,0.998366,0.00353233,14.1191,0.998366,0.000746755
4,0,0.0185894,-0.0149443,0.00981431,-0.445857,0.0538085,24,27,30,0.996107,0.00278508,34.467,0.996107,0.00043723
5,0,0.0143724,-0.00758798,-0.00142411,0.333364,0.0587597,24,27,30,0.996108,0.00272983,9.13357,0.996108,0.00087205
6,0,-0.00827933,-0.00563014,0.00813401,-0.972969,0.0574323,28,31,34,0.998337,0.0037079,13.7754,0.998337,0.000783941
7,0,0.0174262,-0.0100475,-0.00194547,-0.974875,0.0533945,25,28,31,0.996106,0.00276608,40.3323,0.996106,0.000441308
8,0,-0.0114198,0.0066577,0.000924372,-0.450803,0.0583357,25,28,31,0.996107,0.00320376,7.08501,0.996107,0.000943068
9,0,0.0191463,-0.0110277,-0.00107387,-0.712103,0.0570251,29,32,35,0.98542,0.00360625,20.4086,0.98542,0.000749751
10,0,0.00571486,-0.0107724,0.00740904,0.0777176,0.0529838,25,28,31,0.996106,0.00372468,33.042,0.996106,0.000474427
11,0,-0.00817632,0.0124075,-0.00458056,1.11557,0.0579148,25,28,31,0.996106,0.00385657,36.0178,0.996106,0.00050801
12,0,-0.0141522,0.0145545,-0.00954221,-0.449383,0.0566208,29,32,35,0.98542,0.00516284,64.2834,0.98542,0.000497293
13,0,0.00706705,-0.00998639,0.0100008,0.338325,0.0525763,26,29,32,0.996105,0.00440844,44.8622,0.996105,0.000443332
14,0,0.0188232,-0.0114737,-0.000966923,-0.974443,0.057497,26,29,32,0.996106,0.00323189,34.5367,0.996106,0.000555013
15,0,-0.00250422,-0.0108058,0.00320924,-0.979786,0.0562195,30,33,36,0.984638,0.00441547,17.4797,0.984638,0.000711935
16,0,0.0180982,-0.0136314,0.00627378,-0.445907,0.052172,27,30,33,0.998394,0.00257987,18.6158,0.998394,0.00060923
17,0,-0.0108159,0.00236482,0.00616433,-0.714082,0.0570822,27,30,33,0.996105,0.0038364,11.3892,0.996105,0.000856056
18,0,0.00397568,0.00973,-0.00590029,0.0742019,0.055821,30,33,36,0.984638,0.00460865,15.7356,0.984638,0.000762016
19,0,0.016915,-0.00592961,-0.00559456,-0.975647,0.0517709,27,30,33,0.998366,0.00283397,29.3717,0.998366,0.000506742
20,0,-0.00769506,0.00150704,0.00586003,-0.450887,0.0566705,27,30,33,0.997422,0.00455857,10.1448,0.997422,0.000893006
21,0,-0.0176888,0.00670518,0.00562989,0.334947,0.0554254,31,34,37,0.962459,0.00407062,18.1815,0.962459,0.000801633
22,0,-0.00912617,0.01232,-0.00400657,1.12486,0.0513729,28,31,34,0.998337,0.00421873,43.3223,0.998337,0.000448473
23,0,-0.0117117,0.0125777,-0.000208252,1.11928,0.0562618,28,31,34,0.997377,0.00431892,50.9886,0.997377,0.000470336
0,1,-0.00733472,-0.000117341,0.00442464,-0.374678,0.0582589,27,30,33,0.998542,0.00361712,32.9732,0.998542,0.000602997
1,1,-0.0124942,0.00589355,0.000418891,1.46244,0.054229,24,27,30,0.996387,0.00335211,60.1459,0.996387,0.0003768
2,1,-0.00260773,-0.00423976,0.00389763,0.146149,0.05919,24,27,30,0.980181,0.00320655,40.6089,0.980181,0.000480242
3,1,0.0125637,-0.00195523,-0.00295544,-0.910429,0.0578457,27,30,33,0.998514,0.00480131,172.593,0.998514,0.000298177
4,1,-0.00117741,0.00412002,-0.00535936,-0.368107,0.0538118,24,27,30,0.996386,0.00437622,38.8944,0.996386,0.00045951
5,1,-0.0118001,0.00916233,-0.00377018,0.405389,0.0587629,24,27,30,0.996387,0.0056024,280.421,0.996387,0.000255403
6,1,0.0128831,-0.00307194,-0.00315342,-0.898304,0.0574355,28,31,34,0.998485,0.00524778,168.809,0.998485,0.000313374
7,1,-0.00148378,0.00622427,-0.00190871,-0.902569,0.0533978,25,28,31,0.996386,0.00349325,56.4526,0.996386,0.000368563
8,1,0.0135958,-0.00978605,0.00432103,-0.377528,0.0583389,25,28,31,0.996386,0.00599956,342.128,0.996386,0.000240843
9,1,-0.00840273,0.00871083,-0.00227708,-0.638389,0.0570282,29,32,35,0.985531,0.0062973,111.341,0.985531,0.000390204
10,1,0.00991052,-0.000387325,-0.00355,0.155442,0.052987,25,28,31,0.996385,0.00320025,61.2662,0.996385,0.000376319
11,1,-0.00924901,-0.00155151,0.00320653,1.18433,0.057918,25,28,31,0.996386,0.00299298,53.154,0.996386,0.000430961
12,1,-0.00214932,-0.00471895,0.00553669,-0.374731,0.0566239,29,32,35,0.985531,0.00489155,40.5445,0.985531,0.000583067
13,1,0.00938548,-0.0016537,-0.0034573,0.414852,0.0525795,26,29,32,0.996385,0.00328823,44.8645,0.996385,0.000447864
14,1,-0.00289623,0.00705135,-0.00237123,-0.901212,0.0575002,26,29,32,0.996385,0.00434911,58.1648,0.996385,0.000433807
15,1,0.0107227,0.00213624,-0.00237816,-0.912054,0.0562225,30,33,36,0.984715,0.00449813,91.7448,0.984715,0.000381767
16,1,-0.00595024,0.00752214,-0.00559509,-0.368207,0.0521752,27,30,33,0.998542,0.00579665,88.2736,0.998542,0.00036307
17,1,0.0134535,-0.00798878,0.000575905,-0.642308,0.0570854,27,30,33,0.996385,0.00572513,201.832,0.996385,0.000299882
18,1,-0.0111696,-0.00119035,0.00328456,0.148839,0.055824,30,33,36,0.984715,0.00489142,88.7987,0.984715,0.00040033
19,1,-0.00615469,0.00669505,0.000528081,-0.904111,0.051774,27,30,33,0.998514,0.00456206,100.009,0.998514,0.000308775
20,1,0.0139544,-0.00800213,0.000890085,-0.377697,0.0566737,27,30,33,0.99752,0.00566982,119.272,0.99752,0.000367178
21,1,0.0115222,-0.00765767,-0.000942567,0.408512,0.0554284,31,34,37,0.963626,0.00711342,190.035,0.963626,0.00033025
22,1,-0.00586168,-0.00367005,0.00333593,1.20254,0.051376,28,31,34,0.998485,0.0032213,48.7923,0.998485,0.000416462
23,1,-0.00455782,-0.00512895,0.00192338,1.19141,0.056265,28,31,34,0.997468,0.00324889,46.0043,0.997468,0.000466019
0,2,0.00694496,-0.00559593,0.00162651,-0.299658,0.0582615,27,30,33,0.998649,0.00430939,274.699,0.998649,0.000209973
1,2,-0.000159411,-0.00286297,0.00246633,1.53916,0.0542311,23,26,29,0.996615,0.00259092,63.7707,0.996615,0.000280456
2,2,0.00730181,-0.00410761,-8.19836e-05,0.21985,0.0591922,24,27,30,0.980723,0.00306265,465.608,0.980723,0.000141679
3,2,0.000989855,0.00337101,-7.46692e-05,-0.841631,0.0578483,27,30,33,0.998621,0.00220636,66.2361,0.998621,0.000297213
4,2,-0.00886982,0.0053906,-0.0014355,-0.290354,0.053814,24,27,30,0.996614,0.00332163,404.011,0.996614,0.00014705
5,2,-0.00752064,0.001464,0.00162664,0.477789,0.0587653,24,27,30,0.996615,0.00187074,60.5379,0.996615,0.000324028
6,2,0.000912352,0.0036036,-0.00047818,-0.823299,0.057438,28,31,34,0.998593,0.00245004,64.7072,0.998593,0.000314701
7,2,-0.00762676,0.0022558,0.0010699,-0.830285,0.0534001,25,28,31,0.996613,0.0026528,445.829,0.996613,0.000124764
8,2,0.00590443,-0.000661562,-0.00200713,-0.303863,0.0583414,25,28,31,0.996614,0.00193969,44.6566,0.996614,0.000376833
9,2,-0.00775577,0.000442168,0.0021527,-0.564347,0.0570307,28,31,34,0.985626,0.00277653,90.3411,0.985626,0.000306229
