// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998334,9.4683,0.998792
1,shared,1,0.998591,11.2393,0.998136
2,individual,2,0.99409,11.9795,0.990168
3,shared,1,0.998831,15.2115,0.998917
4,shared,0,0.998596,11.1725,0.998144
5,shared,1,0.998591,26.6999,0.998136
6,individual,6,0.998133,11.2957,0.998601
7,individual,7,0.998444,12.5065,0.99813
8,shared,0,0.998596,49.6683,0.998144
9,individual,9,0.992415,17.9195,0.989542
10,shared,0,0.998554,12.5804,0.998134
11,individual,11,0.998444,12.5041,0.99813
12,individual,12,0.992475,10.2541,0.989562
13,individual,13,0.998501,9.06508,0.998118
14,shared,0,0.998554,11.942,0.998134
15,individual,15,0.992732,12.2061,0.989238
16,shared,0,0.998735,12.0252,0.99877
17,individual,17,0.998501,19.1618,0.998118
18,individual,18,0.990982,9.36313,0.987481
19,shared,1,0.998834,12.8169,0.998793
20,shared,0,0.998739,27.3169,0.998534
21,individual,21,0.989211,13.9139,0.981699
22,individual,22,0.998164,11.586,0.998601
23,shared,1,0.998883,19.594,0.998535
