// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0122549,0.0133876,-0.011892,-0.449359,0.0614931,27,30,33,0.998393,0.0054064,67.876,0.998393,0.000500668
1,0,-0.00378553,0.00646766,-0.00943495,1.38572,0.0572347,24,27,30,0.996105,0.00423238,21.5934,0.996105,0.000588329
2,0,-0.0193219,0.0146341,-0.00411202,0.0728336,0.0624771,24,27,30,0.979525,0.00319824,47.3268,0.979525,0.000512922
3,0,-0.00742396,-0.00784458,0.00687656,-0.978979,0.0610565,27,30,33,0.998365,0.00373195,13.3671,0.998365,0.000832797
4,0,0.0196369,-0.0157961,0.010374,-0.445857,0.0567938,24,27,30,0.996105,0.00294224,32.613,0.996105,0.000487685
5,0,0.0151771,-0.0080184,-0.00150059,0.333362,0.0620257,24,27,30,0.996105,0.00288471,8.64492,0.996105,0.00097264
6,0,-0.00873952,-0.0059482,0.00859158,-0.972971,0.0606231,28,31,34,0.998336,0.00391784,13.0418,0.998336,0.000874277
7,0,0.0184115,-0.010622,-0.00205473,-0.974875,0.0563563,25,28,31,0.996104,0.00292298,38.1756,0.996104,0.00049222
8,0,-0.012057,0.00703379,0.00097239,-0.450805,0.0615777,25,28,31,0.996105,0.00338544,6.70535,0.996105,0.00105184
9,0,0.0202275,-0.0116582,-0.00113265,-0.712105,0.0601927,29,32,35,0.985418,0.00381017,19.3089,0.985418,0.00083632
10,0,0.00604569,-0.0113872,0.00782658,0.0777175,0.0559223,25,28,31,0.996104,0.00393481,31.2891,0.996104,0.000529005
11,0,-0.00864611,0.0131148,-0.00483788,1.11557,0.0611329,25,28,31,0.996104,0.00407425,34.101,0.996104,0.000566552
12,0,-0.0149584,0.0153857,-0.0100821,-0.449385,0.0597655,29,32,35,0.985418,0.00545479,60.8563,0.985418,0.000554618
13,0,0.00747362,-0.0105577,0.0105658,0.338325,0.0554917,26,29,32,0.996103,0.00465769,42.491,0.996103,0.000494307
14,0,0.019888,-0.0121294,-0.00102064,-0.974445,0.0606914,26,29,32,0.996104,0.00341482,32.6808,0.996104,0.000619113
15,0,-0.00263737,-0.0114175,0.00338783,-0.979787,0.0593414,30,33,36,0.984637,0.00466501,16.5484,0.984637,0.000793935
16,0,0.0191178,-0.0144088,0.00663273,-0.445907,0.0550644,27,30,33,0.998393,0.00272541,17.6125,0.998393,0.000679497
17,0,-0.0114189,0.00249909,0.00650959,-0.714085,0.0602531,27,30,33,0.996103,0.00405401,10.7801,0.996103,0.000954757
18,0,0.00419185,0.0102805,-0.00623121,0.0741999,0.0589204,30,33,36,0.984637,0.00486948,14.8974,0.984637,0.00084979
19,0,0.0178714,-0.00627061,-0.00591073,-0.975647,0.0546406,27,30,33,0.998365,0.00299481,27.8001,0.998365,0.000565167
20,0,-0.00812103,0.00159108,0.00618791,-0.450889,0.0598181,27,30,33,0.997421,0.00481707,9.60157,0.997421,0.000995957
21,0,-0.0186874,0.00709058,0.005947,0.334945,0.0585024,31,34,37,0.962445,0.00430115,17.2025,0.962445,0.000894161
22,0,-0.00965043,0.0130226,-0.00423118,1.12486,0.05422,28,31,34,0.998336,0.00445681,41.0185,0.998336,0.000500078
23,0,-0.012382,0.0132947,-0.000217666,1.11928,0.0593862,28,31,34,0.997376,0.00456285,48.2692,0.997376,0.000524558
0,1,-0.00775163,-0.000119805,0.00467605,-0.374682,0.0614967,27,30,33,0.998541,0.00382226,31.2055,0.998541,0.000672634
1,1,-0.0132048,0.00623152,0.00044393,1.46244,0.0572382,24,27,30,0.996385,0.00354214,56.9337,0.996385,0.00042029
2,1,-0.00275322,-0.0044767,0.00411755,0.146144,0.0624806,24,27,30,0.980172,0.00338846,38.4392,0.980172,0.000535688
3,1,0.0132812,-0.00206566,-0.00312567,-0.910433,0.0610601,27,30,33,0.998513,0.00507345,163.482,0.998513,0.000332613
