// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998352,9.92131,0.998787
1,shared,1,0.998538,11.6613,0.998059
2,individual,2,0.993887,12.088,0.989843
3,shared,1,0.998847,16.2594,0.998909
4,shared,0,0.998544,11.4128,0.998067
5,shared,1,0.998538,28.4649,0.998059
6,individual,6,0.998157,11.8776,0.998601
7,individual,7,0.998396,12.63,0.998055
8,shared,0,0.998544,52.0443,0.998067
9,individual,9,0.992222,17.9476,0.989356
10,shared,0,0.998503,12.6281,0.998059
11,individual,11,0.998396,12.6065,0.998055
12,individual,12,0.992281,10.3589,0.989376
13,individual,13,0.998451,9.52944,0.998042
14,shared,0,0.998503,12.2795,0.998059
15,individual,15,0.992549,13.0074,0.989025
16,shared,0,0.998708,12.0997,0.998755
17,individual,17,0.998451,20.4344,0.998042
18,individual,18,0.990753,9.87048,0.987285
19,shared,1,0.998817,13.0925,0.99878
20,shared,0,0.998709,29.6138,0.9985
21,individual,21,0.988803,14.4193,0.98101
22,individual,22,0.998176,11.7199,0.998602
23,shared,1,0.998866,18.8587,0.998502
