// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0116434,0.0128569,-0.0115928,-0.44957,0.0580458,27,30,33,0.998384,0.00519089,70.9032,0.998384,0.000455242
1,0,-0.00361177,0.00623134,-0.00921804,1.38572,0.0540307,24,27,30,0.995896,0.00406304,22.9485,0.995896,0.000532037
2,0,-0.0183774,0.0141183,-0.00403151,0.0725709,0.0589736,24,27,30,0.978979,0.00308792,47.9906,0.978979,0.000472309
3,0,-0.00704011,-0.00763997,0.00684372,-0.979141,0.0576341,27,30,33,0.998357,0.00359185,14.1307,0.998357,0.000756564
4,0,0.0186219,-0.0151104,0.0100491,-0.445855,0.053615,24,27,30,0.995895,0.00283816,34.0928,0.995895,0.000441548
5,0,0.0143918,-0.00766602,-0.00150926,0.333112,0.058548,24,27,30,0.995896,0.00278052,9.12892,0.995896,0.000880772
6,0,-0.00828771,-0.00578761,0.00851165,-0.973182,0.0572254,28,31,34,0.998328,0.00376874,13.8741,0.998328,0.00079221
7,0,0.0175069,-0.0102363,-0.00206771,-0.97486,0.0532025,25,28,31,0.995895,0.00284393,39.6342,0.995895,0.000449597
8,0,-0.0114208,0.00670538,0.000988711,-0.451068,0.0581255,25,28,31,0.995895,0.00323952,7.06545,0.995895,0.000951598
9,0,0.0192002,-0.0111774,-0.00115004,-0.712309,0.0568197,29,32,35,0.98529,0.00370557,20.2412,0.98529,0.000759826
10,0,0.00576337,-0.0109895,0.00769269,0.077719,0.0527933,25,28,31,0.995894,0.00376908,32.7004,0.995894,0.000482085
11,0,-0.00824863,0.012709,-0.00478438,1.11535,0.0577061,26,29,32,0.995895,0.00391592,35.043,0.995895,0.000520185
12,0,-0.0142036,0.0147609,-0.00981039,-0.449597,0.0564169,29,32,35,0.98529,0.0052287,62.1744,0.98529,0.000507739
13,0,0.00710737,-0.0101451,0.0103029,0.33833,0.0523873,26,29,32,0.995894,0.00446678,44.9195,0.995894,0.000447702
14,0,0.0189084,-0.0116852,-0.00104663,-0.974708,0.0572898,26,29,32,0.995894,0.00332199,33.8753,0.995894,0.000565824
15,0,-0.00248421,-0.0110898,0.00334888,-0.979946,0.056017,30,33,36,0.98451,0.00450218,17.4197,0.98451,0.00072238
16,0,0.018125,-0.0137719,0.0064063,-0.445905,0.0519845,27,30,33,0.998384,0.00262222,18.3756,0.998384,0.000615877
17,0,-0.010822,0.00236149,0.00639965,-0.714333,0.0568766,27,30,33,0.995894,0.00391327,11.4906,0.995894,0.00086276
18,0,0.00396252,0.00996427,-0.00615324,0.0739885,0.05562,30,33,36,0.98451,0.00468151,15.6852,0.98451,0.000772286
19,0,0.0169863,-0.00602291,-0.00587542,-0.975632,0.0515848,27,30,33,0.998357,0.00292224,29.3392,0.998357,0.000512962
20,0,-0.00768619,0.00148814,0.00605732,-0.451151,0.0564664,27,30,33,0.997327,0.00462836,10.1989,0.997327,0.000899701
21,0,-0.0177326,0.00677847,0.00586036,0.334742,0.0552259,31,34,37,0.961044,0.00419305,18.2688,0.961044,0.000808929
22,0,-0.00918345,0.0125513,-0.00413869,1.12486,0.0511883,28,31,34,0.998328,0.0042781,41.9881,0.998328,0.000458555
23,0,-0.0117987,0.0128655,-0.000181085,1.11927,0.0560592,28,31,34,0.997282,0.00440635,49.1543,0.997282,0.000482684
0,1,-0.00744422,-0.000156997,0.00473827,-0.375072,0.0580493,27,30,33,0.998532,0.0037729,32.7457,0.998532,0.000616354
1,1,-0.0127163,0.00610046,0.000474393,1.46245,0.0540343,24,27,30,0.99619,0.00346481,58.8584,0.99619,0.000386871
2,1,-0.00262846,-0.00448182,0.00423714,0.145656,0.0589772,24,27,30,0.979673,0.00331832,40.5052,0.979673,0.000491965
3,1,0.0128885,-0.00203554,-0.00326588,-0.910728,0.0576376,27,30,33,0.998505,0.00497188,164.503,0.998505,0.000310254
