// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.99827,9.22434,0.998778
1,shared,1,0.998569,10.6604,0.998154
2,individual,2,0.994233,12.2635,0.99047
3,shared,1,0.99881,14.6787,0.998914
4,shared,0,0.998571,11.2191,0.998161
5,shared,1,0.998569,25.6435,0.998154
6,individual,6,0.997996,11.0325,0.998525
7,individual,7,0.998414,12.7376,0.998146
8,shared,0,0.998571,47.2228,0.998161
9,individual,9,0.992611,17.7544,0.989733
10,shared,0,0.998522,12.3981,0.998149
11,individual,11,0.998414,12.5915,0.998146
12,individual,12,0.992671,10.4776,0.989752
13,individual,13,0.998467,8.67077,0.998131
14,shared,0,0.998522,11.9861,0.998149
15,individual,15,0.992916,11.8403,0.989453
16,shared,0,0.998673,12.1647,0.998721
17,individual,17,0.998467,18.5531,0.998131
18,individual,18,0.991214,9.16578,0.987682
19,shared,1,0.99876,12.7024,0.998741
20,shared,0,0.998728,26.0105,0.998554
21,individual,21,0.98961,13.5582,0.982368
22,individual,22,0.998042,11.7061,0.998526
23,shared,1,0.998879,20.6829,0.998563
