// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0121971,0.0131762,-0.0115317,-0.449162,0.0617037,27,30,33,0.998413,0.00532779,68.6626,0.998413,0.000493308
1,0,-0.00374591,0.00633932,-0.00912217,1.38571,0.0574303,24,27,30,0.996311,0.00417034,21.4593,0.996311,0.000582792
2,0,-0.0192186,0.0143372,-0.00396253,0.0730785,0.0626909,24,27,30,0.980046,0.00313288,49.3179,0.980046,0.000499045
3,0,-0.00741513,-0.00761435,0.00653037,-0.978829,0.0612656,27,30,33,0.998385,0.00366898,13.35,0.998385,0.00082169
4,0,0.0195929,-0.0156068,0.0101144,-0.445858,0.0569879,24,27,30,0.996311,0.00288391,32.9745,0.996311,0.000482486
5,0,0.0151516,-0.00793205,-0.00141178,0.333594,0.0622381,24,27,30,0.996311,0.00283121,8.64573,0.996311,0.000962524
6,0,-0.00872791,-0.00577942,0.00819686,-0.972774,0.0608306,28,31,34,0.998357,0.0038541,12.9498,0.998357,0.000864691
7,0,0.0183147,-0.010411,-0.00192651,-0.974892,0.0565489,25,28,31,0.99631,0.00283936,38.8554,0.99631,0.000482668
8,0,-0.0120525,0.00698026,0.000905079,-0.45056,0.0617885,25,28,31,0.996311,0.00334703,6.72225,0.996311,0.00104183
9,0,0.0201628,-0.0114939,-0.00105364,-0.711917,0.0603988,29,32,35,0.985534,0.00370487,19.4625,0.985534,0.000824816
10,0,0.00599013,-0.0111461,0.00751984,0.0777161,0.0561134,25,28,31,0.99631,0.00388575,31.634,0.99631,0.000519975
11,0,-0.0085651,0.0127908,-0.00462438,1.11577,0.0613422,25,28,31,0.99631,0.00401088,35.045,0.99631,0.000553013
12,0,-0.0148979,0.0151597,-0.00979549,-0.449189,0.0599701,29,32,35,0.985534,0.00538354,62.9928,0.985534,0.000542654
13,0,0.0074264,-0.0103801,0.0102358,0.33832,0.0556813,26,29,32,0.996309,0.004594,42.4629,0.996309,0.000488883
14,0,0.0197896,-0.0119,-0.000938958,-0.974201,0.0608991,26,29,32,0.99631,0.00331999,33.3075,0.99631,0.00060702
15,0,-0.00265827,-0.011113,0.00324126,-0.979641,0.0595445,30,33,36,0.984751,0.00457438,16.5879,0.984751,0.000782255
16,0,0.0190803,-0.0142478,0.00648492,-0.445908,0.0552525,27,30,33,0.998413,0.00267788,17.8466,0.998413,0.000671514
17,0,-0.011409,0.00250154,0.00626109,-0.713854,0.0604593,27,30,33,0.996309,0.00397388,10.6827,0.996309,0.000946799
18,0,0.00420494,0.0100285,-0.00596577,0.0743965,0.059122,30,33,36,0.984751,0.0047919,14.9364,0.984751,0.000838177
19,0,0.0177851,-0.00616494,-0.00561202,-0.975662,0.0548272,27,30,33,0.998385,0.00290113,27.8477,0.998385,0.000557727
20,0,-0.00812847,0.00161065,0.00597832,-0.450645,0.0600228,27,30,33,0.997509,0.00474331,9.54884,0.997509,0.000987965
21,0,-0.0186343,0.0070095,0.00570431,0.335133,0.0587025,31,34,37,0.963746,0.00417305,17.1205,0.963746,0.000885583
22,0,-0.00958357,0.0127649,-0.00408672,1.12486,0.0544052,28,31,34,0.998357,0.00439111,42.3705,0.998357,0.000488415
