// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998477,25.9124,0.998825
1,shared,1,0.998587,16.8146,0.998135
2,individual,2,0.994089,23.287,0.990172
3,shared,1,0.998938,13.028,0.99892
4,shared,0,0.998594,35.0115,0.998143
5,shared,1,0.998587,45.9293,0.998135
6,individual,6,0.998249,18.1446,0.998616
7,individual,7,0.998463,20.7165,0.998134
8,shared,0,0.998594,47.0174,0.998143
9,individual,9,0.992458,16.2738,0.989569
10,shared,0,0.998548,14.7945,0.998133
11,individual,11,0.998463,9.80631,0.998134
12,individual,12,0.99252,23.038,0.989588
13,individual,13,0.998496,16.8442,0.998116
14,shared,0,0.998548,17.6353,0.998133
15,individual,15,0.992767,10.7222,0.989226
16,shared,0,0.998727,23.7467,0.99876
17,individual,17,0.998496,49.4674,0.998116
18,individual,18,0.990987,15.0834,0.987484
19,shared,1,0.998827,19.3878,0.998783
20,shared,0,0.998752,30.0751,0.998541
21,individual,21,0.989217,12.8409,0.981706
22,individual,22,0.998253,14.0367,0.998616
23,shared,1,0.998898,14.1828,0.998528
