// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0114848,0.012783,-0.0116593,-0.449358,0.0598744,27,30,33,0.998388,0.00532796,65.3444,0.998388,0.000486404
1,0,-0.00321077,0.00592624,-0.00906668,1.38572,0.0557302,24,27,30,0.996106,0.00412451,20.7471,0.996106,0.000572905
2,0,-0.0186785,0.0143844,-0.00429648,0.0728342,0.060832,24,27,30,0.979529,0.00316591,50.4447,0.979529,0.000481084
3,0,-0.00776692,-0.00733063,0.00687596,-0.97898,0.0594495,27,30,33,0.998361,0.00360289,13.5539,0.998361,0.000796411
4,0,0.019095,-0.0154363,0.0103252,-0.445857,0.0553012,24,27,30,0.996106,0.00296414,37.1125,0.996106,0.000446033
5,0,0.0151925,-0.00825064,-0.00110936,0.333362,0.0603927,24,27,30,0.996106,0.00275695,8.88018,0.996106,0.000924155
6,0,-0.00904969,-0.00540705,0.00847632,-0.972969,0.0590277,28,31,34,0.998332,0.00378348,13.2864,0.998332,0.00083491
7,0,0.0179069,-0.0106166,-0.00176016,-0.974875,0.0548754,25,28,31,0.996105,0.00289493,40.6195,0.996105,0.000462294
8,0,-0.0122279,0.00733086,0.000549947,-0.450805,0.0599567,25,28,31,0.996106,0.00321265,6.80868,0.996106,0.00100288
9,0,0.0198107,-0.0117267,-0.000733157,-0.712104,0.0586089,29,32,35,0.985419,0.00375127,20.4712,0.985419,0.000786129
10,0,0.00542118,-0.0109047,0.00780988,0.0777176,0.0544531,25,28,31,0.996105,0.00384186,30.7236,0.996105,0.000511075
11,0,-0.00795532,0.0127042,-0.00496913,1.11557,0.0595238,25,28,31,0.996105,0.00398358,33.3013,0.996105,0.00054825
12,0,-0.0141736,0.0148806,-0.0100771,-0.449384,0.0581932,29,32,35,0.985419,0.00539369,62.9088,0.985419,0.00052549
13,0,0.00680711,-0.00999408,0.0103365,0.338325,0.054034,26,29,32,0.996104,0.00456677,40.845,0.996104,0.000480931
14,0,0.0193418,-0.012105,-0.000692736,-0.974445,0.0590942,26,29,32,0.996105,0.00338301,34.8394,0.996105,0.000581046
15,0,-0.00316118,-0.0109499,0.00357614,-0.979788,0.0577804,30,33,36,0.984637,0.0045189,16.5098,0.984637,0.00076331
16,0,0.0186898,-0.0142379,0.00681048,-0.445907,0.0536182,27,30,33,0.998388,0.00271834,19.1133,0.998388,0.000631966
17,0,-0.0116285,0.00293708,0.00606762,-0.714085,0.0586677,27,30,33,0.996104,0.00390476,10.9336,0.996104,0.000912617
18,0,0.00468635,0.00973848,-0.00632645,0.0742013,0.0573707,30,33,36,0.984637,0.00470565,14.936,0.984637,0.000815562
19,0,0.0175015,-0.0064887,-0.00561651,-0.975647,0.0532057,27,30,33,0.998361,0.00296966,29.6887,0.998361,0.000530524
20,0,-0.00847517,0.0020827,0.00569532,-0.450889,0.0582443,27,30,33,0.997417,0.00463071,9.58915,0.997417,0.000956725
21,0,-0.0184405,0.00739573,0.00550278,0.334947,0.0569639,31,34,37,0.962452,0.00422002,18.1255,0.962452,0.000843305
22,0,-0.00896257,0.0126533,-0.00441716,1.12486,0.0527964,28,31,34,0.998332,0.0043623,40.2797,0.998332,0.000482659
23,0,-0.0116471,0.0130595,-0.00050204,1.11927,0.057824,28,31,34,0.997371,0.00448341,47.4627,0.997371,0.000506175
0,1,-0.00801719,0.000250937,0.00444815,-0.374679,0.0598778,27,30,33,0.998536,0.00371317,31.9634,0.998536,0.000640678
1,1,-0.0130855,0.00635113,0.000230999,1.46244,0.0557336,24,27,30,0.996386,0.00355757,61.3178,0.996386,0.000393141
2,1,-0.00311805,-0.00416359,0.00408599,0.146145,0.0608353,24,27,30,0.980177,0.00326677,38.7449,0.980177,0.000514365
3,1,0.013049,-0.00229297,-0.00305931,-0.910436,0.0594529,27,30,33,0.998508,0.00504352,176.796,0.998508,0.000311408
4,1,-0.000783589,0.00396299,-0.00546969,-0.368107,0.0553046,24,27,30,0.996385,0.00442381,35.8219,0.996385,0.000497086
5,1,-0.0119716,0.00948754,-0.00407447,0.405384,0.0603961,24,27,30,0.996386,0.00582602,258.698,0.996386,0.000276709
6,1,0.013369,-0.00346546,-0.00321599,-0.898305,0.059031,28,31,34,0.998479,0.00551039,172.952,0.998479,0.000327233
7,1,-0.00113894,0.00634839,-0.00210014,-0.902569,0.0548788,25,28,31,0.996385,0.00355773,52.9198,0.996385,0.000397168
8,1,0.013921,-0.0101773,0.00466858,-0.377532,0.0599601,25,28,31,0.996385,0.00628163,348.992,0.996385,0.000251987
9,1,-0.0083053,0.00900664,-0.00256257,-0.638389,0.0586122,29,32,35,0.98553,0.00647231,100.802,0.98553,0.00042538
