// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998171,16.3189,0.99875
1,shared,1,0.998596,27.7544,0.998137
2,individual,2,0.994098,27.876,0.990174
3,shared,1,0.998679,10.7011,0.998904
4,shared,0,0.998599,16.6698,0.998145
5,shared,1,0.998596,15.382,0.998137
6,individual,6,0.997993,10.2218,0.998576
7,individual,7,0.998423,22.5514,0.998127
8,shared,0,0.998599,17.7712,0.998145
9,individual,9,0.992382,49.4277,0.989522
10,shared,0,0.99856,18.3147,0.998136
11,individual,11,0.998423,14.2435,0.998127
12,individual,12,0.992439,15.5284,0.989541
13,individual,13,0.998506,20.6011,0.998119
14,shared,0,0.99856,24.7147,0.998136
15,individual,15,0.992666,8.60102,0.989246
16,shared,0,0.998742,21.947,0.998779
17,individual,17,0.998506,12.241,0.998119
18,individual,18,0.990987,9.4851,0.987485
19,shared,1,0.998841,21.4505,0.998802
20,shared,0,0.998728,11.3499,0.998527
21,individual,21,0.989217,59.5815,0.981706
22,individual,22,0.998071,18.4593,0.99858
23,shared,1,0.998872,15.7022,0.99854
