// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0123544,0.0132537,-0.0114734,-0.449358,0.0598744,27,30,33,0.998398,0.0051923,73.9392,0.998398,0.000463804
1,0,-0.0041496,0.00665041,-0.00928785,1.38572,0.0557302,24,27,30,0.996106,0.00411076,23.7767,0.996106,0.000542134
2,0,-0.0189174,0.0140813,-0.00370411,0.0728356,0.060832,24,27,30,0.979529,0.00305906,46.8056,0.979529,0.000491218
3,0,-0.00668484,-0.00792851,0.00650431,-0.978976,0.0594495,27,30,33,0.99837,0.00366087,13.9402,0.99837,0.000781503
4,0,0.0191175,-0.0152898,0.00985258,-0.445857,0.0553012,24,27,30,0.996106,0.00276385,30.4142,0.996106,0.000477998
5,0,0.0143459,-0.00734996,-0.00181097,0.333364,0.0603927,24,27,30,0.996106,0.00285826,8.89913,0.996106,0.000918511
6,0,-0.00796136,-0.00616285,0.00823876,-0.97297,0.0590277,28,31,34,0.998342,0.00384257,13.5366,0.998342,0.000821583
7,0,0.0179168,-0.010044,-0.00223529,-0.974875,0.0548754,25,28,31,0.996105,0.00279413,37.8453,0.996105,0.000470673
8,0,-0.0112393,0.00635534,0.00134308,-0.450803,0.0599567,25,28,31,0.996106,0.00337503,6.98558,0.996106,0.000989732
9,0,0.0195443,-0.0109471,-0.00146898,-0.712105,0.0586089,29,32,35,0.985419,0.00366795,19.2527,0.985419,0.000798452
10,0,0.00633476,-0.0112427,0.00741774,0.0777176,0.0544531,25,28,31,0.996105,0.00381585,33.6535,0.996105,0.000491677
11,0,-0.00885995,0.0128045,-0.00444605,1.11557,0.0595238,25,28,31,0.996105,0.00394496,36.8748,0.996105,0.000525664
12,0,-0.014923,0.015041,-0.00953457,-0.449385,0.0581932,29,32,35,0.985419,0.00522222,61.7303,0.985419,0.000526844
13,0,0.00772793,-0.0105382,0.010217,0.338325,0.054034,26,29,32,0.996104,0.00449667,46.6156,0.996104,0.000456433
14,0,0.0193527,-0.0114868,-0.00129058,-0.974443,0.0590942,26,29,32,0.996105,0.00326393,32.3534,0.996105,0.000592315
15,0,-0.00197799,-0.0112584,0.00301888,-0.979784,0.0577804,30,33,36,0.984637,0.00455917,17.5436,0.984637,0.000741048
16,0,0.0185098,-0.0137872,0.00608929,-0.445907,0.0536182,27,30,33,0.998398,0.00259323,17.1924,0.998398,0.000655309
17,0,-0.0105961,0.00192595,0.00659563,-0.714082,0.0586677,27,30,33,0.996104,0.00398453,11.2398,0.996104,0.000896272
18,0,0.00347683,0.0102576,-0.00579801,0.0742004,0.0573707,30,33,36,0.984637,0.00477052,15.7191,0.984637,0.000794544
19,0,0.0172687,-0.00570618,-0.00587929,-0.975647,0.0532057,27,30,33,0.99837,0.00286094,27.4914,0.99837,0.000540534
20,0,-0.00733314,0.00101523,0.00634201,-0.450887,0.0582443,27,30,33,0.997427,0.00474145,10.1735,0.997427,0.000930142
21,0,-0.0179153,0.00639231,0.00606253,0.334945,0.0569639,31,34,37,0.962452,0.00415556,17.2585,0.962452,0.000850854
22,0,-0.00980507,0.0126739,-0.00381717,1.12486,0.0527964,28,31,34,0.998342,0.00431057,44.053,0.998342,0.000465465
23,0,-0.0124346,0.0127978,7.32581e-05,1.11929,0.057824,28,31,34,0.997382,0.00439541,51.6857,0.997382,0.000488549
0,1,-0.00706109,-0.000485201,0.00464256,-0.374681,0.0598778,27,30,33,0.998547,0.00373545,32.2443,0.998547,0.000633381
1,1,-0.0126008,0.00576798,0.000628465,1.46244,0.0557336,24,27,30,0.996386,0.0033388,55.9486,0.996386,0.000403051
2,1,-0.0022418,-0.0045449,0.00392354,0.146148,0.0608353,24,27,30,0.980176,0.00332998,40.3488,0.980176,0.000500423
3,1,0.0127796,-0.0017278,-0.00301583,-0.910427,0.0594529,27,30,33,0.998519,0.00482814,159.054,0.998519,0.000319229
4,1,-0.00164048,0.00450024,-0.00554037,-0.368107,0.0553046,24,27,30,0.996385,0.00457271,40.0737,0.996385,0.000473833
5,1,-0.0122896,0.00934426,-0.00367252,0.405389,0.0603961,24,27,30,0.996386,0.00569162,285.526,0.996386,0.000264093
6,1,0.0131157,-0.00285005,-0.00326511,-0.898307,0.059031,28,31,34,0.998491,0.00527888,155.454,0.998491,0.00033558
7,1,-0.00191196,0.00643998,-0.0018232,-0.902569,0.0548788,25,28,31,0.996385,0.00362651,57.1415,0.996385,0.000381593
8,1,0.0140309,-0.00993718,0.0042103,-0.377529,0.0599601,25,28,31,0.996385,0.00605215,313.414,0.996385,0.000258379
9,1,-0.00896712,0.00889053,-0.00211706,-0.638393,0.0586122,29,32,35,0.98553,0.00647407,116.566,0.98553,0.000399559
10,1,0.00985946,-0.000114334,-0.00365073,0.155442,0.0544565,25,28,31,0.996384,0.00320584,57.8318,0.996384,0.000399675
11,1,-0.00913037,-0.00183771,0.00322959,1.18432,0.0595273,25,28,31,0.996385,0.00300309,50.4819,0.996385,0.000456504
12,1,-0.00167588,-0.00513478,0.00562499,-0.374734,0.0581964,29,32,35,0.98553,0.00508832,40.5257,0.98553,0.000606945
13,1,0.00926832,-0.00135965,-0.00366224,0.414852,0.0540374,26,29,32,0.996384,0.00332262,42.9748,0.996384,0.000473823
14,1,-0.00339725,0.00728724,-0.00227294,-0.901213,0.0590976,26,29,32,0.996384,0.00450995,59.4079,0.996384,0.000447661
15,1,0.0107063,0.00243745,-0.00232859,-0.912051,0.0577837,30,33,36,0.984714,0.00449796,85.1862,0.984714,0.000407705
16,1,-0.00649207,0.00786205,-0.00562766,-0.368207,0.0536216,27,30,33,0.998547,0.00597835,93.4139,0.998547,0.000370513
17,1,0.0138153,-0.00796723,0.00036185,-0.642308,0.0586711,27,30,33,0.996384,0.00577389,186.804,0.996384,0.000320635
18,1,-0.0111676,-0.00151766,0.00327932,0.148836,0.0573739,30,33,36,0.984714,0.00488576,82.1576,0.984714,0.00042802
19,1,-0.00664047,0.00676465,0.000673278,-0.904111,0.053209,27,30,33,0.998519,0.00470745,104.245,0.998519,0.000316604
20,1,0.0142145,-0.00793359,0.000646077,-0.377697,0.0582477,27,30,33,0.997525,0.0056712,107.392,0.997525,0.000396606
21,1,0.0120116,-0.00762456,-0.00117616,0.408508,0.056967,31,34,37,0.963619,0.00726245,194.297,0.963619,0.000341168
22,1,-0.00559122,-0.00398583,0.00331379,1.20254,0.0527997,28,31,34,0.998491,0.00327964,47.141,0.998491,0.000438494
23,1,-0.00421688,-0.0054006,0.00183396,1.19143,0.0578274,28,31,34,0.997473,0.0033387,44.8884,0.997473,0.000488893
0,2,0.00731773,-0.00567744,0.00152481,-0.299662,0.0598805,27,30,33,0.998654,0.0043806,296.242,0.998654,0.000212152
1,2,0.000165558,-0.00306712,0.00248538,1.53916,0.0557359,23,26,29,0.996614,0.00269259,65.4222,0.996614,0.000288183
2,2,0.00757863,-0.00409093,-0.000161635,0.219849,0.0608376,24,27,30,0.980719,0.00309111,483.092,0.980719,0.000145056
3,2,0.000674964,0.00345622,-1.20149e-05,-0.841626,0.0594556,27,30,33,0.998627,0.00230184,66.3291,0.998627,0.000307786
4,2,-0.00909604,0.00539811,-0.00132517,-0.290354,0.055307,24,27,30,0.996613,0.00331387,359.755,0.996613,0.000159141
5,2,-0.00741974,0.00126771,0.00172652,0.477789,0.0603986,24,27,30,0.996614,0.00186805,57.4949,0.996614,0.000342676
6,2,0.000574879,0.00371833,-0.000405773,-0.823304,0.0590337,28,31,34,0.998599,0.00255799,65.0531,0.998599,0.000325586
7,2,-0.00779457,0.00215166,0.00111478,-0.830285,0.0548813,25,28,31,0.996612,0.00265285,413.06,0.996612,0.000133187
8,2,0.00569497,-0.000423193,-0.00212803,-0.303864,0.0599627,25,28,31,0.996613,0.00200737,43.5613,0.996613,0.000395003
9,2,-0.0076712,0.000213477,0.00220555,-0.564353,0.0586149,28,31,34,0.985625,0.00273883,83.7575,0.985625,0.000326309
10,2,-0.00311877,0.00405621,-0.000459057,0.233167,0.054459,25,28,31,0.996612,0.00290217,118.514,0.996612,0.000219094
11,2,0.00403117,-0.00378222,-0.000242702,1.25339,0.0595299,25,28,31,0.996612,0.00300518,143.565,0.996612,0.000221342
12,2,0.00928178,-0.00452005,-0.00060318,-0.299742,0.0581991,29,32,35,0.985625,0.00447261,334.533,0.985625,0.000209657
13,2,-0.0045255,0.00481226,-0.00158698,0.491375,0.0540399,26,29,32,0.996611,0.00355943,156.525,0.996611,0.000217647
14,2,-0.00860044,0.00206902,0.00138388,-0.827596,0.0591003,26,29,32,0.996612,0.00296117,266.345,0.996612,0.000188171
15,2,-0.00364124,0.00316785,0.000997571,-0.844073,0.0577863,30,33,36,0.984773,0.00328338,114.67,0.984773,0.000256567
16,2,-0.00869284,0.00330327,0.000878984,-0.290505,0.0536241,26,29,32,0.998654,0.00283087,110.912,0.998654,0.000255069
17,2,0.00336485,0.00210067,-0.00241773,-0.57016,0.0586738,27,30,33,0.996611,0.00238747,53.0107,0.996611,0.000368045
18,2,0.00380923,-0.00372104,-0.000904314,0.223811,0.0573765,30,33,36,0.984773,0.00361126,117.236,0.984773,0.000268777
19,2,-0.00708619,-0.000390393,0.00125034,-0.832594,0.0532115,27,30,33,0.998627,0.0022976,147.5,0.998627,0.00019976
20,2,0.00102251,0.003032,-0.00289468,-0.304118,0.0582503,27,30,33,0.997612,0.003146,55.9901,0.997612,0.000378256
21,2,0.00404774,0.00281419,-0.00189385,0.482398,0.0569696,31,34,37,0.964648,0.0026349,60.3041,0.964648,0.000372621
22,2,0.00641352,-0.00341072,-0.000925262,1.28021,0.0528022,28,31,34,0.998599,0.00350188,341.358,0.998599,0.000154696
23,2,0.00710031,-0.00247181,-0.0012029,1.2636,0.05783,28,31,34,0.997553,0.00349988,421.762,0.997553,0.000156028
0,3,0.00132549,0.00102059,-0.000735083,-0.224369,0.0598827,27,30,33,0.998734,0.00121509,102.213,0.998734,0.00016933
1,3,0.00376771,-0.000925479,-0.000392336,-0.478524,0.055737,23,26,29,0.996803,0.000860621,217.715,0.996803,9.61598e-05
2,3,0.00129012,0.00084171,-0.000275259,0.29387,0.060839,23,26,29,0.981179,0.000856756,102.748,0.981179,0.000132379
3,3,-0.00307239,-0.000375183,0.000208638,-0.772629,0.0594578,27,30,33,0.998707,0.000877536,245.697,0.998707,9.33379e-05
4,3,-2.77168e-05,-0.00122374,0.000748411,-0.212603,0.0553084,24,27,30,0.996802,0.00136935,129.533,0.996802,0.0001281
