// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.99832,9.82918,0.998749
1,shared,1,0.998581,11.3674,0.998135
2,individual,2,0.99406,12.3911,0.990065
3,shared,1,0.998834,13.0333,0.998868
4,shared,0,0.998589,12.3547,0.998144
5,shared,1,0.998581,20.2105,0.998135
6,individual,6,0.998097,10.3681,0.998534
7,individual,7,0.998441,12.7586,0.998133
8,shared,0,0.998589,32.3347,0.998144
9,individual,9,0.992244,18.6221,0.989165
10,shared,0,0.998546,12.3606,0.998134
11,individual,11,0.998441,11.0924,0.998133
12,individual,12,0.992301,10.5256,0.989184
13,individual,13,0.99849,9.53459,0.998117
14,shared,0,0.998546,11.5368,0.998134
15,individual,15,0.992532,10.8718,0.988833
16,shared,0,0.998705,14.5686,0.998715
17,individual,17,0.99849,15.1577,0.998117
18,individual,18,0.990838,9.20028,0.987087
19,shared,1,0.998806,13.6064,0.998738
20,shared,0,0.998739,23.1339,0.998551
21,individual,21,0.989175,13.8622,0.981547
22,individual,22,0.998125,12.5552,0.998535
23,shared,1,0.998881,14.8271,0.998542
