// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0126927,0.0137624,-0.0109786,-0.449408,0.0597774,27,30,33,0.99828,0.0050564,69.1312,0.99828,0.000480398
1,0,-0.00454544,0.00752012,-0.00963265,1.38563,0.055645,24,27,30,0.996113,0.00404534,27.0901,0.996113,0.00052349
2,0,-0.0190301,0.0135668,-0.00226844,0.0727557,0.0607452,24,27,30,0.97894,0.00304781,45.2259,0.97894,0.00049788
3,0,-0.00592429,-0.00890706,0.00536687,-0.979377,0.0593532,28,31,34,0.998251,0.00371158,14.478,0.998251,0.000766834
4,0,0.0191019,-0.0150774,0.00891412,-0.445879,0.0552166,24,27,30,0.996113,0.0026755,27.776,0.996113,0.000509418
5,0,0.0139749,-0.00622248,-0.00317447,0.333207,0.0603066,24,27,30,0.996113,0.00298636,9.68182,0.996113,0.000900909
6,0,-0.00727545,-0.00732779,0.00748294,-0.97302,0.058932,28,31,34,0.998221,0.00387479,13.6859,0.998221,0.000811447
7,0,0.0178933,-0.00905914,-0.0033896,-0.975217,0.0547915,25,28,31,0.996112,0.00274338,37.1918,0.996112,0.00046985
8,0,-0.0108852,0.00527669,0.00274081,-0.450885,0.0598712,25,28,31,0.996113,0.00353925,7.84374,0.996113,0.000967958
9,0,0.0193854,-0.0098519,-0.0030027,-0.712211,0.0585139,29,32,35,0.984689,0.00370868,19.7379,0.984689,0.000790379
10,0,0.00682729,-0.0116776,0.0063871,0.0776941,0.0543698,26,29,32,0.996112,0.00379694,34.0789,0.996112,0.000487252
11,0,-0.00940168,0.0128858,-0.00306582,1.11524,0.059439,26,29,32,0.996112,0.00392974,38.8735,0.996112,0.000513287
12,0,-0.0151922,0.0151501,-0.0083622,-0.449436,0.0580989,29,32,35,0.984689,0.00515827,55.1322,0.984689,0.000551832
13,0,0.00809184,-0.0111468,0.00985552,0.338229,0.0539514,26,29,32,0.996111,0.00439547,46.8648,0.996111,0.000458133
14,0,0.0193294,-0.0105154,-0.00264851,-0.974528,0.0590099,26,29,32,0.996112,0.00323081,32.1839,0.996112,0.000590001
15,0,-0.00117988,-0.0116794,0.00146722,-0.980227,0.0576868,30,33,36,0.98386,0.00455823,18.8104,0.98386,0.000720252
16,0,0.0184231,-0.0132454,0.00474704,-0.445932,0.0535362,27,30,33,0.99828,0.00269034,17.3245,0.99828,0.000666912
17,0,-0.0101679,0.000705855,0.00753727,-0.714253,0.058584,27,30,33,0.996111,0.00399497,12.0767,0.996111,0.000874673
18,0,0.00274605,0.0109849,-0.0043617,0.0741487,0.0572778,31,34,37,0.98386,0.00481881,16.5272,0.98386,0.000777043
19,0,0.0170934,-0.00442256,-0.00640687,-0.976029,0.0531244,27,30,33,0.998251,0.00278064,26.3722,0.998251,0.000542862
20,0,-0.00694775,-0.000122739,0.0074042,-0.450974,0.0581613,27,30,33,0.997497,0.00477265,11.3724,0.997497,0.000902363
21,0,-0.0176419,0.00504256,0.00712102,0.334831,0.0568716,31,34,37,0.961697,0.00410237,17.3832,0.961697,0.000841514
22,0,-0.0102339,0.0126141,-0.00236681,1.12484,0.0527158,28,31,34,0.998221,0.00430405,45.8886,0.998221,0.000456534
23,0,-0.012879,0.0122874,0.00148342,1.11896,0.0577416,28,31,34,0.99745,0.0043283,54.3194,0.99745,0.000477207
0,1,-0.00667872,-0.00125651,0.00492383,-0.374776,0.0597807,27,30,33,0.998432,0.00385723,34.1209,0.998432,0.000623732
1,1,-0.0124194,0.00514664,0.00128456,1.46227,0.0556483,24,27,30,0.996393,0.00333545,56.9866,0.996393,0.000404563
2,1,-0.00178101,-0.00502999,0.00357202,0.145992,0.0607485,24,27,30,0.979586,0.00333983,41.3442,0.979586,0.000492506
3,1,0.0126228,-0.00088558,-0.00286361,-0.911233,0.0593565,27,30,33,0.998402,0.00472635,151.267,0.998402,0.000323037
4,1,-0.00194701,0.00501035,-0.00561594,-0.368151,0.05522,24,27,30,0.996392,0.00464132,44.6092,0.996392,0.000461107
5,1,-0.0124423,0.0091942,-0.00298805,0.405078,0.06031,24,27,30,0.996393,0.00560279,271.218,0.996393,0.000269552
6,1,0.0129855,-0.00200063,-0.00331264,-0.898404,0.0589354,28,31,34,0.998372,0.00517284,147.779,0.998372,0.000339406
