// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.99832,9.91964,0.998749
1,shared,1,0.998581,11.3147,0.998135
2,individual,2,0.994064,12.5436,0.99007
3,shared,1,0.998834,13.2368,0.998868
4,shared,0,0.99859,12.4872,0.998145
5,shared,1,0.998581,20.3369,0.998135
6,individual,6,0.998096,10.492,0.998533
7,individual,7,0.998441,12.8797,0.998134
8,shared,0,0.99859,32.6796,0.998145
9,individual,9,0.992248,18.6001,0.989168
10,shared,0,0.998546,12.4095,0.998135
11,individual,11,0.998441,11.1801,0.998134
12,individual,12,0.992305,10.6793,0.989187
13,individual,13,0.998491,9.5744,0.998117
14,shared,0,0.998546,11.6934,0.998135
15,individual,15,0.992535,11.0554,0.988836
16,shared,0,0.998705,14.6798,0.998715
17,individual,17,0.998491,15.3547,0.998117
18,individual,18,0.990843,9.32451,0.987091
19,shared,1,0.998806,13.6415,0.998738
20,shared,0,0.99874,23.4614,0.998551
21,individual,21,0.989181,13.919,0.981555
22,individual,22,0.998124,12.7149,0.998534
23,shared,1,0.998881,15.0228,0.998542
