// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.012341,0.0133801,-0.0106764,-0.449407,0.0581613,27,30,33,0.998281,0.00491739,71.0643,0.998281,0.000454573
1,0,-0.00441735,0.00731034,-0.0093681,1.38563,0.0541429,24,27,30,0.996115,0.00393415,27.8469,0.996115,0.000495383
2,0,-0.0185067,0.0131904,-0.00220537,0.0727571,0.0591025,24,27,30,0.978945,0.00296392,46.5065,0.978945,0.000471042
3,0,-0.00576516,-0.00866197,0.00522051,-0.979377,0.0577488,28,31,34,0.998252,0.00360963,14.8854,0.998252,0.000725603
4,0,0.0185785,-0.0146595,0.00866684,-0.445879,0.0537263,24,27,30,0.996114,0.00260212,28.566,0.996114,0.00048199
5,0,0.0135946,-0.00605086,-0.00308899,0.333209,0.0586759,24,27,30,0.996115,0.00290398,9.95508,0.996115,0.000852423
6,0,-0.00707931,-0.0071263,0.00727836,-0.973019,0.0573393,28,31,34,0.998221,0.00376821,14.0708,0.998221,0.000767816
7,0,0.0174014,-0.00880714,-0.00329664,-0.975217,0.0533129,25,28,31,0.996113,0.00266765,38.2403,0.996113,0.000444563
8,0,-0.0105901,0.0051319,0.00266734,-0.450884,0.0582525,25,28,31,0.996114,0.00344167,8.06556,0.996114,0.000915867
9,0,0.0188531,-0.00957781,-0.00292094,-0.71221,0.0569327,29,32,35,0.98469,0.00360663,20.2995,0.98469,0.000747798
10,0,0.00663589,-0.0113538,0.00621222,0.0776941,0.0529028,26,29,32,0.996113,0.00369279,35.0345,0.996113,0.000461084
11,0,-0.00913961,0.0125288,-0.00298244,1.11524,0.0578322,26,29,32,0.996113,0.00382182,39.9664,0.996113,0.000485677
12,0,-0.0147716,0.0147296,-0.00813222,-0.449435,0.0565291,29,32,35,0.98469,0.00501649,56.6881,0.98469,0.000522139
13,0,0.00786598,-0.0108371,0.00958482,0.338229,0.052496,26,29,32,0.996112,0.0042747,48.1726,0.996112,0.000433545
14,0,0.0187978,-0.010223,-0.00257603,-0.974526,0.057415,26,29,32,0.996113,0.0031418,33.0963,0.996113,0.000558212
15,0,-0.00115156,-0.0113579,0.00142837,-0.980226,0.0561284,30,33,36,0.983861,0.00443301,19.3397,0.983861,0.000681538
16,0,0.0179184,-0.0128781,0.00461464,-0.445932,0.0520923,27,30,33,0.998281,0.0026165,17.8179,0.998281,0.00063102
17,0,-0.00989253,0.000686329,0.00733152,-0.714251,0.0570009,27,30,33,0.996112,0.00388481,12.4175,0.996112,0.000827621
