// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.99832,9.74548,0.998749
1,shared,1,0.99858,11.4194,0.998135
2,individual,2,0.994056,12.2496,0.99006
3,shared,1,0.998835,12.8377,0.998868
4,shared,0,0.998589,12.2286,0.998144
5,shared,1,0.99858,20.0832,0.998135
6,individual,6,0.998098,10.2543,0.998534
7,individual,7,0.998441,12.6481,0.998133
8,shared,0,0.998589,31.9841,0.998144
9,individual,9,0.99224,18.6369,0.989162
10,shared,0,0.998545,12.3188,0.998134
11,individual,11,0.998441,11.0158,0.998133
12,individual,12,0.992297,10.3774,0.989181
13,individual,13,0.99849,9.49993,0.998117
14,shared,0,0.998545,11.3883,0.998134
15,individual,15,0.992528,10.6975,0.98883
16,shared,0,0.998705,14.4582,0.998715
17,individual,17,0.99849,14.9703,0.998117
18,individual,18,0.990833,9.08515,0.987083
19,shared,1,0.998806,13.5695,0.998739
20,shared,0,0.998739,22.8198,0.99855
21,individual,21,0.989169,13.8188,0.98154
22,individual,22,0.998125,12.4069,0.998535
23,shared,1,0.99888,14.6457,0.998541
