// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0130444,0.0141446,-0.0112807,-0.449409,0.0613934,27,30,33,0.99828,0.00519542,67.2999,0.99828,0.000506936
1,0,-0.00467353,0.0077299,-0.00989721,1.38563,0.0571471,24,27,30,0.996112,0.00415654,26.3732,0.996112,0.000552373
2,0,-0.0195534,0.0139433,-0.00233151,0.0727544,0.0623879,24,27,30,0.978936,0.00313171,44.0136,0.978936,0.000525461
3,0,-0.00608341,-0.00915214,0.00551323,-0.979378,0.0609575,28,31,34,0.998251,0.00381352,14.0923,0.998251,0.000809204
4,0,0.0196253,-0.0154952,0.00916141,-0.445879,0.0567069,24,27,30,0.996112,0.00274889,27.0283,0.996112,0.000537605
5,0,0.0143553,-0.00639409,-0.00325994,0.333206,0.0619372,24,27,30,0.996112,0.00306875,9.42315,0.996112,0.000950735
6,0,-0.0074716,-0.00752928,0.00768752,-0.973021,0.0605248,28,31,34,0.99822,0.00398137,13.3215,0.99822,0.000856283
7,0,0.0183852,-0.00931114,-0.00348256,-0.975217,0.0562701,25,28,31,0.996111,0.00281911,36.1991,0.996111,0.000495836
8,0,-0.0111803,0.00542149,0.00281428,-0.450887,0.0614898,25,28,31,0.996112,0.00363683,7.63378,0.996112,0.00102149
9,0,0.0199176,-0.010126,-0.00308447,-0.712212,0.0600952,29,32,35,0.984688,0.00381073,19.2065,0.984688,0.000834139
10,0,0.0070187,-0.0120015,0.00656197,0.0776941,0.0558367,26,29,32,0.996111,0.0039011,33.1738,0.996111,0.000514141
11,0,-0.00966375,0.0132428,-0.0031492,1.11523,0.0610457,26,29,32,0.996111,0.00403767,37.8385,0.996111,0.00054166
12,0,-0.0156128,0.0155706,-0.00859219,-0.449437,0.0596687,29,32,35,0.984688,0.00530004,53.6591,0.984688,0.000582347
13,0,0.0083177,-0.0114566,0.0101262,0.338229,0.0554068,26,29,32,0.99611,0.00451624,45.6258,0.99611,0.000483398
14,0,0.0198611,-0.0108077,-0.002721,-0.974529,0.0606048,26,29,32,0.996111,0.00331982,31.3204,0.996111,0.000622671
15,0,-0.00120821,-0.0120009,0.00150607,-0.980227,0.0592452,30,33,36,0.983859,0.00468345,18.3093,0.983859,0.000760035
16,0,0.0189278,-0.0136127,0.00487944,-0.445932,0.0549802,27,30,33,0.99828,0.00276418,16.8578,0.99828,0.000703796
17,0,-0.0104433,0.000725381,0.00774303,-0.714254,0.0601671,27,30,33,0.99611,0.00410514,11.7542,0.99611,0.000923026
18,0,0.00281732,0.0112872,-0.00448023,0.0741478,0.0588249,31,34,37,0.983859,0.00495134,16.087,0.983859,0.000819962
19,0,0.0175633,-0.00454673,-0.00658301,-0.976029,0.054557,27,30,33,0.998251,0.00285741,25.6676,0.998251,0.00057287
20,0,-0.00713429,-0.000126798,0.00760624,-0.450975,0.0597327,27,30,33,0.997497,0.00490422,11.0682,0.997497,0.000952243
21,0,-0.0181261,0.00518406,0.00731632,0.33483,0.0584076,31,34,37,0.96169,0.00421542,16.9155,0.96169,0.000888088
22,0,-0.0105193,0.0129637,-0.00243085,1.12484,0.0541371,28,31,34,0.99822,0.00442218,44.6669,0.99822,0.000481736
23,0,-0.0132369,0.0126279,0.00152545,1.11896,0.0593015,28,31,34,0.997449,0.00444723,52.8697,0.997449,0.000503598
0,1,-0.0068633,-0.00128912,0.00505983,-0.374778,0.061397,27,30,33,0.998431,0.00396359,33.2063,0.998431,0.000658273
1,1,-0.0127628,0.00529037,0.00132059,1.46227,0.0571506,24,27,30,0.996391,0.00342738,55.4638,0.996391,0.000426954
2,1,-0.00182897,-0.00516702,0.00366999,0.145989,0.0623914,24,27,30,0.979582,0.00343197,40.2405,0.979582,0.00051977
3,1,0.0129732,-0.000909772,-0.00294383,-0.911234,0.060961,27,30,33,0.998402,0.00485659,147.263,0.998402,0.00034093
4,1,-0.00200298,0.00514717,-0.00576953,-0.368151,0.0567104,24,27,30,0.996391,0.00476928,43.4183,0.996391,0.000486605
5,1,-0.0127881,0.00944789,-0.0030689,0.405075,0.0619408,24,27,30,0.996391,0.00575724,264.21,0.996391,0.000284453
6,1,0.0133461,-0.0020556,-0.0034053,-0.898406,0.0605283,28,31,34,0.998372,0.00531542,143.861,0.998372,0.000358199
7,1,-0.00242231,0.00672971,-0.0012575,-0.903254,0.0562737,25,28,31,0.99639,0.00375422,58.1227,0.99639,0.000393663
8,1,0.0144845,-0.00998179,0.00360045,-0.377692,0.0614934,25,28,31,0.996391,0.0060885,264.54,0.996391,0.000289482
9,1,-0.0095324,0.00897684,-0.00133984,-0.638603,0.0600986,29,32,35,0.984798,0.00662748,117.263,0.984798,0.000414458
10,1,0.00980164,0.000620436,-0.00371628,0.155394,0.0558403,25,28,31,0.99639,0.00323545,55.5375,0.99639,0.000420877
11,1,-0.00896313,-0.00256595,0.00299303,1.18366,0.0610493,26,29,32,0.99639,0.00303353,48.6704,0.99639,0.000480143
12,1,-0.00130263,-0.00586966,0.0055106,-0.374834,0.0596721,29,32,35,0.984798,0.00524521,40.877,0.984798,0.00063077
13,1,0.00923316,-0.000668919,-0.00409883,0.414659,0.0554103,26,29,32,0.996389,0.00346827,43.3294,0.996389,0.000494825
14,1,-0.00392925,0.0075827,-0.00166297,-0.901382,0.0606084,26,29,32,0.99639,0.00465034,60.1771,0.99639,0.000462426
15,1,0.0106138,0.00321405,-0.00181546,-0.912941,0.0592486,30,33,36,0.983932,0.00456028,82.2355,0.983932,0.000429606
16,1,-0.00693275,0.00832278,-0.00537361,-0.368257,0.0549837,27,30,33,0.998431,0.00608927,95.886,0.998431,0.000385058
17,1,0.0142075,-0.00766747,-0.000394074,-0.642649,0.0601707,27,30,33,0.996389,0.00587573,175.453,0.996389,0.000342833
18,1,-0.0111315,-0.00236266,0.00289715,0.148735,0.0588282,30,33,36,0.983932,0.00492064,78.117,0.983932,0.000453164
19,1,-0.00718031,0.00661015,0.00123034,-0.904877,0.0545605,27,30,33,0.998402,0.00483547,108.301,0.998402,0.000324811
20,1,0.014544,-0.00760246,-0.000146897,-0.37787,0.0597363,27,30,33,0.997588,0.00576223,101.983,0.997588,0.000425275
21,1,0.0125015,-0.00725186,-0.00193531,0.408282,0.0584109,31,34,37,0.962855,0.00743616,195.221,0.962855,0.000354114
22,1,-0.00531891,-0.00462636,0.00290435,1.20248,0.0541405,28,31,34,0.998372,0.00334577,45.9783,0.998372,0.000458947
23,1,-0.00382405,-0.00588491,0.00125311,1.19077,0.059305,28,31,34,0.997533,0.00345686,44.7439,0.997533,0.00050912
0,2,0.00769631,-0.00572751,0.00114982,-0.299802,0.0613999,27,30,33,0.998541,0.00447408,294.916,0.998541,0.000221983
1,2,0.000417002,-0.00339937,0.00241183,1.5389,0.0571531,24,27,30,0.996619,0.00277531,66.4176,0.996619,0.000299096
2,2,0.00791015,-0.0039397,-0.000422677,0.219614,0.062394,24,27,30,0.980121,0.00314869,482.703,0.980121,0.000151339
3,2,0.000311745,0.00353759,0.000238838,-0.842842,0.0609639,27,30,33,0.998512,0.00238326,65.9037,0.998512,0.000319848
4,2,-0.00938793,0.00534175,-0.000976916,-0.290421,0.056713,24,27,30,0.996618,0.00336334,326.082,0.996618,0.000173656
5,2,-0.00744862,0.000878916,0.00192522,0.477321,0.0619435,24,27,30,0.996619,0.00193293,56.7024,0.996619,0.000360409
6,2,0.000225354,0.00386505,-0.000104356,-0.823446,0.0605311,28,31,34,0.998482,0.00265904,65.268,0.998482,0.000338114
7,2,-0.00801168,0.00182819,0.00119024,-0.831314,0.0562763,25,28,31,0.996618,0.00268334,386.657,0.996618,0.000142115
8,2,0.00566086,-2.20536e-05,-0.00235125,-0.304105,0.0614962,25,28,31,0.996618,0.0021238,44.1463,0.996618,0.000413117
9,2,-0.00768703,-0.000253099,0.00223151,-0.564664,0.0601015,29,32,35,0.984892,0.00276912,79.9829,0.984892,0.000345135
10,2,-0.00345706,0.00410823,-0.000176381,0.233095,0.055843,25,28,31,0.996617,0.00299008,121.841,0.996617,0.000225658
11,2,0.00439658,-0.00370889,-0.000467043,1.25239,0.0610521,25,28,31,0.996618,0.00308568,148.612,0.996618,0.00022724
12,2,0.00957827,-0.00427699,-0.000990065,-0.299886,0.0596749,29,32,35,0.984892,0.00456725,318.839,0.984892,0.00022256
13,2,-0.00484624,0.00494609,-0.00129105,0.491085,0.055413,26,29,32,0.996617,0.00364668,158.091,0.996617,0.000225909
14,2,-0.00879679,0.00170537,0.00147457,-0.827845,0.0606112,26,29,32,0.996617,0.00299374,247.87,0.996617,0.000201047
15,2,-0.0040503,0.00293886,0.00109602,-0.845413,0.0592514,30,33,36,0.983986,0.00337917,115.228,0.983986,0.000264331
16,2,-0.00886547,0.00301934,0.00121513,-0.290581,0.0549864,27,30,33,0.998541,0.0029049,108.282,0.998541,0.000269953
17,2,0.00321822,0.00249087,-0.00234787,-0.57067,0.0601736,27,30,33,0.996617,0.00246344,52.3306,0.996617,0.000384883
18,2,0.00421227,-0.00354868,-0.00110242,0.223665,0.058831,30,33,36,0.983986,0.00371307,119.084,0.983986,0.000277303
19,2,-0.0071226,-0.000768161,0.0011067,-0.833745,0.0545632,27,30,33,0.998512,0.00232041,140.131,0.998512,0.00021171
20,2,0.0008318,0.00340839,-0.00283962,-0.304373,0.0597391,27,30,33,0.997669,0.00324308,56.1599,0.997669,0.000394452
21,2,0.00387323,0.00320047,-0.00163093,0.482063,0.0584136,31,34,37,0.963882,0.00270532,58.8808,0.963882,0.000390778
22,2,0.00673016,-0.00319148,-0.00111796,1.28013,0.0541432,28,31,34,0.998482,0.00357605,348.812,0.998482,0.000159802
23,2,0.00740601,-0.00214964,-0.00125201,1.2626,0.0593079,28,31,34,0.997606,0.00356843,428.204,0.997606,0.000161268
0,3,0.00123026,0.00115816,-0.000681193,-0.224549,0.0614022,27,30,33,0.998623,0.00126875,101.01,0.998623,0.000177522
1,3,0.00385294,-0.00081591,-0.000445864,-0.478866,0.0571544,23,26,29,0.996808,0.000872892,208.364,0.996808,0.000102846
2,3,0.00119869,0.000924121,-0.000219637,0.293563,0.0623955,24,27,30,0.980578,0.000896334,101.583,0.980578,0.000138561
3,3,-0.00307874,-0.00048392,0.000156511,-0.774255,0.0609662,27,30,33,0.998594,0.000863114,224.015,0.998594,0.00010057
4,3,7.68548e-05,-0.0013357,0.000708886,-0.212693,0.0567146,24,27,30,0.996807,0.00141701,130.316,0.996807,0.000133721
5,3,0.00329616,-0.00168641,-3.62573e-05,0.54988,0.0619453,24,27,30,0.996808,0.00160378,701.318,0.996808,6.5972e-05
6,3,-0.00318976,-0.00050149,0.000255682,-0.748211,0.0605335,28,31,34,0.998564,0.000927349,205.916,0.998564,0.000113979
7,3,0.00042119,-0.00101163,-8.86965e-05,-0.759399,0.0562781,25,28,31,0.996807,0.00108358,150.973,0.996807,9.75934e-05
8,3,-0.00413158,0.00179712,8.37998e-05,-0.230191,0.0614982,25,28,31,0.996807,0.00159999,678.673,0.996807,7.5147e-05
9,3,0.00362484,-0.00106614,-0.00046327,-0.490461,0.0601038,29,32,35,0.984972,0.00186294,825.345,0.984972,7.03478e-05
10,3,-0.00258035,-0.000497312,0.000306004,0.310793,0.0558449,25,28,31,0.996806,0.000616621,133.059,0.996806,0.000113423
11,3,0.00225611,0.000683123,-0.000144127,1.32136,0.0610542,25,28,31,0.996807,0.000583797,118.055,0.996807,0.000125783
12,3,-0.00160878,0.00181228,-0.000121907,-0.224661,0.0596772,29,32,35,0.984972,0.00197288,221.515,0.984972,0.000134853
13,3,-0.00235012,-0.000551294,0.000593362,-1.52689,0.055415,26,29,32,0.996806,0.000798415,110.742,0.996806,0.000137881
14,3,0.00135908,-0.00120359,-0.000151187,-0.753985,0.0606134,26,29,32,0.996806,0.00143398,221.654,0.996806,0.000103672
15,3,-0.00138369,-0.000984198,-0.000102516,-0.777695,0.0592537,30,33,36,0.984025,0.000677883,105.456,0.984025,0.000134826
16,3,0.00261684,-0.00183873,0.000171243,-0.212906,0.0549884,26,29,32,0.998623,0.00182425,465.299,0.998623,8.21706e-05
17,3,-0.00403189,0.000745746,0.00055016,-0.498378,0.0601758,27,30,33,0.996806,0.0013331,367.965,0.996806,9.75827e-05
18,3,0.001323,0.00113553,7.63825e-05,0.29887,0.0588332,30,33,36,0.984025,0.000837568,112.683,0.984025,0.000144582
19,3,0.002378,-0.000603141,-0.000271932,-0.762636,0.0545652,27,30,33,0.998594,0.00139897,507.703,0.998594,5.41332e-05
20,3,-0.00399571,0.000535794,0.000702984,-0.23055,0.0597414,27,30,33,0.997742,0.00116469,188.341,0.997742,0.0001373
21,3,-0.00370421,-0.000205547,0.000548073,0.556107,0.0584158,31,34,37,0.964796,0.00148984,310.977,0.964796,0.000113163
22,3,0.000435447,0.00111675,2.60215e-05,1.35778,0.0541452,28,31,34,0.998564,0.00101852,125.839,0.998564,0.000117736
23,3,-2.23093e-05,0.00100833,0.000138927,1.33446,0.0593101,28,31,34,0.997672,0.00110111,124.36,0.997672,0.000123587
0,4,-0.00123237,7.39101e-05,0.000123266,-0.149069,0.0614039,27,30,33,0.998684,0.000369415,157.508,0.998684,3.57222e-05
1,4,-0.000383978,0.000309473,-2.32203e-05,-0.402251,0.0571545,23,26,29,0.996967,0.000481068,93.9611,0.996967,2.61364e-05
2,4,-0.00100094,5.77592e-05,6.68206e-05,0.367784,0.062396,23,26,29,0.981087,0.00029173,73.2402,0.981087,1.9343e-05
3,4,0.000602386,-7.57811e-05,7.74747e-08,-0.705514,0.0609681,27,30,33,0.998654,0.000457913,60.4599,0.998654,1.35287e-05
4,4,0.0011992,-0.00013091,-0.000138285,-0.134967,0.0567151,24,27,30,0.996967,0.000241539,113.745,0.996967,3.47645e-05
5,4,0.000554764,0.00022359,-0.000110376,0.622704,0.0619462,24,27,30,0.996967,0.000349331,93.1994,0.996967,4.84302e-05
6,4,0.000726278,-9.39064e-05,-1.45461e-05,-0.672751,0.0605353,28,31,34,0.998625,0.000499667,87.3302,0.998625,1.35494e-05
7,4,0.000799768,0.000107174,-3.36189e-05,-0.687513,0.0562789,25,28,31,0.996966,0.000133352,52.8245,0.996966,2.5872e-05
8,4,-0.000151579,-0.000339993,0.000127754,-0.156002,0.0614994,25,28,31,0.996967,0.00050621,118.883,0.996967,4.76761e-05
9,4,-8.68838e-05,0.000369021,1.79327e-06,-0.416044,0.0601056,28,31,34,0.985041,0.000525706,125.48,0.985041,4.26729e-05
10,4,0.000751233,-9.80986e-05,-3.27618e-05,0.388486,0.055846,25,28,31,0.996966,0.000398223,69.1842,0.996966,1.01305e-05
11,4,-0.000776867,3.25356e-05,1.86556e-05,1.39053,0.0610556,25,28,31,0.996966,0.000370038,59.9873,0.996966,1.00145e-05
12,4,-0.000671715,-0.000321094,8.1787e-05,-0.149209,0.059679,29,32,35,0.985041,0.000324235,134.826,0.985041,5.33493e-05
13,4,0.000996091,-0.000161942,-7.09116e-05,-1.45048,0.0554162,26,29,32,0.996965,0.00042408,115.106,0.996965,1.60532e-05
14,4,0.000743732,0.000191436,-3.53235e-05,-0.679854,0.060615,26,29,32,0.996966,0.000166296,75.1902,0.996966,3.89425e-05
15,4,0.000781645,0.000117499,3.2253e-05,-0.709826,0.0592555,30,33,36,0.984051,0.000288636,65.5167,0.984051,2.25713e-05
16,4,0.000580212,0.000264036,-0.000136235,-0.135234,0.0549898,26,29,32,0.998684,0.000343012,112.842,0.998684,4.49364e-05
17,4,0.000421523,-0.000340725,5.73886e-06,-0.425822,0.0601775,26,29,32,0.996965,0.000561434,127.495,0.996965,3.12209e-05
18,4,-0.000837155,-0.000141721,-2.53766e-05,0.374299,0.058835,30,33,36,0.984051,0.000302101,92.8666,0.984051,2.75803e-05
19,4,0.000248647,0.000209612,5.08512e-06,-0.691555,0.0545666,27,30,33,0.998654,0.000266816,50.9063,0.998654,3.13741e-05
20,4,0.000814043,-0.00037734,-1.62197e-05,-0.156451,0.0597431,27,30,33,0.997808,0.000624105,174.145,0.997808,2.29947e-05
21,4,0.000867466,-0.00019064,-6.23155e-05,0.630365,0.0584176,31,34,37,0.965615,0.000640802,170.535,0.965615,1.87948e-05
22,4,-0.00080582,-0.000135792,9.51105e-06,1.43542,0.0541467,28,31,34,0.998625,0.000210409,77.3749,0.998625,2.59122e-05
23,4,-0.000737817,-0.000168009,-1.37361e-05,1.40632,0.0593119,28,31,34,0.997732,0.000155335,64.3411,0.997732,3.08529e-05
0,5,-5.36125e-05,-0.000132328,8.69648e-06,-0.0733999,0.0614051,27,30,33,0.998729,0.0001883,18.1222,0.998729,1.61081e-05
1,5,-0.00030986,-9.36357e-06,1.1251e-05,-0.325646,0.0571532,23,26,29,0.997103,7.00026e-05,8.53209,0.997103,8.04807e-06
2,5,-0.000192189,-7.09126e-05,1.80542e-05,0.442237,0.0623953,23,26,29,0.981641,9.56143e-05,6.50413,0.981641,1.28358e-05
3,5,0.000156105,3.81732e-05,2.83432e-05,-0.636647,0.0609694,27,30,33,0.9987,3.49985e-05,4.72418,0.9987,1.0667e-05
4,5,0.000100027,9.46389e-05,-4.14898e-05,-0.0572454,0.0567145,24,27,30,0.997103,0.000164555,12.5017,0.997103,1.27049e-05
5,5,-0.000186972,6.30983e-05,-1.75749e-05,0.695755,0.061946,24,27,30,0.997103,0.000167058,10.3102,0.997103,5.03417e-06
6,5,0.000153286,5.06304e-05,2.94207e-05,-0.597104,0.0605367,28,31,34,0.998671,5.64502e-05,7.32955,0.998671,1.25182e-05
7,5,2.60074e-05,5.9958e-05,-1.14725e-05,-0.615657,0.0562788,25,28,31,0.997103,0.00011655,3.36542,0.997103,7.69091e-06
8,5,0.000305794,-5.68962e-05,6.32133e-06,-0.0815765,0.0614997,25,28,31,0.997103,0.000150973,14.1507,0.997103,6.1329e-06
9,5,-0.000297973,2.00943e-05,-7.88174e-06,-0.341448,0.060107,28,31,34,0.985101,0.000128162,14.0755,0.985101,8.45099e-06
10,5,0.0001761,6.53687e-05,8.76343e-06,0.466173,0.0558462,25,28,31,0.997102,5.38088e-05,5.63789,0.997102,1.00106e-05
11,5,-0.000152778,-6.52243e-05,-1.29282e-05,1.45987,0.0610563,25,28,31,0.997103,6.23333e-05,4.70336,0.997103,1.11103e-05
