// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998338,10.0982,0.998744
1,shared,1,0.998528,11.8322,0.998058
2,individual,2,0.993848,12.3143,0.989718
3,shared,1,0.998849,13.8117,0.998858
4,shared,0,0.998537,12.6681,0.998068
5,shared,1,0.998528,20.61,0.998058
6,individual,6,0.99812,10.756,0.998534
7,individual,7,0.998393,12.681,0.998058
8,shared,0,0.998537,33.3614,0.998068
9,individual,9,0.992039,18.6963,0.988963
10,shared,0,0.998495,12.3758,0.998059
11,individual,11,0.998393,11.4267,0.998058
12,individual,12,0.992096,10.5138,0.988982
13,individual,13,0.99844,9.94763,0.998041
14,shared,0,0.998495,11.7064,0.998059
15,individual,15,0.992335,11.4947,0.988602
16,shared,0,0.998676,14.4509,0.998697
17,individual,17,0.99844,15.7338,0.998041
18,individual,18,0.990595,9.48554,0.986871
19,shared,1,0.998787,13.7746,0.998724
20,shared,0,0.99871,24.5978,0.998519
21,individual,21,0.988755,14.2999,0.980835
22,individual,22,0.998137,12.7369,0.998534
23,shared,1,0.998865,14.7819,0.998511
