// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0123946,0.0135898,-0.0110073,-0.449622,0.0579517,27,30,33,0.998268,0.00498579,69.6727,0.998268,0.000462471
1,0,-0.00445522,0.00744588,-0.00967845,1.38564,0.0539481,24,27,30,0.995903,0.00399115,28.0571,0.995903,0.000499615
2,0,-0.0186019,0.0134614,-0.00227426,0.0724897,0.0588895,24,27,30,0.978392,0.0030318,44.8203,0.978392,0.000483407
3,0,-0.00576525,-0.00891513,0.0054924,-0.97954,0.0575407,28,31,34,0.998238,0.00367564,14.8603,0.998238,0.000735967
4,0,0.0186134,-0.0148287,0.00887974,-0.445877,0.053533,24,27,30,0.995903,0.00264941,28.1744,0.995903,0.000487471
5,0,0.0136139,-0.00610899,-0.00323353,0.332955,0.0584645,24,27,30,0.995903,0.00296417,9.98394,0.995903,0.00086074
6,0,-0.00708323,-0.00732135,0.00762618,-0.973235,0.0571327,28,31,34,0.998208,0.00382805,14.1079,0.998208,0.000777113
7,0,0.0174859,-0.0089764,-0.00348703,-0.975201,0.0531212,25,28,31,0.995902,0.00274885,37.8188,0.995902,0.000452036
8,0,-0.0105905,0.00516251,0.00278384,-0.451151,0.0580426,25,28,31,0.995903,0.00348931,8.06546,0.995903,0.000924147
9,0,0.0189092,-0.00970952,-0.00306647,-0.712417,0.0567277,29,32,35,0.984562,0.00371552,20.2324,0.984562,0.000757021
10,0,0.00668945,-0.0115891,0.00645535,0.0776956,0.0527126,26,29,32,0.995902,0.00373852,34.4049,0.995902,0.000469845
11,0,-0.00921966,0.0128435,-0.00310925,1.11502,0.0576239,26,29,32,0.995902,0.00388829,38.7049,0.995902,0.000498182
12,0,-0.0148268,0.0149453,-0.00836518,-0.44965,0.0563255,29,32,35,0.984562,0.00508171,54.5677,0.984562,0.000534143
13,0,0.00790961,-0.0110126,0.0098837,0.338234,0.0523072,26,29,32,0.995901,0.00432862,47.9159,0.995901,0.000438939
14,0,0.0188871,-0.0104165,-0.00273198,-0.974793,0.0572082,26,29,32,0.995902,0.00323827,32.6749,0.995902,0.000568044
15,0,-0.00112384,-0.0116647,0.00147346,-0.980385,0.0559263,30,33,36,0.983734,0.0045286,19.3283,0.983734,0.000691385
16,0,0.0179471,-0.0130153,0.00470833,-0.44593,0.051905,27,30,33,0.998268,0.00266214,17.5948,0.998268,0.000638229
17,0,-0.00989734,0.000657859,0.00761411,-0.714503,0.0567955,27,30,33,0.995901,0.00396376,12.5683,0.995901,0.000833767
18,0,0.00265567,0.010945,-0.00442311,0.0739344,0.05553,31,34,37,0.983734,0.00476963,16.9123,0.983734,0.000745843
19,0,0.016697,-0.00436041,-0.00655057,-0.976014,0.051506,27,30,33,0.998238,0.00278549,27.0749,0.998238,0.000519961
20,0,-0.00675093,-0.000158452,0.00744436,-0.451239,0.0563859,27,30,33,0.997411,0.00471668,11.7946,0.997411,0.000859895
21,0,-0.0172024,0.00494786,0.00721001,0.334626,0.0551365,31,34,37,0.960292,0.0041094,18.0158,0.960292,0.000802907
22,0,-0.0100111,0.0125023,-0.0023682,1.12484,0.0511101,28,31,34,0.998208,0.0042535,45.5891,0.998208,0.000442266
23,0,-0.0126154,0.0122293,0.00155577,1.11895,0.0559794,28,31,34,0.997362,0.00430123,53.9646,0.997362,0.000463082
0,1,-0.00658894,-0.00130834,0.00513267,-0.375172,0.0579553,27,30,33,0.998419,0.00391522,34.9395,0.998419,0.00060299
1,1,-0.0122939,0.00517946,0.00136063,1.46228,0.0539517,24,27,30,0.996197,0.00336016,57.5002,0.996197,0.000392837
2,1,-0.0017339,-0.00517388,0.00378422,0.145497,0.0588931,24,27,30,0.979084,0.00335253,42.2871,0.979084,0.000477862
3,1,0.0125952,-0.000879977,-0.0030833,-0.911528,0.0575443,27,30,33,0.99839,0.00476094,148.35,0.99839,0.000317959
4,1,-0.00196324,0.00507893,-0.00580037,-0.368148,0.0535366,24,27,30,0.996197,0.00462335,45.5719,0.996197,0.000445394
5,1,-0.0123723,0.00932927,-0.00309617,0.40461,0.0584681,24,27,30,0.996197,0.005584,259.162,0.996197,0.00026733
6,1,0.0129355,-0.00201916,-0.00353896,-0.898799,0.0571362,28,31,34,0.998359,0.00521137,145.798,0.998359,0.000333099
7,1,-0.00238276,0.00671844,-0.00128454,-0.903219,0.0531248,25,28,31,0.996196,0.00364536,60.2881,0.996196,0.000363017
8,1,0.0139814,-0.00981156,0.00360739,-0.378184,0.0580463,25,28,31,0.996197,0.00591312,261.124,0.996197,0.000271006
9,1,-0.00924314,0.0088794,-0.00134052,-0.638979,0.0567311,29,32,35,0.984684,0.00642009,118.562,0.984684,0.000385298
10,1,0.009456,0.000647595,-0.00382063,0.155397,0.0527162,25,28,31,0.996196,0.00321008,58.2805,0.996196,0.000386322
11,1,-0.00867068,-0.00259856,0.00311589,1.18326,0.0576275,26,29,32,0.996196,0.00301714,50.8432,0.996196,0.000442036
12,1,-0.00121783,-0.00581266,0.00557019,-0.375227,0.0563289,29,32,35,0.984684,0.00513819,43.0909,0.984684,0.000577435
13,1,0.00887825,-0.000624355,-0.00415999,0.41467,0.0523108,26,29,32,0.996195,0.00343031,45.5101,0.996195,0.000453294
14,1,-0.00384441,0.00756328,-0.0016982,-0.901873,0.0572118,26,29,32,0.996196,0.004514,62.2329,0.996196,0.000427156
15,1,0.0102873,0.00325134,-0.00188877,-0.913228,0.0559297,30,33,36,0.98382,0.00449228,84.4994,0.98382,0.000397923
16,1,-0.00670615,0.00817996,-0.00538545,-0.368254,0.0519085,27,30,33,0.998419,0.0058987,99.9574,0.998419,0.000353384
17,1,0.0137291,-0.00755281,-0.00042778,-0.643111,0.0567991,27,30,33,0.996195,0.00571278,174.01,0.996195,0.000320775
18,1,-0.0107724,-0.00238898,0.00299621,0.148341,0.0555333,30,33,36,0.98382,0.00483948,80.2514,0.98382,0.000419139
19,1,-0.00698541,0.00658104,0.00129202,-0.904843,0.0515094,27,30,33,0.99839,0.00470239,110.906,0.99839,0.000300869
20,1,0.0140243,-0.00745452,-0.000177042,-0.378361,0.0563895,27,30,33,0.997508,0.00560635,103.318,0.997508,0.000394448
21,1,0.0121008,-0.007155,-0.00199726,0.407907,0.0551398,31,34,37,0.961552,0.00722326,193.106,0.961552,0.000331432
22,1,-0.00511131,-0.00461577,0.00297195,1.20249,0.0511135,28,31,34,0.998359,0.00330082,48.059,0.998359,0.00042138
23,1,-0.00367191,-0.00590802,0.00129012,1.19076,0.0559828,28,31,34,0.997452,0.00341497,46.6806,0.997452,0.000468796
0,2,0.00760237,-0.00579456,0.00118825,-0.300351,0.0579582,27,30,33,0.998529,0.00439873,286.69,0.998529,0.000211814
1,2,0.000445191,-0.00345711,0.00252502,1.53892,0.0539543,24,27,30,0.996437,0.00272233,68.9087,0.996437,0.000278884
2,2,0.0078502,-0.00403448,-0.000467422,0.218924,0.0588958,24,27,30,0.979662,0.00311488,457.416,0.979662,0.000146263
3,2,0.00027495,0.00366768,0.000266597,-0.843245,0.0575471,27,30,33,0.9985,0.00237182,68.4333,0.9985,0.000299937
4,2,-0.00922305,0.00536757,-0.000996632,-0.290416,0.0535393,24,27,30,0.996436,0.00331903,319.857,0.996436,0.000164861
5,2,-0.00732117,0.000867246,0.00204045,0.47667,0.0584709,24,27,30,0.996437,0.00196522,59.0465,0.996437,0.000336017
6,2,0.000188443,0.00398433,-0.000105133,-0.823995,0.057139,28,31,34,0.998469,0.00263979,67.4033,0.998469,0.000316824
7,2,-0.00793539,0.00186149,0.00129095,-0.831257,0.0531275,25,28,31,0.996436,0.00266734,378.764,0.996436,0.000135516
8,2,0.0055399,4.61533e-06,-0.00246573,-0.304795,0.0580491,25,28,31,0.996436,0.00213277,45.9408,0.996436,0.000384681
9,2,-0.00756521,-0.000283568,0.00236342,-0.565188,0.0567339,29,32,35,0.984789,0.00279982,82.5831,0.984789,0.000322549
10,2,-0.00344469,0.00420076,-0.000179155,0.2331,0.0527189,25,28,31,0.996435,0.00293626,123.464,0.996435,0.000212387
11,2,0.00439347,-0.00382609,-0.000515302,1.25183,0.0576303,25,28,31,0.996436,0.0030406,149.423,0.996436,0.000215277
12,2,0.00943899,-0.00431076,-0.00105242,-0.300434,0.0563317,29,32,35,0.984789,0.00451712,309.452,0.984789,0.000212332
13,2,-0.00479597,0.00500775,-0.00134128,0.491101,0.0523134,26,29,32,0.996435,0.0035744,159.175,0.996435,0.000212746
14,2,-0.00870999,0.00172959,0.00159212,-0.828534,0.0572146,26,29,32,0.996435,0.00299029,247.77,0.996435,0.000190378
15,2,-0.00405397,0.0030331,0.00119831,-0.845807,0.0559324,30,33,36,0.983886,0.00333204,117.316,0.983886,0.000250009
16,2,-0.00869328,0.00301792,0.00127752,-0.290576,0.0519112,27,30,33,0.998529,0.00289666,110.791,0.998529,0.000252444
17,2,0.00314012,0.00255149,-0.00247382,-0.571317,0.0568019,27,30,33,0.996435,0.00245697,54.418,0.996435,0.000358864
18,2,0.0042047,-0.00364335,-0.00119495,0.223116,0.055536,30,33,36,0.983886,0.00366704,121.254,0.983886,0.000261479
19,2,-0.00703841,-0.000809882,0.00119252,-0.833691,0.0515121,27,30,33,0.9985,0.00233211,143.157,0.9985,0.000198813
20,2,0.000783049,0.00346388,-0.00296234,-0.305062,0.0563923,27,30,33,0.997594,0.00320471,58.3664,0.997594,0.000367516
21,2,0.00379071,0.00327591,-0.00171714,0.481541,0.0551424,31,34,37,0.96266,0.00272171,60.7582,0.96266,0.000364998
22,2,0.00666606,-0.00324972,-0.00120071,1.28014,0.0511161,28,31,34,0.998469,0.0035267,339.533,0.998469,0.00015254
23,2,0.00736758,-0.00220222,-0.00136286,1.26259,0.0559856,28,31,34,0.99753,0.00352901,406.957,0.99753,0.000155883
0,3,0.00124167,0.00124791,-0.000757462,-0.225234,0.0579605,27,30,33,0.99861,0.00128631,101.976,0.99861,0.000171445
1,3,0.00394609,-0.000857369,-0.000500921,-0.478843,0.0539559,24,27,30,0.996636,0.000915233,212.721,0.996636,9.9081e-05
2,3,0.0012244,0.00101447,-0.000254005,0.292697,0.0588976,24,27,30,0.980153,0.000904525,103.203,0.980153,0.000134336
3,3,-0.00319116,-0.000539303,0.00017637,-0.774751,0.0575494,27,30,33,0.998581,0.000923663,232.929,0.998581,9.75543e-05
4,3,9.782e-05,-0.00142441,0.000784503,-0.212686,0.053541,24,27,30,0.996635,0.00142267,131.48,0.996635,0.000129015
5,3,0.00340129,-0.00180295,-4.1336e-05,0.549065,0.0584729,24,27,30,0.996636,0.00163414,684.623,0.996636,6.62939e-05
6,3,-0.00329364,-0.000555226,0.000289012,-0.748896,0.0571413,28,31,34,0.99855,0.000987496,211.236,0.99855,0.000110517
7,3,0.000451818,-0.00110682,-0.000102961,-0.75932,0.0531293,25,28,31,0.996635,0.0010917,153.249,0.996635,9.5157e-05
8,3,-0.00424247,0.00190425,9.56156e-05,-0.231056,0.0580512,25,28,31,0.996635,0.00163923,665.504,0.996635,7.45033e-05
9,3,0.00373936,-0.00113954,-0.000523209,-0.491113,0.0567362,29,32,35,0.984879,0.00190636,797.384,0.984879,7.06387e-05
10,3,-0.00264828,-0.000548939,0.000346905,0.3108,0.0527208,25,28,31,0.996634,0.000653259,136.193,0.996634,0.00010943
11,3,0.00232815,0.000758562,-0.000163635,1.32067,0.0576325,25,28,31,0.996635,0.000619113,121.56,0.996635,0.000121874
12,3,-0.00167117,0.00193634,-0.000130189,-0.225346,0.0563339,29,32,35,0.984879,0.00199741,218.66,0.984879,0.000131488
13,3,-0.00239366,-0.000600773,0.000661379,-1.52687,0.0523154,26,29,32,0.996634,0.000825637,112.532,0.996634,0.00013272
14,3,0.00142257,-0.00131077,-0.000174952,-0.75485,0.0572168,26,29,32,0.996634,0.00145224,221.083,0.996634,0.000101774
15,3,-0.00141975,-0.00108381,-0.000128796,-0.77818,0.0559346,30,33,36,0.983936,0.000710684,108.873,0.983936,0.000131113
16,3,0.00268917,-0.00194818,0.000187106,-0.2129,0.0519132,27,30,33,0.99861,0.00184425,453.352,0.99861,8.08419e-05
17,3,-0.00414456,0.000788148,0.00061711,-0.499188,0.0568042,27,30,33,0.996634,0.0013839,369.126,0.996634,9.50365e-05
18,3,0.00135097,0.00124074,9.71325e-05,0.298185,0.0555382,30,33,36,0.983936,0.000874754,115.542,0.983936,0.000140293
19,3,0.00247047,-0.000655356,-0.000314342,-0.762561,0.0515141,27,30,33,0.998581,0.00142382,507.646,0.998581,5.45244e-05
20,3,-0.00408875,0.000556573,0.000780334,-0.231414,0.0563945,27,30,33,0.997671,0.0012218,190.35,0.997671,0.000132625
21,3,-0.00380693,-0.000229159,0.000614529,0.555457,0.0551446,31,34,37,0.963645,0.00155076,310.544,0.963645,0.000110227
22,3,0.000430894,0.00121333,3.52637e-05,1.35779,0.0511181,28,31,34,0.99855,0.00103265,128.068,0.99855,0.000114069
23,3,-4.30933e-05,0.00110846,0.000167965,1.33445,0.0559879,28,31,34,0.9976,0.00111379,126.582,0.9976,0.00012067
0,4,-0.00133938,8.66956e-05,0.000149371,-0.149875,0.0579623,27,30,33,0.99867,0.000407705,181.674,0.99867,3.63164e-05
1,4,-0.000424175,0.000361109,-2.60593e-05,-0.402221,0.0539564,23,26,29,0.996804,0.000506948,110.188,0.996804,2.69178e-05
2,4,-0.00109746,7.08007e-05,8.03167e-05,0.366761,0.0588985,23,26,29,0.980585,0.000322061,89.4177,0.980585,1.97871e-05
3,4,0.000675861,-8.86938e-05,-8.38307e-06,-0.706087,0.0575512,27,30,33,0.998641,0.000494442,76.2941,0.998641,1.47359e-05
4,4,0.00129232,-0.000147688,-0.000160734,-0.134959,0.0535419,24,27,30,0.996804,0.000269063,129.764,0.996804,3.50301e-05
5,4,0.000593354,0.000262264,-0.000127669,0.621743,0.0584741,24,27,30,0.996804,0.000365148,104.044,0.996804,4.91857e-05
6,4,0.000808678,-0.000109161,-2.64703e-05,-0.673557,0.0571432,28,31,34,0.998611,0.000538903,108.605,0.998611,1.48203e-05
7,4,0.000875096,0.000123,-3.85609e-05,-0.687408,0.0531304,25,28,31,0.996803,0.000155242,64.0762,0.996803,2.62448e-05
8,4,-0.000152553,-0.000393375,0.000147376,-0.157024,0.0580526,25,28,31,0.996804,0.00053038,131.75,0.996804,4.8506e-05
9,4,-0.000106564,0.00042241,8.69597e-06,-0.416809,0.056738,28,31,34,0.984957,0.000554794,142.293,0.984957,4.37559e-05
10,4,0.000828288,-0.000118401,-4.47099e-05,0.388495,0.052722,25,28,31,0.996803,0.000428819,84.9104,0.996803,1.10241e-05
11,4,-0.000863132,4.25392e-05,2.81019e-05,1.38973,0.0576341,25,28,31,0.996803,0.000403603,75.1724,0.996803,1.08214e-05
12,4,-0.000723384,-0.000364349,9.77563e-05,-0.150015,0.0563358,29,32,35,0.984957,0.000348253,147.025,0.984957,5.41523e-05
13,4,0.00108607,-0.000188985,-8.82771e-05,-1.45045,0.0523167,26,29,32,0.996802,0.000457748,137.32,0.996802,1.67091e-05
14,4,0.000810436,0.000221446,-3.9921e-05,-0.680875,0.0572185,26,29,32,0.996803,0.000183009,88.1579,0.996803,3.96511e-05
15,4,0.000868496,0.000141151,3.36098e-05,-0.710387,0.0559364,30,33,36,0.983972,0.000326125,81.9624,0.983972,2.30289e-05
16,4,0.000617676,0.000300386,-0.000156964,-0.135226,0.0519146,26,29,32,0.99867,0.00036024,124.008,0.99867,4.54185e-05
17,4,0.000471485,-0.000393981,-8.72338e-07,-0.426778,0.0568059,26,29,32,0.996802,0.000594779,148.998,0.996802,3.22889e-05
