// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998259,9.62764,0.998739
1,shared,1,0.998558,10.8538,0.998153
2,individual,2,0.994202,12.5517,0.990369
3,shared,1,0.998817,12.3707,0.998867
4,shared,0,0.998563,12.1578,0.998161
5,shared,1,0.998558,19.7408,0.998153
6,individual,6,0.997961,10.0492,0.99846
7,individual,7,0.998411,12.9092,0.998148
8,shared,0,0.998563,31.1915,0.998161
9,individual,9,0.992443,18.4302,0.989366
10,shared,0,0.998514,12.4862,0.998148
11,individual,11,0.998411,10.8064,0.998148
12,individual,12,0.992501,10.5579,0.989384
13,individual,13,0.998456,9.15557,0.99813
14,shared,0,0.998514,11.3823,0.998148
15,individual,15,0.992723,10.3882,0.98906
16,shared,0,0.998644,14.767,0.998668
17,individual,17,0.998456,14.6505,0.99813
18,individual,18,0.991073,8.97886,0.987299
19,shared,1,0.998732,13.3996,0.998689
20,shared,0,0.998726,21.9067,0.998568
21,individual,21,0.989572,13.5107,0.982223
22,individual,22,0.998004,12.733,0.998461
23,shared,1,0.998876,14.9575,0.998567
