// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0129821,0.0139156,-0.0109284,-0.44921,0.0616036,27,30,33,0.998304,0.00512242,68.7105,0.998304,0.000497798
1,0,-0.00463027,0.00757918,-0.00955975,1.38563,0.0573424,24,27,30,0.996318,0.0040949,26.1834,0.996318,0.000547061
2,0,-0.0194444,0.0136503,-0.00225775,0.0730011,0.0626015,24,27,30,0.979456,0.00305937,45.6553,0.979456,0.000511786
3,0,-0.00608151,-0.0088817,0.00523081,-0.97923,0.0611662,28,31,34,0.998274,0.00374389,14.1036,0.998274,0.000797588
4,0,0.0195786,-0.0153026,0.00892611,-0.44588,0.0569006,24,27,30,0.996317,0.00269663,27.4085,0.996317,0.000531062
5,0,0.0143303,-0.00632956,-0.00310842,0.333439,0.0621492,24,27,30,0.996318,0.00300576,9.39209,0.996318,0.000941074
6,0,-0.00746519,-0.00732025,0.00732455,-0.972823,0.060732,28,31,34,0.998244,0.00391803,13.2833,0.998244,0.000845661
7,0,0.0182842,-0.00912194,-0.0032819,-0.975234,0.0564624,25,28,31,0.996317,0.00273263,36.6149,0.996317,0.000487153
8,0,-0.0111767,0.00538675,0.00269149,-0.45064,0.0617003,25,28,31,0.996317,0.00358625,7.6317,0.996317,0.00101178
9,0,0.0198507,-0.00998162,-0.00293236,-0.712022,0.0603008,29,32,35,0.984802,0.00369617,19.2654,0.984802,0.000823561
10,0,0.00695716,-0.0117404,0.00629918,0.0776926,0.0560275,26,29,32,0.996316,0.00385035,33.803,0.996316,0.000503939
11,0,-0.00957411,0.0129049,-0.00301592,1.11544,0.0612546,26,29,32,0.996317,0.00396735,39.0652,0.996317,0.000527816
12,0,-0.015548,0.0153346,-0.00834338,-0.449238,0.0598729,29,32,35,0.984802,0.00522918,55.8082,0.984802,0.000568683
13,0,0.00826646,-0.0112601,0.00980001,0.338224,0.0555961,26,29,32,0.996316,0.00445712,45.907,0.996316,0.000476844
14,0,0.0197584,-0.0105981,-0.00255987,-0.974283,0.0608122,26,29,32,0.996316,0.00321912,31.7183,0.996316,0.000611623
15,0,-0.00123784,-0.0116724,0.00145749,-0.980082,0.059448,30,33,36,0.983971,0.00458487,18.3002,0.983971,0.000749013
16,0,0.0188882,-0.0134556,0.00477441,-0.445933,0.055168,27,30,33,0.998304,0.00271299,17.0741,0.998304,0.000695173
17,0,-0.0104351,0.000755224,0.00744486,-0.714022,0.0603731,27,30,33,0.996316,0.00402326,11.612,0.996316,0.000915676
18,0,0.00283724,0.0110052,-0.00429124,0.0743463,0.0590261,31,34,37,0.983971,0.0048634,16.149,0.983971,0.000808099
19,0,0.0174747,-0.0044758,-0.0062432,-0.976045,0.0547433,27,30,33,0.998274,0.00277082,25.7259,0.998274,0.000565325
20,0,-0.00714354,-8.43553e-05,0.00734909,-0.450729,0.0599372,27,30,33,0.997577,0.00482474,10.9719,0.997577,0.000944952
21,0,-0.0180721,0.0051319,0.00701713,0.335019,0.0586074,31,34,37,0.962988,0.0040904,16.7887,0.962988,0.000880126
22,0,-0.0104463,0.0126988,-0.0023582,1.12484,0.054322,28,31,34,0.998244,0.00434818,46.2816,0.998244,0.000469915
23,0,-0.0131308,0.012324,0.00140882,1.11897,0.0595044,28,31,34,0.99753,0.00435206,54.7609,0.99753,0.000490664
0,1,-0.00675989,-0.00120194,0.00470896,-0.374409,0.0616068,27,30,33,0.998456,0.00379526,33.3508,0.998456,0.00064374
1,1,-0.0125134,0.00509376,0.00120449,1.46226,0.0573455,24,27,30,0.996585,0.00329854,56.5021,0.996585,0.000415315
2,1,-0.0018272,-0.00487694,0.00336011,0.146448,0.0626045,24,27,30,0.980062,0.00332696,40.4718,0.980062,0.000506477
3,1,0.0126277,-0.00088874,-0.00264867,-0.910963,0.0611694,27,30,33,0.998427,0.00468651,154.356,0.998427,0.00032748
4,1,-0.00192379,0.00492296,-0.00540865,-0.368154,0.0569038,24,27,30,0.996585,0.00465089,43.7439,0.996585,0.000475651
5,1,-0.012491,0.0090406,-0.00287563,0.405509,0.0621524,24,27,30,0.996585,0.00561496,284.563,0.996585,0.000271012
6,1,0.0130128,-0.00197776,-0.00308885,-0.898037,0.0607351,28,31,34,0.998397,0.00512918,149.996,0.998397,0.000345019
7,1,-0.00232112,0.00635606,-0.00115894,-0.90329,0.0564656,25,28,31,0.996584,0.00365423,59.2121,0.996584,0.000382006
8,1,0.0141825,-0.00959554,0.00339721,-0.377233,0.0617035,25,28,31,0.996585,0.00592973,283.03,0.996585,0.000276911
