// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998462,22.5993,0.998782
1,shared,1,0.998576,16.7778,0.998134
2,individual,2,0.994055,38.5844,0.990064
3,shared,1,0.998931,13.3908,0.998866
4,shared,0,0.998587,21.7145,0.998143
5,shared,1,0.998576,49.0747,0.998134
6,individual,6,0.998209,18.3078,0.998547
7,individual,7,0.998461,14.6122,0.998137
8,shared,0,0.998587,32.5751,0.998143
9,individual,9,0.992279,17.3943,0.989186
10,shared,0,0.998539,14.6088,0.998133
11,individual,11,0.998461,14.17,0.998137
12,individual,12,0.992339,16.521,0.989204
13,individual,13,0.998485,15.7047,0.998115
14,shared,0,0.998539,30.6511,0.998133
15,individual,15,0.992548,11.8577,0.988812
16,shared,0,0.998697,18.9386,0.998705
17,individual,17,0.998485,38.613,0.998115
18,individual,18,0.990837,15.2069,0.987086
19,shared,1,0.998798,14.9572,0.998729
20,shared,0,0.998751,26.0386,0.998556
21,individual,21,0.989175,12.636,0.981547
22,individual,22,0.998212,13.7794,0.998547
23,shared,1,0.998894,17.1451,0.998532
