// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0122737,0.0135738,-0.0111303,-0.449408,0.0597774,27,30,33,0.998275,0.00512331,66.3643,0.998275,0.000488396
1,0,-0.00408258,0.00718576,-0.00957569,1.38563,0.055645,24,27,30,0.996113,0.00405804,25.356,0.996113,0.000537764
2,0,-0.018933,0.0137571,-0.00256004,0.072755,0.0607452,24,27,30,0.97894,0.00309989,46.8376,0.97894,0.00049323
3,0,-0.00647,-0.00865744,0.00558319,-0.979379,0.0593532,28,31,34,0.998246,0.00368488,14.2243,0.998246,0.000775015
4,0,0.019107,-0.0151872,0.00918497,-0.445879,0.0552166,24,27,30,0.996113,0.00276445,30.1413,0.996113,0.000495248
5,0,0.0144093,-0.00667995,-0.00285639,0.333206,0.0603066,24,27,30,0.996113,0.00294377,9.65307,0.996113,0.000904799
6,0,-0.00782664,-0.00699207,0.00765284,-0.97302,0.058932,28,31,34,0.998215,0.00384325,13.5139,0.998215,0.000818769
7,0,0.0179122,-0.00937023,-0.00319061,-0.975217,0.0547915,25,28,31,0.996112,0.00279486,38.595,0.996112,0.000465497
8,0,-0.0113869,0.00576893,0.00237301,-0.450886,0.0598712,25,28,31,0.996113,0.00347046,7.72476,0.996113,0.000975844
9,0,0.0195438,-0.0102698,-0.00267187,-0.71221,0.0585139,29,32,35,0.984689,0.00375191,20.3245,0.984689,0.000784991
10,0,0.00638254,-0.0115548,0.00661484,0.0776941,0.0543698,26,29,32,0.996112,0.00380974,32.5495,0.996112,0.000496731
11,0,-0.00896661,0.0128871,-0.00333142,1.11524,0.059439,26,29,32,0.996112,0.00395239,36.9121,0.996112,0.000524303
12,0,-0.0148384,0.0151247,-0.00867717,-0.449435,0.0580989,29,32,35,0.984689,0.00523657,55.7824,0.984689,0.000550665
13,0,0.00764268,-0.010915,0.0099704,0.338229,0.0539514,26,29,32,0.996111,0.00443075,44.3124,0.996111,0.000468569
14,0,0.0193498,-0.0108547,-0.00238577,-0.974529,0.0590099,26,29,32,0.996112,0.00329163,33.4166,0.996112,0.000584431
15,0,-0.00176825,-0.011589,0.00174052,-0.980229,0.0576868,30,33,36,0.98386,0.00454606,18.2131,0.98386,0.000731552
16,0,0.0185312,-0.0135057,0.0051217,-0.445932,0.0535362,27,30,33,0.998275,0.00273461,18.1034,0.998275,0.000657277
17,0,-0.0106926,0.00120268,0.00733045,-0.714254,0.058584,27,30,33,0.996111,0.00396365,11.9094,0.996111,0.000882975
18,0,0.00335091,0.0107859,-0.00464901,0.0741492,0.0572778,31,34,37,0.98386,0.00479203,16.0473,0.98386,0.000788256
19,0,0.0172356,-0.00482142,-0.00633439,-0.976029,0.0531244,27,30,33,0.998246,0.00283046,27.3893,0.998246,0.000537912
20,0,-0.00752321,0.000400734,0.00713485,-0.450975,0.0581613,27,30,33,0.997492,0.00473069,11.0286,0.997492,0.000915867
21,0,-0.0179301,0.00555523,0.00690825,0.334832,0.0568716,31,34,37,0.961697,0.00413539,17.8293,0.961697,0.000837793
22,0,-0.0098311,0.012656,-0.00266891,1.12484,0.0527158,28,31,34,0.998215,0.00433364,43.8632,0.998215,0.000464942
23,0,-0.0125099,0.012469,0.00122719,1.11895,0.0577416,28,31,34,0.997444,0.00437751,52.3592,0.997444,0.00048481
0,1,-0.00716017,-0.000907484,0.00486919,-0.374775,0.0597807,27,30,33,0.998426,0.00384551,33.9306,0.998426,0.000627873
1,1,-0.0126745,0.00544434,0.00110895,1.46227,0.0556483,24,27,30,0.996393,0.00343507,59.3322,0.996393,0.000400407
2,1,-0.00221333,-0.00487032,0.00367292,0.14599,0.0607485,24,27,30,0.979586,0.0033073,40.437,0.979586,0.000499702
3,1,0.012783,-0.00115595,-0.00291313,-0.911237,0.0593565,27,30,33,0.998397,0.00483373,159.52,0.998397,0.000318998
4,1,-0.00152683,0.00476769,-0.00561695,-0.368151,0.05522,24,27,30,0.996392,0.00458059,42.1624,0.996392,0.000472575
5,1,-0.012303,0.00929622,-0.00319345,0.405075,0.06031,24,27,30,0.996393,0.00567088,261.616,0.996393,0.000274625
6,1,0.0131378,-0.00230246,-0.00332385,-0.898403,0.0589354,28,31,34,0.998366,0.00529067,156.177,0.998366,0.000334924
7,1,-0.00198198,0.0065383,-0.0013592,-0.903254,0.0547949,25,28,31,0.996391,0.00362021,57.2666,0.996391,0.000380984
8,1,0.0140573,-0.00986227,0.00374109,-0.377691,0.0598746,25,28,31,0.996392,0.00603963,287.866,0.996392,0.000270446
9,1,-0.00896705,0.00883481,-0.00152149,-0.638599,0.0585172,29,32,35,0.984799,0.00645147,111.957,0.984799,0.00040524
10,1,0.00987597,0.000335735,-0.00364418,0.155394,0.0543732,25,28,31,0.996391,0.00323127,58.72,0.996391,0.000397072
11,1,-0.00910724,-0.00227889,0.00299805,1.18366,0.0594424,26,29,32,0.996391,0.00302021,51.0835,0.996391,0.0004543
12,1,-0.00179569,-0.00546109,0.00546533,-0.374831,0.0581021,29,32,35,0.984799,0.00505304,40.9063,0.984799,0.000606769
13,1,0.0093713,-0.000981105,-0.00391532,0.414659,0.0539547,26,29,32,0.99639,0.00343257,45.181,0.99639,0.000468632
14,1,-0.00341741,0.00737437,-0.00178134,-0.901381,0.0590133,26,29,32,0.996391,0.00448884,58.7735,0.996391,0.000448969
15,1,0.0106616,0.00291833,-0.00189082,-0.912944,0.05769,30,33,36,0.983932,0.00456017,88.2729,0.983932,0.000403207
