// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998159,19.839,0.998709
1,shared,1,0.998586,22.7164,0.998136
2,individual,2,0.994065,26.8473,0.990066
3,shared,1,0.998694,15.6814,0.998858
4,shared,0,0.998592,12.623,0.998145
5,shared,1,0.998586,15.6952,0.998136
6,individual,6,0.99796,10.1626,0.998512
7,individual,7,0.99842,21.0791,0.998129
8,shared,0,0.998592,16.4465,0.998145
9,individual,9,0.99221,40.0689,0.989143
10,shared,0,0.998552,14.0919,0.998136
11,individual,11,0.99842,14.4174,0.998129
12,individual,12,0.992265,16.6688,0.989162
13,individual,13,0.998496,19.1098,0.998118
14,shared,0,0.998552,21.4796,0.998136
15,individual,15,0.992474,10.9098,0.988843
16,shared,0,0.998712,15.7511,0.998724
17,individual,17,0.998496,11.4747,0.998118
18,individual,18,0.990838,9.47072,0.987087
19,shared,1,0.998813,20.4159,0.998748
20,shared,0,0.998728,10.6511,0.998544
21,individual,21,0.989175,47.7482,0.981547
22,individual,22,0.998035,15.9551,0.998515
23,shared,1,0.998869,16.0168,0.998548
