// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998345,9.98572,0.998765
1,shared,1,0.998533,11.6957,0.998059
2,individual,2,0.993867,12.1207,0.98978
3,shared,1,0.998848,14.9009,0.998884
4,shared,0,0.99854,11.7874,0.998068
5,shared,1,0.998533,23.798,0.998059
6,individual,6,0.998139,11.2644,0.998568
7,individual,7,0.998394,12.6335,0.998057
8,shared,0,0.99854,50.0098,0.998068
9,individual,9,0.992131,18.2283,0.989161
10,shared,0,0.998499,12.5856,0.998059
11,individual,11,0.998394,11.7319,0.998057
12,individual,12,0.992189,10.4115,0.98918
13,individual,13,0.998445,9.70507,0.998042
14,shared,0,0.998499,11.8224,0.998059
15,individual,15,0.992444,12.142,0.988815
16,shared,0,0.998692,13.0939,0.998727
17,individual,17,0.998445,17.9332,0.998042
18,individual,18,0.990673,9.63325,0.987076
19,shared,1,0.998802,13.383,0.998752
20,shared,0,0.99871,31.0446,0.99851
21,individual,21,0.98878,14.2669,0.980923
22,individual,22,0.998157,12.0877,0.998568
23,shared,1,0.998866,15.8785,0.998508
