// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0120233,0.0132458,-0.0113417,-0.449596,0.0579987,27,30,33,0.998327,0.00508545,70.9416,0.998327,0.000457555
1,0,-0.00403498,0.00685139,-0.00948559,1.38568,0.0539894,24,27,30,0.9959,0.00403012,25.4977,0.9959,0.000514924
2,0,-0.0184971,0.0138127,-0.00315192,0.0725305,0.0589315,24,27,30,0.978688,0.00305932,46.2326,0.978688,0.000478538
3,0,-0.00640531,-0.0083075,0.00619866,-0.979339,0.0575874,28,31,34,0.998298,0.00363373,14.4475,0.998298,0.000746757
4,0,0.0186225,-0.0149869,0.00948826,-0.445866,0.053574,24,27,30,0.995899,0.00273582,30.7464,0.995899,0.000465603
5,0,0.0140068,-0.00689254,-0.00239228,0.333034,0.0585062,24,27,30,0.9959,0.00287941,9.55069,0.9959,0.000871179
6,0,-0.00768876,-0.00657811,0.00811451,-0.973208,0.057179,28,31,34,0.998269,0.00379447,13.9606,0.998269,0.000784977
7,0,0.0175048,-0.00962259,-0.00280862,-0.975029,0.0531619,25,28,31,0.995898,0.0027992,38.7901,0.995898,0.000450643
8,0,-0.0110083,0.00593737,0.00190294,-0.451109,0.058084,25,28,31,0.995899,0.00337251,7.55081,0.995899,0.000938417
9,0,0.0190629,-0.0104596,-0.00213355,-0.712362,0.0567736,29,32,35,0.984929,0.00371621,20.2419,0.984929,0.000758764
10,0,0.00622982,-0.0113148,0.00710144,0.0777074,0.0527529,26,29,32,0.995898,0.00375135,33.5016,0.995898,0.000476134
11,0,-0.00873949,0.012807,-0.00395308,1.11519,0.057665,26,29,32,0.995898,0.00390339,36.7537,0.995898,0.000509408
12,0,-0.0145211,0.0148797,-0.00911961,-0.449623,0.0563712,29,32,35,0.984929,0.005148,58.0327,0.984929,0.000521598
13,0,0.00751141,-0.0105981,0.0101324,0.338282,0.0523472,26,29,32,0.995897,0.00439595,46.7009,0.995897,0.000442421
14,0,0.0189064,-0.0110692,-0.00191613,-0.97475,0.057249,26,29,32,0.995898,0.00328354,33.2997,0.995898,0.000566968
15,0,-0.00180378,-0.0114169,0.00240932,-0.980164,0.0559716,30,33,36,0.984125,0.00452192,18.3334,0.984125,0.000706939
16,0,0.0180414,-0.0134104,0.00556817,-0.445918,0.0519447,27,30,33,0.998327,0.00263352,17.9133,0.998327,0.000628224
17,0,-0.0103629,0.00150687,0.00704543,-0.714417,0.0568361,27,30,33,0.995897,0.00394501,12.0423,0.995897,0.000847961
18,0,0.00330999,0.0104896,-0.0053105,0.0739615,0.055575,31,34,37,0.984125,0.00472809,16.2352,0.984125,0.000759615
19,0,0.0168508,-0.00519784,-0.00626268,-0.975822,0.0515454,27,30,33,0.998298,0.00285207,28.212,0.998298,0.000516202
