// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998482,23.2702,0.998797
1,shared,1,0.998528,16.5458,0.998057
2,individual,2,0.993863,36.6164,0.989779
3,shared,1,0.998942,13.4904,0.998883
4,shared,0,0.998538,30.8311,0.998067
5,shared,1,0.998528,46.8991,0.998057
6,individual,6,0.998247,18.7807,0.998581
7,individual,7,0.998413,17.0876,0.998061
8,shared,0,0.998538,39.8755,0.998067
9,individual,9,0.99217,17.0592,0.989184
10,shared,0,0.998493,14.6512,0.998057
11,individual,11,0.998413,11.7948,0.998061
12,individual,12,0.992232,18.8414,0.989203
13,individual,13,0.99844,16.2571,0.998041
14,shared,0,0.998493,24.4492,0.998057
15,individual,15,0.992462,11.4886,0.988796
16,shared,0,0.998684,22.8871,0.998716
17,individual,17,0.99844,44.3745,0.998041
18,individual,18,0.990673,15.5902,0.987076
19,shared,1,0.998795,17.1697,0.998742
20,shared,0,0.998722,30.1261,0.998516
21,individual,21,0.98878,13.2358,0.980923
22,individual,22,0.998248,13.84,0.998581
23,shared,1,0.998881,15.351,0.998499
