// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0116031,0.0130305,-0.0114588,-0.449596,0.0579987,27,30,33,0.998322,0.00515063,67.5349,0.998322,0.000466495
1,0,-0.00357925,0.00650472,-0.0093965,1.38568,0.0539894,24,27,30,0.9959,0.00403863,23.8565,0.9959,0.000528939
2,0,-0.0183852,0.0139764,-0.00345072,0.0725298,0.0589315,24,27,30,0.978688,0.00310883,47.8257,0.978688,0.00047411
3,0,-0.00693485,-0.00802912,0.00640312,-0.979341,0.0575874,28,31,34,0.998293,0.00360531,14.2324,0.998293,0.000753874
4,0,0.018614,-0.0150709,0.00973743,-0.445866,0.053574,24,27,30,0.995899,0.00282912,33.6765,0.995899,0.000451094
5,0,0.0144208,-0.00733851,-0.00205322,0.333033,0.0585062,24,27,30,0.9959,0.00283315,9.52909,0.9959,0.000874209
6,0,-0.00822147,-0.00621926,0.00825812,-0.973208,0.057179,28,31,34,0.998264,0.00376467,13.8247,0.998264,0.000791209
7,0,0.0175058,-0.00991563,-0.00258335,-0.975029,0.0531619,25,28,31,0.995898,0.00284786,40.1355,0.995898,0.000446783
8,0,-0.0114904,0.0064182,0.0015181,-0.45111,0.058084,25,28,31,0.995899,0.00329725,7.44578,0.995899,0.000945033
9,0,0.0191984,-0.0108546,-0.00177831,-0.712361,0.0567736,29,32,35,0.984929,0.00375615,20.8291,0.984929,0.000753418
10,0,0.00578746,-0.0111648,0.0073135,0.0777074,0.0527529,26,29,32,0.995898,0.00376258,32.0885,0.995898,0.000484917
11,0,-0.0083022,0.0127763,-0.00422237,1.11519,0.057665,26,29,32,0.995898,0.00392146,34.9895,0.995898,0.000519818
12,0,-0.0141606,0.0148203,-0.00940968,-0.449623,0.0563712,29,32,35,0.984929,0.00522668,58.6927,0.984929,0.000520524
13,0,0.00706551,-0.0103446,0.0102149,0.338282,0.0523472,26,29,32,0.995897,0.00442984,44.0248,0.995897,0.000452956
14,0,0.0189069,-0.0113864,-0.00162767,-0.974751,0.057249,26,29,32,0.995898,0.00334059,34.486,0.995898,0.000561905
15,0,-0.00238056,-0.0112886,0.00269356,-0.980166,0.0559716,30,33,36,0.984125,0.00450444,17.7767,0.984125,0.00071745
16,0,0.0181321,-0.0136436,0.00593344,-0.445918,0.0519447,27,30,33,0.998322,0.00268597,18.801,0.998322,0.000617939
17,0,-0.0108671,0.00200199,0.00680357,-0.714418,0.0568361,27,30,33,0.995897,0.00391035,11.8744,0.995897,0.000855654
18,0,0.00390006,0.0102555,-0.00559072,0.073962,0.055575,31,34,37,0.984125,0.00469671,15.8115,0.984125,0.00076962
19,0,0.0169711,-0.00558879,-0.00615459,-0.975822,0.0515454,27,30,33,0.998293,0.00290414,29.3001,0.998293,0.000511433
20,0,-0.00777679,0.00118273,0.00648264,-0.451196,0.0564262,27,30,33,0.997365,0.0046317,10.659,0.997365,0.000892158
21,0,-0.0177377,0.00636983,0.0063297,0.334685,0.0551812,31,34,37,0.960671,0.00418972,18.6335,0.960671,0.000801937
