// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998185,19.1039,0.998727
1,shared,1,0.998538,26.961,0.99806
2,individual,2,0.993872,26.6755,0.989781
3,shared,1,0.998713,12.7694,0.998875
4,shared,0,0.998543,13.7975,0.998068
5,shared,1,0.998538,15.4753,0.99806
6,individual,6,0.998004,10.4308,0.998547
7,individual,7,0.998374,20.866,0.998053
8,shared,0,0.998543,17.0155,0.998068
9,individual,9,0.992094,38.5504,0.989137
10,shared,0,0.998505,17.0827,0.99806
11,individual,11,0.998374,14.8922,0.998053
12,individual,12,0.992149,16.5994,0.989157
13,individual,13,0.998451,20.8939,0.998043
14,shared,0,0.998505,24.0989,0.99806
15,individual,15,0.992385,9.79093,0.988823
16,shared,0,0.998699,16.4754,0.998736
17,individual,17,0.998451,12.0406,0.998043
18,individual,18,0.990673,9.71481,0.987077
19,shared,1,0.998809,20.2861,0.998762
20,shared,0,0.998698,11.3709,0.998503
21,individual,21,0.98878,52.0529,0.980923
22,individual,22,0.998064,17.7437,0.998549
23,shared,1,0.998852,15.9367,0.998513
