// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0124341,0.0134465,-0.0112108,-0.449597,0.0579987,27,30,33,0.998332,0.00501756,74.0243,0.998332,0.000449835
1,0,-0.00448852,0.00719095,-0.00956346,1.38568,0.0539894,24,27,30,0.9959,0.00401887,27.3135,0.9959,0.000500891
2,0,-0.0185958,0.013637,-0.00285218,0.0725311,0.0589315,24,27,30,0.978688,0.00300951,44.6286,0.978688,0.000483219
3,0,-0.00587015,-0.00857535,0.0059879,-0.979337,0.0575874,28,31,34,0.998303,0.00366145,14.6929,0.998303,0.000739207
4,0,0.0186174,-0.0148888,0.00922926,-0.445866,0.053574,24,27,30,0.995899,0.00264373,28.1917,0.995899,0.000479896
5,0,0.013582,-0.00644145,-0.00272618,0.333035,0.0585062,24,27,30,0.9959,0.00292602,9.58727,0.9959,0.000867558
6,0,-0.00714883,-0.0069279,0.00796095,-0.973209,0.057179,28,31,34,0.998274,0.00382442,14.1242,0.998274,0.000778278
7,0,0.0174901,-0.00932119,-0.00302844,-0.975029,0.0531619,25,28,31,0.995898,0.00275058,37.4606,0.995898,0.00045462
8,0,-0.0105172,0.00545192,0.00228319,-0.451109,0.058084,25,28,31,0.995899,0.00344612,7.67198,0.995899,0.000931063
9,0,0.0189092,-0.0100534,-0.00248327,-0.712363,0.0567736,29,32,35,0.984929,0.00367871,19.6868,0.984929,0.00076384
10,0,0.00666738,-0.0114526,0.00688208,0.0777074,0.0527529,26,29,32,0.995898,0.00373842,35.0009,0.995898,0.000467418
11,0,-0.00916946,0.0128241,-0.00368143,1.11518,0.057665,26,29,32,0.995898,0.00388307,38.618,0.995898,0.000499163
12,0,-0.0148677,0.0149206,-0.0088179,-0.449624,0.0563712,29,32,35,0.984929,0.00506795,57.073,0.984929,0.000523647
13,0,0.00795155,-0.0108395,0.0100371,0.338282,0.0523472,26,29,32,0.995897,0.00435966,49.4826,0.995897,0.000432326
14,0,0.0188896,-0.0107413,-0.00219943,-0.97475,0.057249,26,29,32,0.995898,0.00322672,32.1356,0.995898,0.000572131
15,0,-0.0012252,-0.0115301,0.00212427,-0.980162,0.0559716,30,33,36,0.984125,0.00453695,18.9443,0.984125,0.000696092
16,0,0.0179348,-0.0131626,0.0051972,-0.445918,0.0519447,27,30,33,0.998332,0.00258729,17.1139,0.998332,0.000638038
17,0,-0.00984899,0.00101164,0.00727602,-0.714416,0.0568361,27,30,33,0.995897,0.00397859,12.2325,0.995897,0.000839761
18,0,0.00271622,0.0107088,-0.00502444,0.0739611,0.055575,31,34,37,0.984125,0.00475729,16.7076,0.984125,0.000749151
19,0,0.0167147,-0.00480241,-0.00636092,-0.975822,0.0515454,27,30,33,0.998303,0.002802,27.1766,0.998303,0.0005209
20,0,-0.00665676,0.000140824,0.00707445,-0.451194,0.0564262,27,30,33,0.997375,0.00472658,11.3466,0.997375,0.000866404
21,0,-0.0171942,0.00536451,0.0068246,0.334683,0.0551812,31,34,37,0.960671,0.00412607,17.7669,0.960671,0.000808714
22,0,-0.00999972,0.0125314,-0.00295012,1.12485,0.0511492,28,31,34,0.998274,0.00424062,45.5421,0.998274,0.000443041
23,0,-0.0125809,0.0124141,0.000988606,1.11912,0.0560193,28,31,34,0.997328,0.00431178,53.5815,0.997328,0.000464996
0,1,-0.00653901,-0.00110026,0.0050352,-0.375123,0.0580023,27,30,33,0.998482,0.00386651,34.1073,0.998482,0.000605597
1,1,-0.0122573,0.00534435,0.00112262,1.46237,0.053993,24,27,30,0.996194,0.00330907,55.8051,0.996194,0.000394377
2,1,-0.00174707,-0.00501809,0.00392768,0.145578,0.0589351,24,27,30,0.979381,0.00336546,42.3086,0.979381,0.000478057
3,1,0.0125963,-0.00116892,-0.0031571,-0.911121,0.0575909,27,30,33,0.998454,0.00475861,148.1,0.998454,0.000318089
4,1,-0.00202021,0.00495057,-0.00577617,-0.368125,0.0535776,24,27,30,0.996193,0.00462267,44.5372,0.996193,0.000445795
5,1,-0.0123663,0.00936152,-0.00334744,0.404769,0.0585098,24,27,30,0.996194,0.0055929,270.205,0.996194,0.000262404
6,1,0.0129266,-0.0022971,-0.0035301,-0.898749,0.0571825,28,31,34,0.998424,0.00520703,145.533,0.998424,0.000333396
7,1,-0.00234965,0.00668046,-0.0015282,-0.902874,0.0531654,25,28,31,0.996193,0.00364717,60.2162,0.996193,0.000363309
8,1,0.0139681,-0.00985572,0.00385241,-0.3781,0.0580877,25,28,31,0.996193,0.00591774,270.51,0.996193,0.000265643
9,1,-0.00924439,0.00891939,-0.00164838,-0.638874,0.0567771,29,32,35,0.985052,0.0064282,120.944,0.985052,0.000382682
10,1,0.00944787,0.000424435,-0.00384167,0.155421,0.0527565,25,28,31,0.996192,0.0032004,57.9167,0.996192,0.000387505
11,1,-0.00868238,-0.00238207,0.00325154,1.18359,0.0576686,25,28,31,0.996193,0.00300972,50.5657,0.996193,0.000443071
12,1,-0.00115732,-0.0056575,0.00567142,-0.375177,0.0563746,29,32,35,0.985052,0.00516154,43.0128,0.985052,0.000577148
13,1,0.00882633,-0.000812311,-0.00404644,0.414767,0.0523508,26,29,32,0.996192,0.00337915,44.4343,0.996192,0.000455803
14,1,-0.00383594,0.00753102,-0.00195719,-0.901787,0.0572526,26,29,32,0.996192,0.00452294,62.5929,0.996192,0.000426499
15,1,0.0103109,0.00301829,-0.00212918,-0.91278,0.055975,30,33,36,0.984213,0.00445778,82.8776,0.984213,0.000400299
16,1,-0.00675969,0.00811788,-0.00552511,-0.368229,0.0519482,27,30,33,0.998482,0.00593201,101.757,0.998482,0.00034975
17,1,0.013707,-0.00768054,-0.000159252,-0.642938,0.0568396,27,30,33,0.996192,0.00568242,172.368,0.996192,0.000320909
18,1,-0.0107751,-0.00213658,0.00319189,0.148392,0.0555783,30,33,36,0.984213,0.00481822,79.2876,0.984213,0.000420697
19,1,-0.00696151,0.00668756,0.00108638,-0.904458,0.0515488,27,30,33,0.998454,0.00470887,111.11,0.998454,0.000300569
20,1,0.0139809,-0.00757265,9.28681e-05,-0.378273,0.0564297,27,30,33,0.997476,0.00555857,100.806,0.997476,0.000395525
21,1,0.0120957,-0.00731311,-0.00173727,0.40802,0.0551845,31,34,37,0.961932,0.00720564,193.838,0.961932,0.00033106
22,1,-0.0051001,-0.00445704,0.00316885,1.20251,0.0511526,28,31,34,0.998424,0.00330068,47.9292,0.998424,0.000422116
23,1,-0.0036854,-0.00580216,0.00154122,1.1911,0.0560228,28,31,34,0.997422,0.00340199,46.2161,0.997422,0.000470082
0,2,0.00759826,-0.00580447,0.00132756,-0.30028,0.0580052,27,30,33,0.998591,0.00438539,297.296,0.998591,0.000208363
1,2,0.000486766,-0.00339145,0.0025713,1.53905,0.0539956,24,27,30,0.996434,0.00273188,69.4324,0.996434,0.000277179
2,2,0.00782038,-0.0040988,-0.000372396,0.219043,0.0589378,24,27,30,0.97996,0.00309853,462.807,0.97996,0.000145229
3,2,0.000293446,0.00366725,0.000167046,-0.842632,0.0575938,27,30,33,0.998563,0.00238013,68.7815,0.998563,0.000299078
4,2,-0.00918619,0.00539337,-0.00111665,-0.290383,0.0535802,24,27,30,0.996433,0.00328885,316.767,0.996433,0.000164182
5,2,-0.00724845,0.000961056,0.00198853,0.476907,0.0585126,24,27,30,0.996434,0.00193445,58.0589,0.996434,0.000336603
6,2,0.000188467,0.00396515,-0.000225615,-0.823923,0.0571854,28,31,34,0.998533,0.00264366,67.5488,0.998533,0.000315898
7,2,-0.00790554,0.00197028,0.00127557,-0.83074,0.0531681,25,28,31,0.996432,0.00265101,375.829,0.996432,0.000135597
8,2,0.00544441,-7.41074e-05,-0.00241172,-0.304672,0.0580905,25,28,31,0.996433,0.00211129,45.1508,0.996433,0.000384743
9,2,-0.0075051,-0.000165813,0.00237697,-0.565033,0.0567799,29,32,35,0.985157,0.00276793,81.6004,0.985157,0.000323326
10,2,-0.00344722,0.00420888,-0.000288143,0.233136,0.0527592,25,28,31,0.996432,0.00293545,125.257,0.996432,0.000210857
11,2,0.00438073,-0.00387103,-0.000432241,1.25233,0.0576714,25,28,31,0.996432,0.00303992,151.932,0.996432,0.00021359
12,2,0.00940427,-0.00438076,-0.000929554,-0.300362,0.0563774,29,32,35,0.985157,0.00447429,305.159,0.985157,0.000212705
13,2,-0.00482179,0.00499611,-0.00145422,0.491247,0.0523534,26,29,32,0.996431,0.00357494,164.305,0.996431,0.000209847
14,2,-0.00866978,0.00183999,0.00157408,-0.828407,0.0572554,26,29,32,0.996432,0.00296451,243.834,0.996432,0.000191001
15,2,-0.00403281,0.00312759,0.00117329,-0.845132,0.0559777,30,33,36,0.984282,0.00334287,120.487,0.984282,0.000248014
16,2,-0.00862078,0.00307896,0.00118003,-0.290538,0.0519509,27,30,33,0.998591,0.00284017,107.15,0.998591,0.000254066
17,2,0.00305894,0.00247372,-0.00251904,-0.571059,0.0568425,27,30,33,0.996431,0.00246651,54.5263,0.996431,0.000357801
18,2,0.00419807,-0.00371828,-0.00113112,0.22319,0.055581,30,33,36,0.984282,0.00367805,123.941,0.984282,0.000259216
19,2,-0.00700648,-0.000703735,0.00126247,-0.833113,0.0515515,27,30,33,0.998563,0.00230404,140.372,0.998563,0.000199749
20,2,0.00068417,0.00340289,-0.00300255,-0.304932,0.0564325,27,30,33,0.997565,0.00322495,58.8252,0.997565,0.0003652
21,2,0.00372122,0.00319598,-0.0018288,0.481708,0.0551871,31,34,37,0.963042,0.00271444,60.6131,0.963042,0.000364642
22,2,0.00665508,-0.0033275,-0.00114084,1.28018,0.0511552,28,31,34,0.998533,0.00351808,347.645,0.998533,0.000150939
23,2,0.00734577,-0.00231048,-0.00135901,1.26311,0.0560256,28,31,34,0.997504,0.00351635,414.621,0.997504,0.000154624
0,3,0.0012003,0.00121849,-0.000779469,-0.225143,0.0580075,27,30,33,0.998671,0.00128854,103.113,0.998671,0.000169732
1,3,0.00389791,-0.00087997,-0.000485218,-0.478671,0.0539971,23,26,29,0.996633,0.000893726,208.482,0.996633,9.90992e-05
2,3,0.00120239,0.000993848,-0.000277003,0.292854,0.0589396,24,27,30,0.980453,0.000905009,104.094,0.980453,0.000133091
3,3,-0.00316652,-0.000507475,0.000199183,-0.77393,0.0575961,27,30,33,0.998643,0.000910622,232.508,0.998643,9.74054e-05
4,3,0.000133272,-0.00140274,0.000799991,-0.212641,0.053582,24,27,30,0.996632,0.0014216,134.294,0.996632,0.000127053
5,3,0.00338183,-0.00180627,-1.14809e-05,0.54938,0.0585146,24,27,30,0.996633,0.00161328,692.966,0.996633,6.5023e-05
6,3,-0.0032621,-0.000520651,0.00031385,-0.748804,0.0571877,28,31,34,0.998613,0.000969988,209.437,0.998613,0.000110395
7,3,0.000454378,-0.00110967,-8.54999e-05,-0.758629,0.05317,25,28,31,0.996632,0.00108923,156.384,0.996632,9.39918e-05
8,3,-0.00420709,0.00190712,6.41547e-05,-0.230895,0.0580926,25,28,31,0.996632,0.00160927,651.53,0.996632,7.44089e-05
9,3,0.00371263,-0.00116504,-0.000507354,-0.49091,0.0567822,28,31,34,0.985248,0.00188196,797.993,0.985248,6.99737e-05
10,3,-0.00261293,-0.000521771,0.000366283,0.310848,0.0527611,25,28,31,0.996631,0.000645735,135.564,0.996631,0.00010897
11,3,0.00229995,0.000737124,-0.000185005,1.32133,0.0576736,25,28,31,0.996632,0.000618264,122,0.996632,0.000121175
12,3,-0.00168904,0.00192938,-0.00016797,-0.225252,0.0563796,29,32,35,0.985248,0.00198941,226.074,0.985248,0.000129036
13,3,-0.00234103,-0.000575505,0.000673994,-1.52667,0.0523554,26,29,32,0.996631,0.000823716,112.526,0.996631,0.000131902
14,3,0.00142514,-0.00131777,-0.000155209,-0.754683,0.0572577,26,29,32,0.996631,0.00144543,227.303,0.996631,0.000100057
15,3,-0.00140539,-0.00108341,-0.000113885,-0.777275,0.05598,30,33,36,0.984334,0.000722717,112.024,0.984334,0.000130019
16,3,0.00269395,-0.00194136,0.000218175,-0.212849,0.0519529,26,29,32,0.998671,0.00182747,471.626,0.998671,7.87636e-05
17,3,-0.00409721,0.000809858,0.000606654,-0.498845,0.0568447,27,30,33,0.996631,0.00135363,358.096,0.996631,9.54936e-05
