// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998265,9.40549,0.998759
1,shared,1,0.998564,10.7063,0.998153
2,individual,2,0.994216,12.3256,0.990417
3,shared,1,0.998814,13.4086,0.998891
4,shared,0,0.998567,11.4842,0.998161
5,shared,1,0.998564,22.2095,0.998153
6,individual,6,0.997979,10.4905,0.998493
7,individual,7,0.998413,12.7845,0.998147
8,shared,0,0.998567,44.6211,0.998161
9,individual,9,0.992528,18.0195,0.989551
10,shared,0,0.998518,12.5494,0.998149
11,individual,11,0.998413,11.2849,0.998147
12,individual,12,0.992587,10.493,0.989569
13,individual,13,0.998461,8.88254,0.998131
14,shared,0,0.998518,11.5043,0.998149
15,individual,15,0.992821,11.067,0.989258
16,shared,0,0.998658,13.272,0.998695
17,individual,17,0.998461,16.4813,0.998131
18,individual,18,0.991141,9.02773,0.987488
19,shared,1,0.998746,12.998,0.998715
20,shared,0,0.998727,26.7205,0.998561
21,individual,21,0.98959,13.4487,0.982292
22,individual,22,0.998023,12.2688,0.998494
23,shared,1,0.998878,16.462,0.998566
