// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0125942,0.0135692,-0.0112711,-0.449186,0.0616536,27,30,33,0.998359,0.00522212,69.3129,0.998359,0.000494193
1,0,-0.00418973,0.00697279,-0.00937836,1.38567,0.0573863,24,27,30,0.996315,0.00413527,23.8083,0.996315,0.000564009
2,0,-0.0193393,0.0140166,-0.00310761,0.07304,0.0626462,24,27,30,0.979754,0.00309584,47.3241,0.979754,0.000506044
3,0,-0.00675086,-0.00827883,0.00590818,-0.979028,0.0612159,27,30,33,0.998331,0.00370735,13.6879,0.998331,0.000810063
4,0,0.0195908,-0.0154725,0.00954347,-0.445869,0.0569442,24,27,30,0.996314,0.00278226,29.8347,0.996314,0.00050795
5,0,0.014745,-0.00713543,-0.00228194,0.333517,0.0621936,24,27,30,0.996315,0.00292536,9.01565,0.996315,0.000952217
6,0,-0.00809982,-0.00657447,0.00780368,-0.972798,0.0607813,28,31,34,0.998301,0.00388331,13.0887,0.998301,0.000855495
7,0,0.0183082,-0.00978233,-0.00263559,-0.975062,0.0565056,25,28,31,0.996313,0.00278806,37.7774,0.996313,0.000484755
8,0,-0.0116173,0.00618658,0.001816,-0.4506,0.0617444,25,28,31,0.996314,0.00347471,7.16511,0.996314,0.00102734
9,0,0.0200154,-0.0107538,-0.00201925,-0.711969,0.0603498,29,32,35,0.985171,0.00370557,19.3693,0.985171,0.00082453
10,0,0.00647735,-0.0114695,0.00693514,0.0777045,0.0560704,25,28,31,0.996313,0.00386624,32.6665,0.996313,0.000512087
11,0,-0.00907534,0.0128789,-0.00382443,1.1156,0.0612984,26,29,32,0.996313,0.00399062,36.948,0.996313,0.00054052
12,0,-0.0152292,0.0152746,-0.00910017,-0.449213,0.0599214,29,32,35,0.985171,0.00529982,59.1058,0.985171,0.000556296
13,0,0.00784959,-0.0108401,0.0100565,0.338272,0.0556386,26,29,32,0.996312,0.00452373,44.4199,0.996312,0.000481952
14,0,0.0197831,-0.0112671,-0.00177683,-0.974242,0.0608557,26,29,32,0.996313,0.0032723,32.5292,0.996313,0.000609352
15,0,-0.00194758,-0.0114329,0.00234569,-0.97986,0.0594962,30,33,36,0.984365,0.0045855,17.4176,0.984365,0.000765585
16,0,0.0189899,-0.0138688,0.00563962,-0.445921,0.0552103,27,30,33,0.998359,0.0026874,17.3946,0.998359,0.000684572
17,0,-0.0109253,0.00162492,0.0068919,-0.713938,0.0604162,27,30,33,0.996312,0.00400445,11.1588,0.996312,0.000930944
18,0,0.00352184,0.0105526,-0.00514835,0.0743715,0.059074,30,33,36,0.984365,0.00483074,15.4906,0.984365,0.000823593
19,0,0.0176394,-0.00532585,-0.005976,-0.975852,0.0547852,27,30,33,0.998331,0.00283341,26.7734,0.998331,0.00056136
