// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998417,24.7753,0.998795
1,shared,1,0.998559,17.0752,0.998152
2,individual,2,0.994212,34.2675,0.990415
3,shared,1,0.998924,12.8161,0.998893
4,shared,0,0.998565,26.1542,0.99816
5,shared,1,0.998559,49.6814,0.998152
6,individual,6,0.998099,17.7663,0.998509
7,individual,7,0.998432,16.634,0.998151
8,shared,0,0.998565,40.466,0.99816
9,individual,9,0.992563,16.7023,0.989572
10,shared,0,0.998512,14.6569,0.998147
11,individual,11,0.998432,10.6063,0.998151
12,individual,12,0.992624,19.0111,0.98959
13,individual,13,0.998456,16.1638,0.998129
14,shared,0,0.998512,22.7105,0.998147
15,individual,15,0.992849,10.9504,0.98924
16,shared,0,0.998651,20.1582,0.998685
17,individual,17,0.998456,44.0165,0.998129
18,individual,18,0.991141,14.7084,0.987488
19,shared,1,0.998739,16.1806,0.998706
20,shared,0,0.998741,27.1779,0.998569
21,individual,21,0.98959,12.3426,0.982292
22,individual,22,0.998109,13.9105,0.998509
23,shared,1,0.998898,15.0426,0.998559
