// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0121559,0.0133532,-0.0113931,-0.449186,0.0616536,27,30,33,0.998354,0.00529092,65.5843,0.998354,0.000504995
1,0,-0.00371223,0.00661943,-0.00929472,1.38567,0.0573863,24,27,30,0.996315,0.00414546,22.2624,0.996315,0.000579707
2,0,-0.019228,0.0141893,-0.00339813,0.0730393,0.0626462,24,27,30,0.979754,0.0031513,49.1329,0.979754,0.000500918
3,0,-0.00730535,-0.00800295,0.00610577,-0.97903,0.0612159,27,30,33,0.998326,0.00367907,13.4729,0.998326,0.00081839
4,0,0.0195863,-0.0155648,0.00979778,-0.445869,0.0569442,24,27,30,0.996314,0.00287919,32.685,0.996314,0.000492204
5,0,0.0151832,-0.00759525,-0.00194836,0.333516,0.0621936,24,27,30,0.996315,0.00287854,9.00518,0.996315,0.000955684
6,0,-0.00865891,-0.00621451,0.00794625,-0.972798,0.0607813,28,31,34,0.998296,0.00385161,12.9449,0.998296,0.000862988
7,0,0.0183144,-0.0100833,-0.00242063,-0.975062,0.0565056,25,28,31,0.996313,0.00284144,39.2358,0.996313,0.000480142
8,0,-0.0121266,0.00668387,0.001433,-0.450601,0.0617444,25,28,31,0.996314,0.00339929,7.07081,0.996314,0.00103491
9,0,0.0201623,-0.0111619,-0.00167102,-0.711968,0.0603498,29,32,35,0.985171,0.00375142,19.9873,0.985171,0.000818278
10,0,0.00601588,-0.0113218,0.00714529,0.0777045,0.0560704,25,28,31,0.996313,0.00387977,31.1436,0.996313,0.000522506
11,0,-0.0086216,0.0128544,-0.00408371,1.11561,0.0612984,26,29,32,0.996313,0.00401309,35.0194,0.996313,0.000552572
12,0,-0.0148541,0.0152192,-0.00939279,-0.449213,0.0599214,29,32,35,0.985171,0.00538438,59.583,0.985171,0.000555898
13,0,0.00738317,-0.0105838,0.0101434,0.338272,0.0556386,26,29,32,0.996312,0.00455946,41.6965,0.996312,0.000494272
14,0,0.0197893,-0.0115939,-0.00149941,-0.974242,0.0608557,26,29,32,0.996313,0.00333568,33.8247,0.996313,0.000603304
15,0,-0.00255,-0.0113091,0.00261656,-0.979862,0.0594962,30,33,36,0.984365,0.00456933,16.8822,0.984365,0.000777448
16,0,0.0190894,-0.0141143,0.00600832,-0.445921,0.0552103,27,30,33,0.998354,0.00274368,18.2764,0.998354,0.00067336
17,0,-0.0114571,0.00213276,0.00665674,-0.713939,0.0604162,27,30,33,0.996312,0.00396795,11.0139,0.996312,0.000939539
18,0,0.00413964,0.0103204,-0.00542042,0.0743719,0.059074,30,33,36,0.984365,0.00480105,15.0692,0.984365,0.000835141
19,0,0.0177699,-0.00572375,-0.00587559,-0.975852,0.0547852,27,30,33,0.998326,0.00288724,27.8421,0.998326,0.000556075
20,0,-0.00822424,0.00129599,0.00640029,-0.450688,0.05998,27,30,33,0.997539,0.00474258,9.95602,0.997539,0.000980243
21,0,-0.018641,0.00659043,0.00616286,0.335077,0.0586549,31,34,37,0.96337,0.0041696,17.4366,0.96337,0.000878394
22,0,-0.0095983,0.0127767,-0.00352328,1.12485,0.0543636,28,31,34,0.998296,0.00440106,42.1625,0.998296,0.00048865
23,0,-0.012325,0.0128417,0.000340085,1.11912,0.0595469,28,31,34,0.997492,0.00446367,50.3783,0.997492,0.000509013
0,1,-0.00768148,-0.000293191,0.00448454,-0.374362,0.0616569,27,30,33,0.998505,0.00372271,32.2716,0.998505,0.000654724
1,1,-0.0129877,0.00584333,0.000628567,1.46235,0.0573894,24,27,30,0.996582,0.00346218,59.8577,0.996582,0.000407578
2,1,-0.00271489,-0.00439565,0.0036698,0.146523,0.0626492,24,27,30,0.980361,0.00326733,38.6592,0.980361,0.000522002
3,1,0.0129379,-0.00169901,-0.00278878,-0.910563,0.0612191,27,30,33,0.998476,0.00490118,171.836,0.998476,0.000319302
4,1,-0.00112799,0.00429833,-0.0053654,-0.368131,0.0569474,24,27,30,0.996582,0.00452193,38.2067,0.996582,0.000500159
5,1,-0.0121962,0.00925774,-0.00350264,0.40566,0.0621968,24,27,30,0.996582,0.00576231,271.557,0.996582,0.00027782
6,1,0.0132976,-0.00284,-0.00307906,-0.897989,0.0607844,28,31,34,0.998447,0.00536335,167.646,0.998447,0.000336032
7,1,-0.00152803,0.00627612,-0.0016338,-0.902945,0.0565088,25,28,31,0.996581,0.00358939,54.3654,0.996581,0.00039902
8,1,0.0140898,-0.00991947,0.00408192,-0.377156,0.0617476,25,28,31,0.996582,0.00616682,330.066,0.996582,0.000263776
9,1,-0.00865859,0.00878482,-0.00197027,-0.638144,0.0603529,29,32,35,0.98527,0.00648555,107.135,0.98527,0.000423605
10,1,0.0102628,-0.000195663,-0.00345284,0.155415,0.0560737,25,28,31,0.996581,0.00323554,58.9374,0.996581,0.00040782
11,1,-0.00954275,-0.00174247,0.00298115,1.18437,0.0613016,25,28,31,0.996581,0.00301488,51.1121,0.996581,0.000466969
12,1,-0.00232637,-0.00492651,0.00541432,-0.374416,0.0599246,29,32,35,0.98527,0.00497503,38.7355,0.98527,0.000636315
13,1,0.00979507,-0.00152082,-0.00353031,0.414746,0.0556419,26,29,32,0.99658,0.00338011,43.9825,0.99658,0.000485091
14,1,-0.0029601,0.00711898,-0.00208084,-0.900844,0.0608589,26,29,32,0.996581,0.00446769,55.7305,0.996581,0.000470712
15,1,0.0110347,0.00234696,-0.00208341,-0.912235,0.0594993,30,33,36,0.984427,0.00459862,90.9752,0.984427,0.000409694
16,1,-0.00608378,0.00771114,-0.00545635,-0.368235,0.0552135,27,30,33,0.998505,0.00594542,83.7827,0.998505,0.000398486
17,1,0.0139362,-0.00799015,0.000328606,-0.642053,0.0604194,27,30,33,0.99658,0.0059151,204.794,0.99658,0.000320772
18,1,-0.0115334,-0.00142212,0.00302555,0.149153,0.0590771,30,33,36,0.984427,0.00499209,87.3667,0.984427,0.00043118
19,1,-0.00633952,0.00662364,0.000699886,-0.904524,0.0547884,27,30,33,0.998476,0.00468376,97.4825,0.998476,0.000333194
20,1,0.0145048,-0.00804598,0.000644051,-0.377331,0.0599832,27,30,33,0.997627,0.00586772,120.428,0.997627,0.000395217
21,1,0.0119014,-0.00761731,-0.00116975,0.408748,0.0586579,31,34,37,0.96445,0.00734217,190.1,0.96445,0.000353964
22,1,-0.00609421,-0.00383772,0.0030873,1.20251,0.0543667,28,31,34,0.998447,0.00325241,46.7696,0.998447,0.000452185
23,1,-0.00471875,-0.00523093,0.00163748,1.19108,0.0595501,28,31,34,0.997573,0.00329689,44.4753,0.997573,0.000504748
0,2,0.0070259,-0.00552631,0.00144356,-0.299216,0.0616594,27,30,33,0.998613,0.00439382,269.363,0.998613,0.000224568
1,2,-0.000237574,-0.00286842,0.00231132,1.53902,0.0573913,23,26,29,0.996799,0.00262732,61.2789,0.996799,0.000301565
2,2,0.00738035,-0.00395475,-0.000154096,0.220369,0.0626512,24,27,30,0.980867,0.00311472,483.027,0.980867,0.000147876
3,2,0.00101077,0.00326316,1.74597e-05,-0.841868,0.0612216,27,30,33,0.998585,0.00220919,63.5961,0.998585,0.0003177
4,2,-0.00903309,0.0053209,-0.00128245,-0.290391,0.0569495,24,27,30,0.996798,0.00338448,415.449,0.996798,0.000155271
5,2,-0.0077151,0.00137477,0.00159048,0.478155,0.062199,24,27,30,0.996799,0.00187448,59.3334,0.996799,0.000346652
6,2,0.0009535,0.00352408,-0.000342517,-0.822859,0.060787,28,31,34,0.998556,0.00246386,62.5578,0.998556,0.000336719
7,2,-0.00770149,0.00210097,0.00100431,-0.830852,0.0565111,25,28,31,0.996798,0.00267909,462.347,0.996798,0.000129988
8,2,0.00611922,-0.000603168,-0.00197201,-0.303347,0.0617499,25,28,31,0.996798,0.00195658,43.8564,0.996798,0.000404231
9,2,-0.00793044,0.000344398,0.00203606,-0.564012,0.0603555,28,31,35,0.985354,0.00278431,88.836,0.985354,0.000326456
10,2,-0.00277236,0.00387577,-0.000405783,0.233127,0.056076,25,28,31,0.996798,0.00286039,109.219,0.996798,0.000229959
11,2,0.0037017,-0.00361054,-0.000233911,1.25341,0.0613041,25,28,31,0.996798,0.00297062,131.211,0.996798,0.00023272
12,2,0.00919783,-0.00450732,-0.000541296,-0.299297,0.0599271,29,32,35,0.985354,0.00455073,373.185,0.985354,0.000206538
13,2,-0.00415486,0.00463171,-0.00148858,0.491216,0.0556442,26,29,32,0.996797,0.00352818,140.142,0.996797,0.000231239
14,2,-0.00858681,0.00206838,0.00125746,-0.827084,0.0608614,26,29,32,0.996798,0.00301051,302.311,0.996798,0.00018353
15,2,-0.00328775,0.00302614,0.000904342,-0.844385,0.0595018,30,33,36,0.984473,0.00320067,104.006,0.984473,0.000269014
16,2,-0.0088604,0.0033791,0.000785246,-0.290547,0.0552159,26,29,32,0.998613,0.00292821,124.14,0.998613,0.000251246
17,2,0.00381927,0.00189239,-0.00224563,-0.56982,0.060422,27,30,33,0.996797,0.00229282,51.7183,0.996797,0.000379606
18,2,0.00342712,-0.00357905,-0.000833876,0.224254,0.0590796,30,33,36,0.984473,0.00352139,106.648,0.984473,0.000282805
19,2,-0.00718549,-0.000300586,0.00111237,-0.833219,0.0547908,27,30,33,0.998585,0.00233849,162.158,0.998585,0.000196729
20,2,0.00155271,0.0027877,-0.00272153,-0.303609,0.0599857,27,30,33,0.997705,0.00302611,52.9471,0.997705,0.000395337
21,2,0.00449357,0.00260295,-0.00175145,0.482726,0.0586604,31,34,37,0.965403,0.00257671,60.587,0.965403,0.000380307
22,2,0.00615875,-0.00332058,-0.000847955,1.28017,0.0543691,28,31,34,0.998556,0.00349164,316.939,0.998556,0.000161844
23,2,0.00687948,-0.002412,-0.00108433,1.26306,0.0595526,28,31,34,0.997645,0.0035053,405.359,0.997645,0.00016092
0,3,0.00151345,0.000892085,-0.00065616,-0.223811,0.0616614,27,30,33,0.998692,0.00113909,99.6836,0.998692,0.000171846
