// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998105,17.6325,0.998714
1,shared,1,0.998569,23.9695,0.998155
2,individual,2,0.994221,28.5637,0.990418
3,shared,1,0.998659,11.3996,0.998877
4,shared,0,0.99857,13.5598,0.998161
5,shared,1,0.998569,15.541,0.998155
6,individual,6,0.997844,9.87251,0.998468
7,individual,7,0.998391,22.9253,0.998143
8,shared,0,0.99857,17.06,0.998161
9,individual,9,0.992494,42.6783,0.989528
10,shared,0,0.998524,15.5296,0.99815
11,individual,11,0.998391,13.7034,0.998143
12,individual,12,0.992551,15.9179,0.989547
13,individual,13,0.998467,18.986,0.998132
14,shared,0,0.998524,22.1699,0.99815
15,individual,15,0.992754,8.88448,0.989265
16,shared,0,0.998665,18.1617,0.998704
17,individual,17,0.998467,11.6489,0.998132
18,individual,18,0.991142,9.20178,0.987489
19,shared,1,0.998752,21.7947,0.998724
20,shared,0,0.998713,10.6498,0.998552
21,individual,21,0.98959,55.5087,0.982292
22,individual,22,0.997937,16.9882,0.998473
23,shared,1,0.998861,15.7414,0.998569
